,brand,mile,name,fuel,price,year,model,location,color
0,BMW,77022,5시리즈 (F10),가솔린,1550,2010,528i,서울,검정색
1,아우디,65525,뉴 A6,디젤,2950,2016,40 TDI 콰트로,대구,검정색
2,사브,122481,9-3,가솔린,290,2003,2.0T 아크,경기,검정색
3,험머,174000,H3,가솔린,1850,2006,3.5,경기,검정색
4,미니,121666,쿠퍼 D 컨트리맨,디젤,1090,2012,기본형,충남,검정색
5,벤츠,80262,S-클래스 W222,가솔린,9790,2018,S560L 4MATIC,서울,검정색
6,벤츠,219146,S-클래스 W221,디젤,899,2008,S320 CDI,경기,검정색
7,벤츠,135431,E-클래스 W212,가솔린,2139,2014,E300 4MATIC 아방가르드,인천,검정색
8,마세라티,49,콰트로포르테,가솔린,13450,2020,S Q4 3.0 V6 그란루쏘,서울,검정색
9,볼보,52947,V40,디젤,1720,2016,D3,서울,검정색
10,벤츠,135102,S-클래스 W222,디젤,5200,2015,S350 블루텍 4MATIC,경기,검정색
11,아우디,65447,뉴 A6,디젤,2660,2016,35 TDI 프리미엄,경기,검정색
12,아우디,1000,A6 (C8),디젤,5280,2021,40 TDI,서울,검정색
13,아우디,120132,뉴 A6,가솔린,699,2010,3.0 TFSI 콰트로,전북,검정색
14,BMW,43012,M5 (F10),가솔린,5290,2016,M5 세단,경기,검정색
15,벤츠,33283,E-클래스 W213,가솔린,5699,2019,E300 AMG Line,경기,검정색
16,BMW,218225,7시리즈 (G11),디젤,3600,2016,730d xDrive 프리미엄,경기,검정색
17,아우디,214415,뉴 A8,가솔린,1699,2012,4.2 FSI 콰트로 LWB,대구,검정색
18,포드,115004,뉴 토러스,가솔린,1230,2017,2.0 Limited 에코부스트,경기,검정색
19,포르쉐,183494,뉴 카이엔,디젤,2680,2011,3.0 디젤,경기,검정색
20,캐딜락,131620,에스컬레이드,가솔린,1850,2008,6.2,경기,검정색
21,벤츠,188735,E-클래스 W212,디젤,2030,2015,E250 블루텍 4MATIC 아방가르드,경기,검정색
22,아우디,84921,Q5,디젤,1780,2012,2.0 TDI 콰트로,경기,검정색
23,BMW,169197,3시리즈 (F30),디젤,1190,2013,320d,대구,검정색
24,벤츠,46783,S-클래스 W222,디젤,7490,2016,S350L d 4MATIC,경기,검정색
25,BMW,38000,5시리즈 (G30),디젤,6862,2018,M550d xDrive,광주,검정색
26,아우디,133554,Q3,디젤,1450,2014,2.0 TDI 콰트로 다이나믹,경기,검정색
27,링컨,148728,MKX,가솔린,559,2007,3.5 AWD,경기,검정색
28,미니,39356,쿠퍼,가솔린,730,2010,SE,경기,검정색
29,벤틀리,53299,뮬산,가솔린,29900,2018,6.8,경기,검정색
30,포르쉐,3098,파나메라 (971),가솔린,15900,2018,2.9 4S,서울,검정색
31,쉐보레,291459,익스프레스밴,가솔린+LPG,1299,2006,5.3,경기,검정색
32,포르쉐,141363,파나메라,가솔린,3500,2010,4.8 S,경기,검정색
33,아우디,179771,A7,가솔린,1889,2012,3.0 TFSI 콰트로 프레스티지,경기,검정색
34,벤츠,71630,S-클래스 W222,가솔린,14900,2018,마이바흐 S560 4MATIC,서울,검정색
35,벤츠,22004,S-클래스 W222,가솔린,24500,2019,마이바흐 S650,서울,검정색
36,아우디,215670,뉴 A8,가솔린,550,2006,4.2 FSI 콰트로 LWB,경기,검정색
37,포르쉐,34440,파나메라 (971),가솔린,13900,2018,2.9 4S,서울,검정색
38,아우디,116412,A7,디젤,3270,2016,50 TDI 콰트로 프리미엄,경기,검정색
39,아우디,107699,뉴 A6,가솔린,2370,2015,50 TFSI 콰트로,경남,검정색
40,벤틀리,57439,플라잉스퍼 2세대,가솔린,12900,2016,6.0,서울,검정색
41,벤츠,64385,S-클래스 W222,가솔린,10900,2019,S500L,서울,검정색
42,BMW,19525,7시리즈 (G11),가솔린+전기,11100,2020,745e i퍼포먼스 M 스포츠,서울,검정색
43,벤츠,74019,S-클래스 W222,가솔린,11300,2019,S560L 4MATIC,서울,검정색
44,벤츠,3380,AMG GT,가솔린,17900,2019,4도어 63 S 4MATIC+,서울,검정색
45,포르쉐,73040,파나메라,가솔린,4290,2010,4.8 S,경기,검정색
46,벤츠,59610,S-클래스 W222,가솔린,11800,2019,S560L 4MATIC,서울,검정색
47,벤츠,57697,E-클래스 W213,디젤,4300,2019,E220d 아방가르드,서울,검정색
48,볼보,127139,XC90 2세대,디젤,4849,2017,D5 인스크립션,서울,검정색
49,벤츠,15178,S-클래스 W222,가솔린+전기,13300,2019,S560eL,서울,검정색
50,지프,56288,그랜드 체로키,가솔린,3890,2020,3.6 리미티드-X,경기,검정색
51,BMW,42970,7시리즈 (G11),가솔린,6750,2016,750Li xDrive,경기,검정색
52,벤츠,47894,GLC-클래스 X253,디젤,5249,2017,GLC220 d 4MATIC 쿠페,경기,검정색
53,포드,138316,몬데오 4세대,디젤,999,2016,2.0 트렌드,경기,검정색
54,포르쉐,43476,파나메라 (971),가솔린,13449,2018,3.0 AWD,경기,검정색
55,포르쉐,24968,카이엔 (PO536),가솔린,14500,2020,3.0 쿠페,경기,검정색
56,포드,39312,익스플로러,가솔린,3429,2018,2.3 리미티드 4WD,경기,검정색
57,포르쉐,20839,718 박스터,가솔린,12099,2018,2.5 GTS,경기,검정색
58,벤츠,72473,E-클래스 W213,디젤,3899,2017,E220d 아방가르드,경기,검정색
59,벤츠,21884,S-클래스 W222,가솔린,12800,2020,S450L 4MATIC,서울,검정색
60,BMW,119535,5시리즈 (F10),디젤,2779,2016,520d xDrive M 에어로 다이나믹,서울,검정색
61,미니,153259,쿠퍼 S 컨트리맨,가솔린,9999,2011,기본형,인천,검정색
62,마세라티,49,콰트로포르테,가솔린,13450,2020,S Q4 3.0 V6 그란루쏘,서울,검정색
63,아우디,133619,S7,가솔린,4549,2016,4.0 TFSI 콰트로,서울,검정색
64,포드,31900,F150,가솔린,6990,2015,3.5L,서울,검정색
65,쉐보레,158224,실버라도,가솔린,2940,2009,5.3,경기,검정색
66,벤츠,84544,S-클래스 W222,가솔린,7590,2016,S500L 4MATIC,경기,검정색
67,벤츠,80262,S-클래스 W222,가솔린,9790,2018,S560L 4MATIC,서울,검정색
68,벤츠,12696,E-클래스 W213,디젤,5849,2019,E220d 4MATIC 익스클루시브,서울,검정색
69,BMW,91872,3시리즈 (F30),디젤,2530,2018,320d M 스포츠,서울,검정색
70,재규어,42294,F-PACE,디젤,3550,2018,20d 포트폴리오,경기,검정색
71,벤츠,45063,C-클래스 W205,가솔린,3430,2017,C200 아방가르드,경기,검정색
72,BMW,2500,5시리즈 (G30),가솔린+전기,7270,2021,530e M 스포츠,서울,검정색
73,벤츠,114300,S-클래스 W222,가솔린,7750,2016,마이바흐 S500 4MATIC,경기,검정색
74,벤츠,68201,S-클래스 W222,가솔린,7780,2016,S400L 4MATIC,대구,검정색
75,폭스바겐,171940,뉴 투아렉,디젤,2750,2015,V6 3.0 TDI 블루모션 프리미엄,대구,검정색
76,벤츠,135102,S-클래스 W222,디젤,5200,2015,S350 블루텍 4MATIC,경기,검정색
77,벤츠,40721,C-클래스 W205,가솔린,4950,2018,C43 AMG 4MATIC 쿠페,경기,검정색
78,벤츠,29401,CLS-클래스 C257,디젤,7500,2019,CLS400d 4MATIC,인천,검정색
79,벤츠,229226,S-클래스 W221,가솔린,1170,2010,S350L,대구,검정색
80,BMW,84691,5시리즈 (G30),가솔린,4130,2017,530i xDrive M 스포츠 플러스,경기,검정색
81,벤츠,37446,S-클래스 W222,가솔린,13870,2018,S63 AMG 4MATIC+,서울,검정색
