,brand,mile,name,fuel,price,year,model,location
0,BMW,84060.0,4시리즈 (F32),가솔린,3070.0,2015,428i M 스포츠 컨버터블,경기
1,BMW,144684.0,5시리즈 (F10),디젤,1620.0,2013,520d,경기
2,폭스바겐,63223.0,골프 7세대,디젤,1400.0,2015,2.0 TDI,대전
3,BMW,9416.0,5시리즈 (G30),가솔린,6100.0,2021,530i 럭셔리,서울
4,BMW,80995.0,5시리즈 (G30),디젤,3800.0,2017,520d M 스포츠 플러스,서울
5,BMW,29160.0,3시리즈 GT (F34),디젤,3500.0,2018,GT 320d,서울
6,미니,415.0,쿠퍼 S,가솔린,3400.0,2020,5도어 HIGH,서울
7,BMW,35343.0,5시리즈 (G30),가솔린,4150.0,2018,520i 럭셔리,서울
8,벤츠,87556.0,E-클래스 W212,가솔린,2150.0,2014,E300 엘레강스,부산
9,BMW,14837.0,4시리즈 (F32),디젤,3500.0,2020,420d 럭셔리 그란쿠페,서울
10,BMW,61066.0,3시리즈 (F30),디젤,2750.0,2017,320d M 스포츠,서울
11,BMW,10461.0,5시리즈 (G30),디젤,6100.0,2021,523d M 스포츠,서울
12,BMW,17065.0,3시리즈 (G20),가솔린,4750.0,2020,330i M 스포츠,서울
13,포드,56048.0,머스탱,가솔린,3430.0,2019,쿠페,광주
14,캐딜락,34605.0,에스컬레이드,가솔린,7720.0,2020,6.2,경기
15,BMW,32732.0,3시리즈 GT (F34),디젤,3390.0,2018,GT 320d 럭셔리,부산
16,벤츠,49456.0,E-클래스 W213,디젤,4550.0,2017,E220d 쿠페,서울
17,BMW,37682.0,3시리즈 (G20),디젤,3700.0,2019,320d M 스포츠,서울
18,푸조,36636.0,3008 2세대,디젤,2870.0,2019,1.5 BlueHDi GT Line,광주
19,BMW,14000.0,M4 (F82),가솔린,7390.0,2020,M4 쿠페 컴패티션,경기
20,폭스바겐,63223.0,골프 7세대,디젤,1400.0,2015,2.0 TDI,대전
