,brand,mile,name,fuel,price,year,model,location
0,BMW,290000.0,7시리즈 (F01),가솔린,1290.0,2010,760Li 인디비주얼,경기
1,랜드로버,62032.0,레인지로버 벨라,가솔린,7000.0,2019,3.0 P380 R-다이나믹 SE,서울
2,미니,103270.0,쿠퍼 D 컨트리맨,디젤,1320.0,2013,SE,충남
3,미니,103270.0,쿠퍼 D 컨트리맨,디젤,1320.0,2013,SE,충남
4,시트로엥,96073.0,DS3 카브리오,디젤,829.0,2014,1.6 e-HDi 소 시크,인천
5,아우디,27900.0,뉴 A6,디젤,3450.0,2018,35 TDI 프리미엄,대구
6,미니,82304.0,쿠퍼 S 클럽맨,가솔린,2120.0,2016,기본형,광주
7,볼보,47356.0,XC60 2세대,가솔린,5820.0,2018,T6 인스크립션,서울
8,링컨,33767.0,MKX 2세대,가솔린,3550.0,2018,2.7 AWD,서울
9,미니,96000.0,쿠퍼,가솔린,790.0,2011,SE,광주
10,미니,82304.0,쿠퍼 S 클럽맨,가솔린,2120.0,2016,기본형,광주
11,포르쉐,58674.0,뉴 카이엔,가솔린,7470.0,2016,3.6,광주
12,렉서스,52389.0,LS500 5세대,가솔린,7300.0,2018,3.5 럭셔리 AWD,경기
13,볼보,70819.0,XC60,디젤,2320.0,2015,D4,경기
14,미니,19633.0,쿠퍼 클럽맨,가솔린,2900.0,2019,언타이드 슈트에디션,경기
15,BMW,48987.0,7시리즈 (G11),가솔린,7100.0,2016,750Li xDrive 럭셔리,경기
16,볼보,70819.0,XC60,디젤,2320.0,2015,D4,경기
17,렉서스,52389.0,LS500 5세대,가솔린,7300.0,2018,3.5 럭셔리 AWD,경기
18,미니,122391.0,쿠퍼 D 컨트리맨,디젤,1330.0,2015,ALL4,경기
19,미니,122391.0,쿠퍼 D 컨트리맨,디젤,1330.0,2015,ALL4,경기
20,미니,83581.0,쿠퍼 컨버터블,가솔린,1580.0,2013,하이게이트,경기
21,아우디,58500.0,뉴 A6,가솔린,2899.0,2016,40 TFSI 콰트로 스포츠,서울
22,미니,83581.0,쿠퍼 컨버터블,가솔린,1580.0,2013,하이게이트,경기
23,BMW,96306.0,3시리즈 (F30),디젤,1690.0,2014,320d xDrive,서울
24,BMW,96306.0,3시리즈 (F30),디젤,1690.0,2014,320d xDrive,서울
25,닛산,48491.0,큐브,가솔린,980.0,2013,1.8 SL,대구
26,미니,57370.0,쿠퍼,가솔린,1250.0,2010,메이페어,부산
27,닛산,82660.0,큐브,가솔린,850.0,2013,1.8 S,대전
28,미니,116830.0,쿠퍼 D 컨트리맨,디젤,1110.0,2013,ALL4,경기
29,미니,80077.0,쿠퍼 D 컨트리맨,디젤,1730.0,2015,기본형,광주
30,폭스바겐,53115.0,뉴 티구안,디젤,1590.0,2013,2.0 TDI 프리미엄,경기
31,미니,116830.0,쿠퍼 D 컨트리맨,디젤,1110.0,2013,ALL4,경기
32,BMW,72608.0,7시리즈 (F01),디젤,3470.0,2013,730Ld,경기
