,brand,mile,name,fuel,price,year,model,location
0,람보르기니,42697.0,가야르도,가솔린,14800.0,2011,LP570-4 슈퍼레제라,서울
1,BMW,9193.0,3시리즈 (G20),가솔린,4150.0,2021,320i M 스포츠,부산
2,BMW,10536.0,3시리즈 (G20),디젤,4650.0,2021,320d 럭셔리,부산
3,미니,9270.0,쿠퍼,가솔린,2977.0,2020,HIGH,경기
4,미니,7644.0,쿠퍼,가솔린,3000.0,2019,5도어 HIGH,대구
5,미니,38794.0,쿠퍼 D 컨트리맨,디젤,2390.0,2017,기본형,부산
6,미니,38794.0,쿠퍼 D 컨트리맨,디젤,2390.0,2017,기본형,부산
7,맥라렌,26846.0,650S,가솔린,16000.0,2016,3.8 스파이더,경기
8,BMW,9771.0,3시리즈 (G20),가솔린,4050.0,2021,320i,부산
9,랜드로버,40232.0,레인지로버 이보크,디젤,3880.0,2017,2.0 TD4 HSE 다이나믹,서울
10,랜드로버,40232.0,레인지로버 이보크,디젤,3880.0,2017,2.0 TD4 HSE 다이나믹,서울
11,BMW,109604.0,X1 (E84),디젤,1095.0,2013,xDrive 18d,광주
12,아우디,27130.0,R8 (4S),가솔린,16500.0,2017,5.2 V10 플러스 쿠페,대구
13,BMW,109604.0,X1 (E84),디젤,1095.0,2013,xDrive 18d,광주
14,지프,31395.0,랭글러 (JL),가솔린,5890.0,2019,2.0 루비콘 하이 4도어,경기
15,BMW,45112.0,M4 (F82),가솔린,6200.0,2016,M4 컨버터블 퍼포먼스 사일렌서 에디션,서울
16,랜드로버,167667.0,프리랜더2,디젤,690.0,2007,2.2 TD4 HSE,경남
17,BMW,10521.0,3시리즈 (G20),디젤,4300.0,2021,320d 럭셔리,부산
18,BMW,4707.0,3시리즈 (G20),디젤,4200.0,2021,320d M 스포츠,부산
19,BMW,12633.0,3시리즈 (G20),디젤,4300.0,2021,320d M 스포츠,부산
20,BMW,6941.0,3시리즈 (G20),디젤,4390.0,2021,320d 럭셔리,부산
21,BMW,3233.0,3시리즈 (G20),디젤,4050.0,2020,320d 럭셔리,부산
22,BMW,7741.0,3시리즈 (G20),디젤,4300.0,2021,320d M 스포츠,경기
23,랜드로버,99988.0,디스커버리 5,디젤,5290.0,2018,3.0 TD6 HSE 럭셔리,전북
24,스즈키,44700.0,허슬러,가솔린,1490.0,2015,0.6,부산
25,BMW,9138.0,3시리즈 (G20),디젤,4100.0,2021,320d M 스포츠,경기
26,BMW,4200.0,3시리즈 (G20),디젤,4650.0,2021,320d xDrive 럭셔리,경기
27,BMW,9494.0,3시리즈 (G20),디젤,4500.0,2021,320d 럭셔리,경기
28,폭스바겐,125409.0,골프 7세대,디젤,950.0,2014,2.0 TDI,경기
29,폭스바겐,125409.0,골프 7세대,디젤,950.0,2014,2.0 TDI,경기
30,BMW,7741.0,3시리즈 (G20),디젤,4300.0,2021,320d M 스포츠,경기
31,BMW,64990.0,3시리즈 (F30),가솔린,3380.0,2018,330i M 스포츠 쉐도우,경기
32,BMW,64990.0,3시리즈 (F30),가솔린,3380.0,2018,330i M 스포츠 쉐도우,경기
33,포르쉐,12200.0,911,가솔린,22000.0,2016,GT3 RS,서울
34,험머,2689.0,H2,가솔린,3380.0,2003,6.0,대전
35,BMW,4871.0,3시리즈 (G20),디젤,4400.0,2021,320d M 스포츠,경기
36,BMW,4605.0,1시리즈 (F40),디젤,3100.0,2021,118d 스포츠,경기
37,BMW,4460.0,3시리즈 (G20),디젤,4400.0,2021,320d 럭셔리,경기
38,BMW,8619.0,3시리즈 (G20),가솔린,4100.0,2021,320i M 스포츠,경기
39,BMW,3349.0,3시리즈 (G20),가솔린,3999.0,2021,320i 럭셔리,경기
40,포르쉐,71113.0,718 박스터,가솔린,8850.0,2017,S 2.5,경기
41,지프,80000.0,레니게이드,가솔린,1870.0,2018,2.4 론지튜드 하이,대전
42,지프,106000.0,레니게이드,디젤,1580.0,2015,2.0 디젤 리미티드 AWD,대전
43,BMW,10152.0,3시리즈 (G20),디젤,4090.0,2021,320d 럭셔리,서울
44,BMW,10810.0,3시리즈 (G20),디젤,4200.0,2021,320d M 스포츠,서울
45,BMW,4209.0,3시리즈 (G20),가솔린,3850.0,2021,320i,서울
46,미니,6020.0,쿠퍼,가솔린,3150.0,2021,5도어 HIGH,서울
47,BMW,7500.0,3시리즈 (G20),가솔린,3750.0,2020,320i,서울
48,지프,82000.0,레니게이드,디젤,1450.0,2015,2.0 디젤 리미티드 AWD,인천
49,BMW,7741.0,3시리즈 (G20),디젤,4300.0,2021,320d M 스포츠,경기
50,BMW,7741.0,3시리즈 (G20),가솔린,4350.0,2021,320d M 스포츠,경기
51,미니,40882.0,쿠퍼 S,가솔린,2820.0,2019,5도어 기본형,경기
52,지프,107877.0,레니게이드,디젤,1480.0,2015,2.0 디젤 리미티드 AWD,경기
53,도요타,79014.0,86,가솔린,1749.0,2013,2.0,경기
54,BMW,7741.0,3시리즈 (G20),디젤,4300.0,2021,320d M 스포츠,경기
55,미니,3050.0,쿠퍼 S,가솔린,3400.0,2021,HIGH,인천
56,BMW,10400.0,3시리즈 (G20),가솔린,4200.0,2021,320i 럭셔리,인천
57,미니,5795.0,쿠퍼,가솔린,3100.0,2020,5도어 HIGH,인천
58,미니,3063.0,쿠퍼 S,가솔린,3400.0,2021,HIGH,인천
59,BMW,10449.0,3시리즈 (G20),가솔린,4200.0,2021,320i 럭셔리,인천
60,BMW,4656.0,3시리즈 (G20),가솔린,3950.0,2021,320i 럭셔리,인천
