,brand,mile,name,fuel,price,year,model,location
0,푸조,54000.0,3008 2세대,디젤,2850.0,2019,1.5 BlueHDi GT Line,부산
1,미니,41492.0,쿠퍼 클럽맨,가솔린,3333.0,2018,High,서울
2,미니,41492.0,쿠퍼 클럽맨,가솔린,3333.0,2018,High,서울
3,미니,3330.0,쿠퍼 SD 클럽맨,디젤,4100.0,2021,기본형,경기
4,캐딜락,109136.0,CTS 2세대,가솔린,469.0,2010,3.0 Performance,경기
5,아우디,75104.0,Q5,디젤,2300.0,2015,35 TDI 콰트로,경기
6,폭스바겐,85000.0,폴로,디젤,990.0,2015,1.4 TDI R-Line,부산
7,미니,6431.0,쿠퍼 S 클럽맨,가솔린,3730.0,2020,기본형,부산
8,미니,6431.0,쿠퍼 S 클럽맨,가솔린,3730.0,2020,기본형,부산
9,미니,4665.0,쿠퍼,가솔린,2700.0,2019,5도어 기본형,경기
10,랜드로버,90000.0,디펜더,디젤,8490.0,2010,90,경기
11,랜드로버,92100.0,레인지로버 스포츠 2세대,디젤,5900.0,2016,3.0 SDV6 HSE 다이나믹,경기
12,포드,137431.0,머스탱,가솔린,1149.0,2010,쿠페,경기
13,지프,80880.0,랭글러 (JK),가솔린,3399.0,2016,3.6 루비콘 4도어,경기
14,지프,19000.0,랭글러 (JL),가솔린,5450.0,2020,2.0 루비콘 하이 4도어,대전
15,지프,56509.0,랭글러 (JK),가솔린,2990.0,2016,3.6 스포츠 2도어,경북
16,미니,3330.0,쿠퍼 SD 클럽맨,디젤,4100.0,2021,기본형,경기
17,미니,3353.0,쿠퍼 SD 클럽맨,디젤,4100.0,2021,기본형,경기
18,벤츠,47521.0,E-클래스 W213,가솔린,6290.0,2018,E400 4MATIC 쿠페,경기
19,미니,3330.0,쿠퍼 SD 클럽맨,디젤,4100.0,2021,기본형,경기
20,포드,105324.0,머스탱,가솔린,3590.0,2016,GT 컨버터블,경기
21,포드,54793.0,익스플로러,가솔린,2700.0,2016,2.3 리미티드 4WD,경기
22,미니,52644.0,쿠퍼 D 컨트리맨,디젤,1490.0,2012,ALL4,경기
23,벤틀리,41000.0,컨티넨탈 GT 2세대,가솔린,18300.0,2017,6.0 GTC,서울
24,랜드로버,130000.0,디스커버리 스포츠,디젤,2190.0,2016,2.0 TD4 HSE 럭셔리,전북
25,벤츠,17000.0,E-클래스 W213,가솔린,4790.0,2019,E300 아방가르드,경기
