,bradn,mile,name,fuel,price,year,model,location
0,푸조,80394.0,3008,디젤,899.0,2014,2.0 HDi,서울
1,BMW,96507.0,7시리즈 (G11),디젤,6590.0,2017,740Ld xDrive M 스포츠,경기
2,벤츠,39621.0,CLS-클래스 C257,디젤,7050.0,2019,CLS400d 4MATIC,부산
3,BMW,14311.0,X1 (F48),디젤,3780.0,2020,xDrive 18d 어드밴티지,경기
4,아우디,103453.0,Q3,디젤,1570.0,2014,2.0 TDI 콰트로,서울
5,포르쉐,88785.0,카이맨,가솔린,5690.0,2014,S 3.4,서울
6,BMW,24375.0,5시리즈 GT (F07),디젤,3450.0,2015,GT ED Edition,경기
7,지프,33420.0,그랜드 체로키,가솔린,4120.0,2019,3.6 오버랜드,인천
8,폭스바겐,123713.0,골프 7세대,디젤,1649.0,2015,2.0 GTD,경기
9,포르쉐,70827.0,718 박스터,가솔린,7000.0,2018,S 2.5,경기
10,포드,43843.0,머스탱,가솔린,3230.0,2015,GT 쿠페,경기
11,벤츠,45671.0,GLA-클래스 X156,가솔린,3000.0,2018,GLA220 프리미엄,광주
12,혼다,27957.0,파일럿 3세대,가솔린,3730.0,2019,3.5,경기
13,BMW,67393.0,5시리즈 (F10),가솔린,1990.0,2012,528i,대구
14,BMW,52591.0,5시리즈 (G30),가솔린,4280.0,2018,530i xDrive M 스포츠 플러스,경기
15,BMW,125572.0,X1 (E84),디젤,1170.0,2011,xDrive 20d,대구
16,BMW,125526.0,5시리즈 (F10),디젤,2499.0,2016,520d M 에어로 다이나믹,대구
17,미니,22308.0,쿠퍼 SD 컨트리맨,디젤,4400.0,2020,ALL4,경기
18,푸조,125604.0,3008,디젤,490.0,2011,1.6 HDi,경기
19,볼보,53586.0,XC60 2세대,디젤,5050.0,2019,D5 모멘텀,경기
20,볼보,43344.0,XC60 2세대,가솔린,5400.0,2018,T6 인스크립션,경기
21,볼보,2319.0,V60 크로스컨트리 2세대,가솔린,5630.0,2021,B5 프로 AWD,경기
22,볼보,6125.0,V60 크로스컨트리 2세대,가솔린,5600.0,2021,B5 프로 AWD,경기
23,볼보,980.0,S60 3세대,가솔린,5080.0,2021,B5 인스크립션,경기
24,볼보,8018.0,XC60 2세대,가솔린,6500.0,2021,B5 인스크립션,경기
25,테슬라,50117.0,모델 S,전기,8650.0,2019,100D,경기
26,BMW,8699.0,X4 (G02),가솔린,6150.0,2020,xDrive20i xLine,경기
27,재규어,100678.0,New XF,가솔린,1150.0,2013,3.0SC 럭셔리,경기
28,링컨,94204.0,MKX 2세대,가솔린,2490.0,2017,2.7 AWD,대구
29,벤츠,79841.0,GLC-클래스 X253,디젤,4680.0,2018,GLC220 d 4MATIC 쿠페,서울
30,렉서스,39807.0,ES300h 7세대,가솔린+전기,4480.0,2019,럭셔리 플러스,서울
31,닛산,75481.0,쥬크,가솔린,1150.0,2016,1.6 SV,서울
32,도요타,46234.0,프리우스 4세대,가솔린+전기,1920.0,2017,1.8 E,서울
33,BMW,160585.0,5시리즈 GT (F07),디젤,2130.0,2016,GT ED Edition,서울
34,BMW,97372.0,5시리즈 (F10),디젤,2399.0,2015,520d xDrive,경기
35,벤츠,73678.0,E-클래스 W213,가솔린,5390.0,2019,E300 4MATIC 익스클루시브,부산
36,BMW,80934.0,3시리즈 (F30),디젤,2550.0,2017,320d M 스포츠,경기
37,폭스바겐,35904.0,아테온,디젤,3720.0,2019,2.0 TDI 프레스티지,경기
38,인피니티,43570.0,Q50,디젤,1830.0,2016,2.2d 프리미엄,경기
39,인피니티,71146.0,G37,가솔린,890.0,2010,세단 스포츠,경기
40,벤츠,117720.0,E-클래스 W212,가솔린,1150.0,2011,E300 엘레강스,경기
41,볼보,69500.0,V90 크로스컨트리,디젤,4530.0,2019,D5 AWD,경기
42,볼보,180454.0,S80,디젤,680.0,2011,D5,경기
43,재규어,140843.0,X-TYPE,디젤,490.0,2009,2.2D,경기
44,BMW,96507.0,7시리즈 (G11),디젤,6590.0,2017,740Ld xDrive M 스포츠,경기
45,벤츠,39621.0,CLS-클래스 C257,디젤,7050.0,2019,CLS400d 4MATIC,부산
46,벤츠,70100.0,C-클래스 W205,가솔린,7260.0,2017,C63 AMG 카브레올레,경기
47,스바루,150265.0,레거시,가솔린,390.0,2011,3.6R,경기
48,BMW,14311.0,X1 (F48),디젤,3780.0,2020,xDrive 18d 어드밴티지,경기
49,아우디,103453.0,Q3,디젤,1570.0,2014,2.0 TDI 콰트로,서울
50,벤츠,195810.0,M-클래스 W166,디젤,2680.0,2012,ML350 블루텍 4MATIC,경기
51,포르쉐,88785.0,카이맨,가솔린,5690.0,2014,S 3.4,서울
52,아우디,131955.0,뉴 A6,가솔린,1250.0,2012,3.0 TFSI 콰트로 다이나믹,인천
53,BMW,24375.0,5시리즈 GT (F07),디젤,3450.0,2015,GT ED Edition,경기
54,벤츠,73976.0,GLS-클래스 X166,디젤,6590.0,2017,GLS350 d 4MATIC,인천
55,지프,33420.0,그랜드 체로키,가솔린,4120.0,2019,3.6 오버랜드,인천
56,지프,143779.0,그랜드 체로키,디젤,1590.0,2012,3.0 디젤 오버랜드,인천
57,벤츠,98294.0,E-클래스 W212,디젤,2450.0,2016,E220 CDI 아방가르드,대구
58,폭스바겐,123713.0,골프 7세대,디젤,1649.0,2015,2.0 GTD,경기
59,벤츠,62815.0,C-클래스 W205,디젤,3700.0,2019,C220 d 4MATIC AMG Line,경기
60,링컨,61143.0,뉴 MKZ,가솔린,1450.0,2014,2.0,경기
61,BMW,45837.0,4시리즈 (F32),가솔린,3499.0,2015,428i M 스포츠 컨버터블,경기
62,BMW,59166.0,X3 (G01),디젤,4790.0,2018,xDrive 20d,경기
63,벤츠,53384.0,E-클래스 W212,디젤,2490.0,2015,E220 CDI 아방가르드,대구
64,포르쉐,62473.0,카이엔 (PO536),가솔린,11599.0,2019,3.0,부산
65,벤츠,151751.0,E-클래스 W213,가솔린,3450.0,2017,E300 아방가르드 인텔리전트 드라이브,경기
66,BMW,112312.0,5시리즈 (G30),디젤,3349.0,2018,520d M 스포츠,대구
67,지프,7273.0,그랜드 체로키,가솔린,3990.0,2020,3.6 리미티드,대구
68,벤츠,20524.0,GLA-클래스 X156,가솔린,3600.0,2018,GLA220 프리미엄,전남
69,벤츠,35930.0,E-클래스 W213,가솔린,7350.0,2018,E400 카브리올레,전남
70,벤츠,2290.0,CLS-클래스 C257,디젤,7990.0,2020,CLS300d AMG Line,전남
71,재규어,47261.0,XF (X260),디젤,2680.0,2018,20d 프레스티지,경기
72,BMW,97372.0,5시리즈 (F10),디젤,2399.0,2015,520d xDrive,경기
73,벤츠,73678.0,E-클래스 W213,가솔린,5390.0,2019,E300 4MATIC 익스클루시브,부산
74,BMW,72000.0,4시리즈 (F32),디젤,2850.0,2018,420d 럭셔리 그란쿠페,서울
75,아우디,131035.0,S8,가솔린,830.0,2007,5.2 FSI 콰트로,경기
76,BMW,80934.0,3시리즈 (F30),디젤,2550.0,2017,320d M 스포츠,경기
77,BMW,78621.0,5시리즈 (E60),가솔린,990.0,2008,535i 세단,서울
78,벤츠,58135.0,E-클래스 W213,가솔린,3850.0,2017,E200 아방가르드,대구
79,BMW,36125.0,5시리즈 (G30),가솔린,4080.0,2018,530i xDrive M 스포츠 플러스,경기
80,벤츠,36038.0,E-클래스 W213,가솔린,4880.0,2018,E300 아방가르드,광주
81,벤츠,18477.0,CLS-클래스 C257,가솔린,10400.0,2020,AMG CLS53 4MATIC+,인천
82,폭스바겐,35904.0,아테온,디젤,3720.0,2019,2.0 TDI 프레스티지,경기
83,푸조,19757.0,3008 2세대,디젤,2830.0,2018,1.6 BlueHDi GT Line,서울
84,인피니티,43570.0,Q50,디젤,1830.0,2016,2.2d 프리미엄,경기
85,BMW,69316.0,5시리즈 (G30),디젤,3750.0,2017,520d M 스포츠,경기
86,BMW,108224.0,X6 (F16),디젤,6050.0,2017,M50d,경기
87,BMW,96090.0,5시리즈 (G30),디젤,3690.0,2017,520d M 스포츠 플러스,대구
88,BMW,111664.0,X6 (F16),디젤,4599.0,2017,xDrive 30d,충남
89,BMW,94050.0,X1 (E84),디젤,1180.0,2010,xDrive 23d,경기
90,벤츠,26429.0,C-클래스 W205,디젤,2770.0,2016,C200 d,인천
91,폭스바겐,155221.0,뉴 CC,디젤,1050.0,2013,2.0 TDI 블루모션 4모션,경기
92,벤츠,62815.0,C-클래스 W205,디젤,3700.0,2019,C220 d 4MATIC AMG Line,경기
