,brand,mile,name,fuel,price,year,model,location
0,기아,144663.0,모하비,디젤,890.0,2008,4WD KV300,경기
1,르노삼성,114000.0,All New SM7,가솔린,850.0,2012,LE,울산
2,현대,240000.0,그랜저 HG,가솔린,680.0,2011,HG300 노블,울산
3,현대,192608.0,그랜저 HG,가솔린,710.0,2013,HG300 익스클루시브,서울
4,기아,94863.0,로체 어드밴스,LPG(일반인 구입),330.0,2008,LPI DLX,경기
5,현대,67801.0,제네시스,가솔린,1590.0,2014,BH330 프리미엄,경기
6,쉐보레(GM대우),156390.0,말리부,가솔린,480.0,2013,2.0 LT 디럭스팩,경기
7,현대,166428.0,YF 쏘나타,가솔린,430.0,2010,Y20 탑,경기
8,현대,14500.0,팰리세이드,가솔린,5399.0,2021,가솔린 3.8 4WD,경기
9,현대,124543.0,그랜저 HG,LPG(일반인 구입),1270.0,2015,LPG HG300 모던,서울
10,현대,65692.0,그랜저 IG,가솔린,2150.0,2018,3.0 익스클루시브,경기
11,현대,102865.0,LF 쏘나타,가솔린,1140.0,2017,2.0 스타일,인천
12,현대,86394.0,쏠라티,디젤,3920.0,2018,15인승,경기
13,현대,99792.0,그랜저 IG,가솔린,2150.0,2017,3.0 익스클루시브,충남
14,제네시스,67449.0,G90,가솔린,6890.0,2019,3.8 AWD,대구
15,현대,155539.0,제네시스,가솔린,1050.0,2013,BH330 모던,경기
16,기아,254596.0,K7,가솔린,560.0,2011,VG270 럭셔리,전북
17,르노삼성,6174.0,더 뉴 SM6,LPG(일반인 구입),2560.0,2021,2.0 LPe RE,경기
18,현대,19312.0,쏘나타 (DN8),가솔린,2010.0,2020,2.0,인천
19,현대,70030.0,아슬란,가솔린,1930.0,2016,G300 익스클루시브,서울
20,현대,248138.0,제네시스 DH,가솔린,1899.0,2015,G380 파이니스트 에디션 AWD,대구
21,기아,243977.0,뉴오피러스,LPG(일반인 구입),450.0,2009,LPI GH270 고급형,경기
22,현대,66897.0,제네시스 DH,가솔린,2300.0,2015,G330 프리미엄,경기
23,기아,95485.0,더 뉴 K5,LPG(일반인 구입),850.0,2015,LPI 디럭스,전북
24,기아,19542.0,K7 프리미어,가솔린,3150.0,2020,2.5 GDI 노블레스,서울
25,현대,92615.0,그랜저 HG,가솔린,1159.0,2013,HG240 모던,충남
26,기아,60532.0,모하비,디젤,2030.0,2014,4WD QV300,충남
27,제네시스,114132.0,EQ900,가솔린,3450.0,2017,3.8 GDI AWD,충북
28,기아,147720.0,올 뉴 쏘렌토,디젤,1440.0,2016,디젤 2.0 2WD,경기
29,기아,23767.0,올 뉴 K3,가솔린,1630.0,2020,프레스티지,경기
30,현대,122476.0,제네시스 DH,가솔린,2350.0,2016,G330 프리미엄,대구
31,쌍용,187006.0,코란도 스포츠,디젤,790.0,2012,CX7 4WD,경기
32,현대,57846.0,올 뉴 투싼,디젤,2290.0,2017,디젤 2.0 4WD,대구
33,현대,26964.0,그랜저 HG,가솔린,9999.0,2013,HG240 모던,서울
34,현대,139327.0,에쿠스(신형),가솔린,1290.0,2012,VS380,경기
35,제네시스,39098.0,G70,디젤,3670.0,2019,2.2D AWD,경기
36,현대,122073.0,올 뉴 투싼,디젤,1545.0,2017,디젤 2.0 4WD,충남
37,기아,44059.0,올 뉴 K7,가솔린,2960.0,2019,3.0 GDI 노블레스,경기
38,르노삼성,44223.0,SM7 노바,LPG(일반인 구입),1470.0,2017,LPLI 2.0 LPe 장애인용,광주
39,현대,139884.0,에쿠스(신형),가솔린,1590.0,2013,VS380,전북
40,현대,97924.0,그랜저 IG,가솔린,1699.0,2017,2.4 프리미엄,경기
41,현대,167504.0,그랜저 TG,가솔린,250.0,2008,Q270 럭셔리,경기
42,쉐보레(GM대우),58152.0,더 넥스트 스파크,가솔린,690.0,2017,LT,울산
43,쉐보레(GM대우),38776.0,올 뉴 말리부,가솔린,2050.0,2018,2.0 터보 퍼펙트 블랙,경기
44,쉐보레(GM대우),47486.0,올 뉴 말리부,가솔린,1820.0,2017,2.0 터보 LTZ,경기
45,현대,67950.0,제네시스 DH,가솔린,2590.0,2016,G330 프리미엄 AWD,광주
46,현대,99404.0,그랜저 IG,가솔린,1969.0,2018,2.4 프리미엄,충남
47,쌍용,105774.0,슈퍼 렉스턴,디젤,680.0,2010,2WD RX6,경기
48,쉐보레(GM대우),9508.0,트레일블레이저,가솔린,2550.0,2021,1.3 터보 2WD,전북
49,기아,48958.0,K5 하이브리드 2세대,가솔린+전기,1850.0,2016,노블레스,서울
50,기아,20655.0,더 뉴 카니발,가솔린,3790.0,2020,가솔린 7인승 리무진,경기
51,기아,74041.0,올 뉴 카니발,디젤,2190.0,2018,9인승 프레스티지,대전
52,현대,49822.0,그랜저 IG,가솔린,2650.0,2019,2.4 프리미엄,충남
53,현대,124196.0,그랜저 TG,가솔린,290.0,2007,아제라 (수출형),부산
54,기아,147156.0,올 뉴 K7,가솔린,1400.0,2017,2.4 GDI 프레스티지,경기
55,쌍용,196348.0,뉴체어맨 W,가솔린,859.0,2012,V8 5000,광주
56,현대,74897.0,제네시스 DH,가솔린,2590.0,2016,G330 프리미엄 AWD,경기
