,brand,mile,name,fuel,price,year,model,location
0,볼보,92028.0,S80,디젤,950.0,2012,D3,경기
1,렉서스,14191.0,ES300h 7세대,가솔린+전기,5450.0,2020,이그제큐티브,서울
2,미니,50500.0,쿠퍼 S 컨트리맨,가솔린,3390.0,2019,ALL4,부산
3,BMW,11675.0,7시리즈 (G11),디젤,10000.0,2021,730d xDrive 디자인 퓨어 엑셀런스,부산
4,폭스바겐,53482.0,뉴 CC,가솔린,1290.0,2013,2.0 TSI,대전
5,벤츠,85000.0,E-클래스 W210,가솔린,490.0,2001,E280,부산
6,랜드로버,262221.0,디스커버리 4,디젤,1600.0,2010,2.7 TDV6 SE,경기
7,포르쉐,57952.0,마칸,디젤,5590.0,2015,3.0 S 디젤,서울
8,렉서스,37329.0,ES300h 7세대,가솔린+전기,5050.0,2019,이그제큐티브,경기
9,BMW,83253.0,5시리즈 GT (F07),디젤,2350.0,2014,GT ED Edition,서울
10,랜드로버,160953.0,레인지로버 4세대,디젤,5770.0,2015,4.4 SDV8 Vogue SE 디젤,부산
11,렉서스,1310.0,CT200h,가솔린+전기,3450.0,2020,1.8 슈프림,경기
12,BMW,10985.0,7시리즈 (G11),가솔린+전기,11700.0,2021,745Le i퍼포먼스 디자인 퓨어 엑셀런스,경기
13,벤츠,283499.0,E-클래스 W212,가솔린,690.0,2011,E300 엘레강스,경기
14,폭스바겐,230960.0,CC,디젤,450.0,2010,2.0 TDI,경기
15,미니,12240.0,쿠퍼,가솔린,2400.0,2019,기본형,서울
16,미니,8376.0,쿠퍼 SD 컨트리맨,디젤,4400.0,2020,ALL4,서울
17,벤틀리,60151.0,플라잉스퍼 1세대,가솔린,6180.0,2012,6.0,서울
18,재규어,114000.0,S-TYPE,가솔린,890.0,2008,3.0,경기
19,미니,94954.0,쿠퍼,가솔린,1030.0,2012,기본형,인천
20,랜드로버,99000.0,레인지로버 4세대,디젤,6900.0,2016,4.4 SDV8 Vogue SE 디젤,서울
21,인피니티,191000.0,M35,가솔린,380.0,2010,프리미엄,부산
22,볼보,304800.0,XC60,디젤,970.0,2010,D5 AWD,경북
23,BMW,65137.0,X6 (F16),디젤,4650.0,2016,xDrive 30d,경기
24,혼다,117981.0,오딧세이,가솔린,999.0,2009,3.5,대구
25,캐딜락,7910.0,에스컬레이드,가솔린,8650.0,2020,6.2,부산
26,캐딜락,84000.0,드빌,가솔린,1500.0,2000,DHS,서울
27,도요타,196200.0,시에나,가솔린,640.0,2004,3.5,경기
28,렉서스,32000.0,뉴 ES300h,가솔린+전기,2990.0,2017,슈프림,경기
29,도요타,120000.0,파쏘,가솔린,250.0,2005,1.0 X,경기
30,벤츠,168000.0,E-클래스 W211,가솔린,389.0,2003,E320,경기
31,렉서스,101729.0,RX450h 4세대,가솔린+전기,4840.0,2018,이그제큐티브,서울
32,애스턴마틴,5441.0,DB11,가솔린,25200.0,2020,4.0 V8 볼란테,경기
33,랜드로버,79000.0,레인지로버 4세대,디젤,10800.0,2017,4.4 SDV8 AB LWB 디젤,전북
34,렉서스,119049.0,뉴 GS200t,가솔린,2670.0,2017,슈프림,경기
35,포드,98727.0,익스플로러,가솔린,1350.0,2011,3.5 리미티드 4WD,경기
36,렉서스,40868.0,ES300h 7세대,가솔린+전기,4350.0,2019,럭셔리 플러스,부산
37,아우디,64000.0,뉴 A6,디젤,3890.0,2016,55 TDI 콰트로 스포츠,인천
38,혼다,188000.0,어코드,가솔린,400.0,2005,3.0,경기
39,벤틀리,67022.0,뮬산,가솔린,15500.0,2012,6.8,경기
40,지프,130799.0,그랜드 체로키,디젤,2150.0,2014,3.0 디젤 오버랜드,광주
41,벤츠,90000.0,뉴 SLK-클래스,가솔린,1100.0,2005,350,서울
42,지프,127221.0,랭글러 (YJ),가솔린,3500.0,1992,4.0,경기
43,렉서스,82000.0,ES300h 7세대,가솔린+전기,4550.0,2019,이그제큐티브,경기
44,벤츠,27828.0,C-클래스 W205,디젤,3630.0,2019,C220 d 아방가르드,전북
45,링컨,108100.0,LS,가솔린,390.0,2005,3.0,경기
46,벤츠,4320.0,CLS-클래스 C257,가솔린,9800.0,2021,CLS450 4MATIC AMG Line,서울
47,험머,131399.0,H2,가솔린,2799.0,2004,6.0,경기
48,마세라티,56512.0,기블리,가솔린,4450.0,2014,3.0S Q4,경기
49,아우디,15759.0,A7,디젤,4490.0,2016,50 TDI 콰트로 프리미엄,경기
50,벤츠,100000.0,E-클래스 W212,가솔린,1480.0,2011,E350 쿠페,경남
51,렉서스,80586.0,뉴 ES300h,가솔린+전기,3199.0,2017,이그제큐티브,경기
52,지프,97643.0,그랜드 체로키,디젤,2590.0,2014,3.0 디젤 오버랜드서밋,경기
53,벤츠,220000.0,SEL/SEC,가솔린,950.0,1992,300SEL,충남
54,벤츠,254500.0,S-클래스,가솔린,1200.0,2003,S55L AMG,충남
55,벤츠,157200.0,E-클래스 W211,가솔린,1050.0,2003,E500,충남
56,BMW,121622.0,X3 (F25),디젤,1790.0,2013,xDrive 20d 하이,인천
57,BMW,121622.0,X3 (F25),디젤,1790.0,2013,xDrive 20d 하이,인천
58,BMW,50912.0,2시리즈 액티브 투어러 (F45),디젤,1850.0,2016,조이,부산
59,마세라티,22416.0,기블리,가솔린,6190.0,2018,3.0,경기
60,폭스바겐,130525.0,골프 5세대,가솔린,370.0,2005,2.0 FSI,경기
61,벤틀리,56000.0,컨티넨탈 GT 2세대,가솔린,12500.0,2013,6.0 GT 스피드,경기
62,아우디,113649.0,뉴 A6,가솔린,2300.0,2016,40 TFSI 콰트로 스포츠,부산
63,볼보,237735.0,XC70,가솔린,600.0,2001,2.4T,경기
64,닷지,309398.0,듀랑고,가솔린,530.0,2007,4.7L,서울
65,볼보,13300.0,S60 3세대,가솔린,4600.0,2020,T5 인스크립션,경기
66,아우디,113649.0,뉴 A6,가솔린,2300.0,2016,40 TFSI 콰트로 스포츠,부산
67,쉐보레,137747.0,익스프레스밴,가솔린,1330.0,2005,5.3,경기
68,랜드로버,156592.0,디스커버리 스포츠,디젤,1951.0,2016,2.0 TD4 HSE 럭셔리,경기
69,포드,210000.0,E-Series,가솔린,3500.0,2011,E-350,서울
70,닛산,158000.0,휘가로,가솔린,2200.0,1991,CONVERTIBLE,전북
71,지프,275154.0,그랜드 체로키,디젤,385.0,2004,2.7 디젤 라레도,광주
72,벤틀리,71160.0,뮬산,가솔린,15890.0,2013,6.8,광주
73,벤츠,890.0,C-클래스 W205,가솔린,3950.0,2021,C200 쿠페,충남
74,렉서스,170842.0,IS200,가솔린,1150.0,2002,L-Grade,경기
75,폭스바겐,59134.0,뉴 티구안,디젤,1630.0,2015,2.0 TDI 컴포트,부산
76,미니,97000.0,쿠퍼 S 컨트리맨,가솔린,980.0,2011,기본형,경기
77,볼보,166000.0,XC60,디젤,1350.0,2013,D5 AWD,광주
78,마세라티,1870.0,콰트로포르테,가솔린,10350.0,2020,3.0 V6,서울
79,지프,74000.0,레니게이드,디젤,1330.0,2015,2.0 디젤 리미티드 AWD,경기
80,BMW,162000.0,7시리즈 (F01),가솔린,2200.0,2011,760Li,경기
81,벤틀리,46000.0,플라잉스퍼 1세대,가솔린,7700.0,2012,6.0,전남
82,푸조,51312.0,2008,디젤,1050.0,2016,1.6 BlueHDi 악티브,서울
83,마세라티,12000.0,르반떼,가솔린,9000.0,2020,3.0 AWD 그란스포츠,경기
84,닷지,21000.0,램픽업,가솔린,6400.0,2017,5.7,서울
85,BMW,32000.0,6시리즈 GT (G32),가솔린,5880.0,2018,640i xDrive 럭셔리,서울
86,벤츠,147415.0,E-클래스 W123,디젤,2900.0,1981,300D,경기
87,지프,180239.0,그랜드 체로키,디젤,2150.0,2014,3.0 디젤 오버랜드서밋,경기
88,캐딜락,178000.0,에스컬레이드,가솔린,980.0,2004,6.0,서울
