,brand,mile,name,fuel,price,year,model,location
0,벤츠,144129.0,C-클래스 W204,가솔린,630.0,2009,C230 아방가르드,서울
1,벤츠,80313.0,S-클래스 W222,가솔린,9300.0,2016,S63 AMG 4MATIC,서울
2,포르쉐,14488.0,911 (992),가솔린,14910.0,2020,카레라 4S,경기
3,미니,1122.0,쿠퍼 S 클럽맨,가솔린,3899.0,2021,기본형,경기
4,미니,23924.0,쿠퍼 SD,디젤,2849.0,2018,기본형,경기
5,벤츠,122077.0,CLS-클래스 W218,디젤,3490.0,2016,CLS350 d 4MATIC,서울
6,미니,80185.0,쿠퍼,가솔린,1050.0,2010,메이페어,전북
7,피아트,96297.0,500C,가솔린,1350.0,2012,1.4,대구
8,링컨,29604.0,MKX 2세대,가솔린,3480.0,2018,2.7 AWD,경기
9,미니,23924.0,쿠퍼 SD,디젤,2849.0,2018,기본형,경기
10,벤츠,140200.0,E-클래스 W212,가솔린,1020.0,2012,E200 CGI,경북
11,링컨,29604.0,MKX 2세대,가솔린,3480.0,2018,2.7 AWD,경기
12,미니,116990.0,쿠퍼 S,가솔린,920.0,2011,기본형,경기
13,닛산,155700.0,큐브,가솔린,565.0,2012,1.8 SL,대구
14,다이하쯔,3215.0,탄토,가솔린,1590.0,2016,0.6,서울
15,미니,90631.0,쿠퍼 D,디젤,1550.0,2015,Mid,충남
16,벤츠,141000.0,E-클래스 W212,가솔린,1050.0,2011,E300 엘레강스,전북
17,다이하쯔,3215.0,탄토,가솔린,1590.0,2016,0.6,서울
18,미니,80564.0,쿠퍼,가솔린,780.0,2011,SE,전북
19,미니,14366.0,쿠퍼,가솔린,2399.0,2019,HIGH,경기
20,미니,90631.0,쿠퍼 D,디젤,1550.0,2015,Mid,충남
21,벤츠,239897.0,GLK-클래스 X204,디젤,1030.0,2012,GLK220 CDI,경기
22,미니,21367.0,쿠퍼,가솔린,1999.0,2017,기본형,서울
23,피아트,66047.0,500,가솔린,850.0,2013,1.4 라운지,경기
24,지프,113284.0,체로키(KL),디젤,1500.0,2015,2.0 디젤 론지튜드 AWD,서울
25,포드,125543.0,익스플로러,가솔린,2430.0,2017,2.3 리미티드 4WD,경기
26,미니,15433.0,쿠퍼,가솔린,2550.0,2019,5도어 기본형,서울
27,미니,71050.0,쿠퍼 클럽맨,가솔린,1130.0,2013,기본형,경기
28,미니,142935.0,쿠퍼 컨버터블,가솔린,1330.0,2014,하이게이트,경기
29,포드,125543.0,익스플로러,가솔린,2430.0,2017,2.3 리미티드 4WD,경기
30,지프,113284.0,체로키(KL),디젤,1500.0,2015,2.0 디젤 론지튜드 AWD,서울
31,미니,100883.0,쿠퍼 D 클럽맨,디젤,2099.0,2016,High,서울
32,피아트,66047.0,500,가솔린,850.0,2013,1.4 라운지,경기
33,재규어,131179.0,All New XJ,가솔린,1830.0,2010,5.0 포트폴리오 LWB,경기
34,혼다,72300.0,CR-V,가솔린,1050.0,2011,2.4 4WD,부산
35,미니,49112.0,쿠퍼 S 클럽맨,가솔린,2770.0,2018,기본형,경기
36,미니,122263.0,쿠퍼 클럽맨,가솔린,780.0,2010,기본형,부산
37,캐딜락,145323.0,STS,가솔린,199.0,2007,3.6,경기
38,미니,19333.0,쿠퍼 S,가솔린,3070.0,2019,5도어 기본형,부산
39,미니,49112.0,쿠퍼 S 클럽맨,가솔린,2770.0,2018,기본형,경기
40,애스턴마틴,43000.0,뱅퀴시,가솔린,13300.0,2016,6.0 V12 쿠페,서울
41,미니,65143.0,쿠퍼 D,디젤,1920.0,2016,HIGH,경기
42,벤츠,16989.0,C-클래스 W205,가솔린,4320.0,2020,C200 아방가르드,경북
43,미니,120722.0,쿠퍼,가솔린,680.0,2011,SE,부산
44,미니,65143.0,쿠퍼 D,디젤,1920.0,2016,HIGH,경기
45,렉서스,36000.0,CT200h,가솔린+전기,2420.0,2017,1.8 슈프림,경남
46,벤츠,38914.0,A-클래스 W176,가솔린,2050.0,2018,A200 AMG Line,서울
47,미니,79804.0,쿠퍼,가솔린,1120.0,2013,SE,경기
48,BMW,190000.0,3시리즈 (F30),디젤,1290.0,2015,320d,대구
49,벤츠,320.0,S-클래스 W223,가솔린,19300.0,2021,S500L 4MATIC,경기
50,BMW,2100.0,X6 (G06),가솔린,11000.0,2021,xDrive40i M 스포츠,경기
51,랜드로버,98723.0,디스커버리 4,디젤,3999.0,2016,3.0 SDV6 SE,경기
52,렉서스,38897.0,CT200h,가솔린+전기,2850.0,2018,1.8 슈프림,서울
53,미니,19412.0,쿠퍼,가솔린,2550.0,2019,기본형,경기
54,미니,71135.0,쿠퍼 D,디젤,1850.0,2017,기본형,경기
55,미니,125987.0,쿠퍼,가솔린,590.0,2007,기본형,경기
56,벤츠,189018.0,GLK-클래스 X204,디젤,1190.0,2011,GLK220 CDI 프리미엄,서울
57,미니,19412.0,쿠퍼,가솔린,2550.0,2019,기본형,경기
58,푸조,131705.0,207CC,가솔린,490.0,2008,1.6,서울
59,인피니티,231500.0,G25,가솔린,550.0,2011,세단 프리미엄,충북
60,미니,15964.0,쿠퍼,가솔린,1920.0,2015,5도어 기본형,경기
61,재규어,102761.0,New XF,디젤,1399.0,2015,2.2D 럭셔리,경기
62,도요타,8972.0,프리우스 C,가솔린+전기,2020.0,2020,1.5,경기
63,아우디,116000.0,뉴 A8,디젤,4290.0,2015,60 TDI 콰트로,경기
64,롤스로이스,150329.0,고스트,가솔린,14500.0,2012,6.6 V12,경기
65,크라이슬러,81160.0,PT 크루저,가솔린,650.0,2006,2.4L,대구
66,미니,71000.0,쿠퍼,가솔린,1150.0,2012,SE,서울
67,벤틀리,92000.0,컨티넨탈 GT 2세대,가솔린,9700.0,2015,4.0 GT,서울
68,미니,15964.0,쿠퍼,가솔린,1920.0,2015,5도어 기본형,경기
69,벤츠,148836.0,B-클래스 W245,가솔린,480.0,2008,B200,인천
70,캐딜락,55758.0,CT6,가솔린,4790.0,2018,3.6 플래티넘 AWD,경기
71,미니,88353.0,쿠퍼 S,가솔린,1799.0,2014,기본형,경기
72,마세라티,50790.0,콰트로포르테,가솔린,1700.0,2008,4.2 V8 스포츠 GT,서울
73,크라이슬러,105100.0,300C,가솔린,450.0,2009,3.5 시그니처,대전
74,미니,10790.0,쿠퍼 D 클럽맨,디젤,3730.0,2021,High,서울
75,벤츠,89644.0,M-클래스 W166,디젤,3320.0,2013,ML350 블루텍 4MATIC,서울
76,벤츠,26092.0,CLS-클래스 C257,가솔린,8600.0,2019,CLS450 4MATIC AMG Line,서울
77,미니,10790.0,쿠퍼 D 클럽맨,디젤,3730.0,2021,High,서울
78,미니,30155.0,쿠퍼 D 클럽맨,디젤,2890.0,2020,기본형,서울
79,미니,57697.0,쿠퍼 S,가솔린,990.0,2010,기본형,서울
80,벤츠,76877.0,E-클래스 W212,가솔린,1340.0,2012,E300 엘레강스,경기
81,미니,7457.0,쿠퍼,가솔린,2899.0,2020,5도어 기본형,경기
82,포드,40231.0,익스플로러,가솔린,3450.0,2018,2.3 리미티드 4WD,경기
83,미니,16897.0,쿠퍼 D 클럽맨,디젤,2950.0,2020,기본형,부산
84,벤츠,133917.0,CLS-클래스 W218,가솔린,2140.0,2012,CLS350 블루이피션시,경기
85,혼다,130352.0,올뉴어코드,가솔린,520.0,2011,3.5,경기
86,미니,100000.0,쿠퍼,가솔린,690.0,2009,기본형,경기
87,미니,59914.0,쿠퍼,가솔린,850.0,2010,SE,경기
88,미니,7457.0,쿠퍼,가솔린,2899.0,2020,5도어 기본형,경기
89,링컨,56748.0,MKC,가솔린,2430.0,2017,2.0 AWD,경기
90,포드,40231.0,익스플로러,가솔린,3450.0,2018,2.3 리미티드 4WD,경기
91,미니,111457.0,쿠퍼 D,디젤,1140.0,2013,SE,광주
92,닛산,38086.0,리프,전기,1450.0,2016,EV,광주
93,미니,111457.0,쿠퍼 D,디젤,1140.0,2013,SE,광주
94,닛산,38086.0,리프,전기,1450.0,2016,EV,광주
95,벤츠,80000.0,C-클래스 W204,가솔린,1130.0,2012,C200 CGI,경기
96,미니,50900.0,쿠퍼 D 클럽맨,디젤,2650.0,2019,기본형,서울
97,미니,94380.0,쿠퍼 로드스터,가솔린,1790.0,2014,1.6,경기
98,미니,94380.0,쿠퍼 로드스터,가솔린,1790.0,2014,1.6,경기
99,미니,122272.0,쿠퍼 S 컨버터블,가솔린,1290.0,2010,기본형,서울
100,미니,73170.0,쿠퍼 S 컨버터블,가솔린,1750.0,2013,기본형,경기
101,닛산,58435.0,큐브,가솔린,800.0,2011,1.8 SL,경기
102,미니,73170.0,쿠퍼 S 컨버터블,가솔린,1750.0,2013,기본형,경기
103,벤츠,161049.0,E-클래스 W212,디젤,1600.0,2014,E220 CDI 아방가르드,인천
104,캐딜락,67866.0,ATS,가솔린,1450.0,2013,2.0 프리미엄,경기
