,brand,mile,name,fuel,price,year,model,location
0,미니,122784.0,쿠퍼 S 컨버터블,가솔린,1490.0,2013,기본형,경기
1,BMW,67812.0,1시리즈 (F20),디젤,1520.0,2016,118d 스포츠 5도어,인천
2,벤츠,20815.0,뉴 SLK-클래스,가솔린,3750.0,2016,350 블루이피션시,서울
3,미니,1905.0,쿠퍼 S,가솔린,3950.0,2021,JCW,서울
4,BMW,14497.0,X4 (G02),디젤,5690.0,2020,xDrive20d xLine,서울
5,미니,68895.0,쿠퍼,가솔린,1990.0,2016,HIGH,서울
6,랜드로버,18233.0,레인지로버 4세대,가솔린,19200.0,2019,5.0 SC SV AB 다이나믹,경기
7,닛산,46715.0,프론티어,가솔린,3360.0,2014,4.0 4WD,광주
8,포르쉐,101232.0,911,가솔린,8800.0,2013,카레라 4 카브리올레,서울
9,랜드로버,69483.0,디스커버리 5,디젤,5400.0,2017,3.0 TD6 HSE 럭셔리,대전
10,랜드로버,18233.0,레인지로버 4세대,가솔린,19200.0,2019,5.0 SC SV AB 다이나믹,경기
11,BMW,28924.0,Z4 (G29),가솔린,5450.0,2019,sDrive20i 스포츠,대구
12,포르쉐,101232.0,911,가솔린,8800.0,2013,카레라 4 카브리올레,서울
13,재규어,82999.0,F-TYPE,가솔린,5079.0,2017,3.0 S 쿠페,경기
14,포드,13000.0,머스탱,가솔린,3150.0,2020,쿠페,서울
15,푸조,166968.0,308,디젤,320.0,2010,1.6 HDi MCP,경기
16,벤츠,37026.0,AMG GT,가솔린,10170.0,2016,4.0,경기
17,미니,10000.0,쿠퍼 S,가솔린,2890.0,2021,HIGH,서울
18,도요타,37000.0,프리우스 C,가솔린+전기,1550.0,2018,1.5,서울
19,BMW,18600.0,Z4 (G29),가솔린,6400.0,2020,sDrive20i M 스포츠,경기
20,폭스바겐,139814.0,시로코,디젤,900.0,2012,2.0 TDI R-Line,대전
21,BMW,51564.0,1시리즈 (F20),디젤,1749.0,2017,118d 스포츠 5도어,경기
22,아우디,60366.0,뉴 A6,가솔린,720.0,2006,2.4 FSI,경기
23,폭스바겐,170070.0,뉴 비틀,가솔린,580.0,2008,2.0 카브리올레,경기
24,미니,160195.0,쿠퍼 컨버터블,가솔린,1300.0,2015,기본형,경기
25,BMW,180000.0,Z4 (E89),가솔린,1889.0,2009,sDrive 35i,경기
26,지프,23.0,글래디에이터 (JT),가솔린,6400.0,2021,3.6 루비콘,서울
27,쉐보레,47.0,콜벳,가솔린,16400.0,2020,Coupe,서울
28,지프,13805.0,랭글러 (JL),가솔린,6000.0,2021,2.0 스포츠 4도어 윌리스 에디션,경기
29,BMW,51564.0,1시리즈 (F20),디젤,1749.0,2017,118d 스포츠 5도어,경기
30,포르쉐,26126.0,718 박스터,가솔린,7399.0,2018,2.0,경기
31,미니,3128.0,쿠퍼,가솔린,3320.0,2021,5도어 HIGH,서울
32,미니,76945.0,쿠퍼 컨버터블,가솔린,1580.0,2014,기본형,경기
33,BMW,4691.0,Z4 (G29),가솔린,6190.0,2020,sDrive20i 스포츠,경기
34,페라리,14919.0,488 GTB,가솔린,26900.0,2017,3.9,서울
35,페라리,22241.0,포르토피노,가솔린,27900.0,2019,3.9 V8,서울
36,미니,76945.0,쿠퍼 컨버터블,가솔린,1580.0,2014,기본형,경기
37,BMW,4691.0,Z4 (G29),가솔린,6190.0,2020,sDrive20i 스포츠,경기
38,미니,71207.0,쿠퍼,가솔린,1270.0,2015,5도어 기본형,대구
39,아우디,14.0,A4 (B9),가솔린,3900.0,2020,40 TFSI 프리미엄,광주
40,아우디,7035.0,A7 (4K),가솔린,7200.0,2020,55 TFSI 콰트로 프리미엄,광주
41,미니,19958.0,쿠퍼,가솔린,2650.0,2019,5도어 기본형,서울
42,미니,88151.0,쿠퍼 S,가솔린,2090.0,2013,JCW,서울
43,미니,17497.0,쿠퍼,가솔린,2980.0,2020,5도어 로즈우드 에디션,경기
44,BMW,15000.0,3시리즈 (G20),디젤,3900.0,2020,320i 럭셔리,충남
45,BMW,44229.0,M4 (F82),가솔린,5119.0,2016,M4 쿠페 페인트워크 에디션,경기
46,페라리,39000.0,458,가솔린,18000.0,2011,이탈리아,서울
47,포르쉐,29540.0,911,가솔린,13900.0,2014,터보 S,서울
48,BMW,25587.0,X4 (G02),디젤,5999.0,2020,xDrive20d M 스포츠,서울
49,포드,44521.0,머스탱,가솔린,3480.0,2017,컨버터블,광주
50,스마트,59690.0,포투 쿠페,가솔린,680.0,2010,패션 터보,경기
51,미니,45537.0,쿠퍼 S,가솔린,2590.0,2017,5도어 MC20,경기
52,미니,27691.0,쿠퍼,가솔린,2290.0,2018,5도어 기본형,경기
53,폭스바겐,63818.0,골프 7세대,가솔린,2290.0,2015,2.0 GTI,경기
54,미니,4191.0,쿠퍼,가솔린,3050.0,2020,5도어 HIGH,서울
55,미니,126969.0,쿠퍼 S,가솔린,690.0,2009,기본형,경기
56,재규어,65256.0,F-PACE,디젤,3440.0,2018,20d 프레스티지,경기
57,지프,72525.0,레니게이드,가솔린,1510.0,2016,2.4 론지튜드,부산
58,페라리,15000.0,488 GTB,가솔린,26500.0,2016,3.9,서울
59,포르쉐,14603.0,718 박스터,가솔린,11200.0,2018,S 2.5,경기
60,스마트,66000.0,포투 카브리오,가솔린,950.0,2010,패션 MHD,경기
61,지프,35015.0,랭글러 (JL),가솔린,4590.0,2018,2.0 사하라 4도어,경기
62,미니,42792.0,쿠퍼 D 컨트리맨,디젤,2690.0,2018,ALL4,전북
63,포르쉐,72508.0,박스터,가솔린,8099.0,2016,3.4 GTS,경기
64,미니,87344.0,쿠퍼 D 페이스맨,디젤,1390.0,2013,기본형,광주
65,렉서스,1131.0,LC,가솔린,13090.0,2020,LC500 스포츠+,서울
66,포드,39190.0,머스탱,가솔린,3099.0,2017,쿠페,경기
67,폭스바겐,74300.0,더 비틀,디젤,1399.0,2013,2.0 TDI,경기
68,포르쉐,2310.0,마칸,가솔린,11000.0,2021,2.9 GTS,경기
