,brand,mile,name,fuel,price,year,model,location
0,폭스바겐,100901.0,페이톤,가솔린,1890.0,2012,V8 4.2 NWB,경기
1,BMW,43299.0,X3 (F25),디젤,3630.0,2017,xDrive 20d M 에어로다이나믹,서울
2,벤츠,67377.0,E-클래스 W212,가솔린,2450.0,2014,E300 아방가르드,대전
3,BMW,39558.0,X1 (F48),디젤,2740.0,2017,xDrive 18d,인천
4,벤츠,76423.0,S-클래스 W222,디젤,9700.0,2018,S400L d 4MATIC,경기
5,벤츠,74321.0,C-클래스 W204,가솔린,650.0,2008,C200K,서울
6,벤츠,135023.0,E-클래스 W212,가솔린,1280.0,2011,E300 엘레강스,대전
7,지프,139606.0,그랜드 체로키,가솔린,1350.0,2012,3.6 오버랜드,경기
8,폭스바겐,205661.0,페이톤,디젤,399.0,2009,V6 3.0 TDI,경기
9,BMW,189949.0,3시리즈 (E90),디젤,430.0,2010,320d 세단 내비 패키지,경기
10,렉서스,223358.0,IS250,가솔린,450.0,2008,2.5 프리미엄,서울
11,혼다,81522.0,올뉴어코드,가솔린,1490.0,2016,2.4,대구
12,BMW,153266.0,5시리즈 (G30),디젤,2990.0,2017,520d M 스포츠,경기
13,BMW,100452.0,5시리즈 (F10),가솔린,2290.0,2011,550i xDrive,경기
14,랜드로버,245935.0,레인지로버 4세대,디젤,4550.0,2014,4.4 SDV8 AB 디젤,경기
15,BMW,58661.0,i3,전기,1580.0,2015,룩스,인천
16,폭스바겐,74691.0,더 뉴 파사트,디젤,1190.0,2015,2.0 TDI,경기
17,렉서스,67995.0,LS460,가솔린,1650.0,2010,AWD,인천
18,BMW,78575.0,3시리즈 (E90),가솔린,730.0,2011,320i 세단,서울
19,지프,61397.0,랭글러 (JK),가솔린,3290.0,2016,3.6 루비콘 4도어,부산
20,아우디,253013.0,Q7,디젤,890.0,2008,3.0 TDI 콰트로,대전
21,벤츠,56738.0,E-클래스 W213,디젤,3790.0,2017,E220d 아방가르드,서울
22,벤츠,30401.0,E-클래스 W213,디젤,4190.0,2017,E220d 익스클루시브,서울
23,지프,90978.0,랭글러 (JK),디젤,2350.0,2012,2.8 디젤 루비콘 2도어,경기
24,벤츠,128676.0,S-클래스 W221,디젤,2790.0,2013,S350 블루텍,부산
25,벤츠,101333.0,E-클래스 W213,디젤,3880.0,2017,E220d 익스클루시브,부산
26,인피니티,105008.0,M37,가솔린,840.0,2011,프리미엄,서울
27,벤츠,90102.0,S-클래스 W222,디젤,5299.0,2015,S350 블루텍 4MATIC,서울
28,렉서스,112159.0,ES350,가솔린,670.0,2009,프리미엄,경기
29,벤츠,12187.0,C-클래스 W205,가솔린,5750.0,2019,C43 AMG 4MATIC,경기
30,폭스바겐,90616.0,더 뉴 파사트,가솔린,1090.0,2015,1.8 TSI,경기
31,포드,115634.0,뉴 토러스,가솔린,670.0,2013,2.0 SEL 에코부스트,전북
