,brand,mile,name,fuel,price,year,model,location
0,BMW,49395.0,5시리즈 (G30),디젤,3650.0,2017,520d M 스포츠,전북
1,아우디,103953.0,A7,디젤,2490.0,2015,45 TDI 콰트로 다이나믹,경기
2,폭스바겐,99374.0,골프 7세대,디젤,1050.0,2014,1.6 TDI,경기
3,렉서스,157796.0,뉴 ES350,가솔린,1190.0,2013,슈프림,부산
4,폭스바겐,188067.0,뉴 CC,디젤,899.0,2013,2.0 TDI 블루모션 4모션,경기
5,폭스바겐,101981.0,더 뉴 파사트,디젤,940.0,2014,2.0 TDI,경기
6,볼보,64449.0,V60,디젤,99999.0,2017,D3,서울
7,아우디,92000.0,Q5,디젤,2490.0,2016,35 TDI 콰트로,광주
8,포드,134697.0,F150,가솔린,5390.0,2014,6.2L,서울
9,폭스바겐,101981.0,더 뉴 파사트,디젤,940.0,2014,2.0 TDI,경기
10,미니,46200.0,쿠퍼 D 컨트리맨,디젤,2880.0,2018,ALL4,인천
11,BMW,61716.0,3시리즈 (F30),디젤,2020.0,2016,320d xDrive,경기
12,렉서스,217231.0,LS460L,가솔린,660.0,2007,4인승,경기
13,포드,134697.0,F150,가솔린,5390.0,2014,6.2L,서울
14,BMW,77934.0,5시리즈 (G30),디젤,3850.0,2017,520d xDrive M 스포츠 플러스,충남
15,BMW,58250.0,5시리즈 (G30),디젤,4300.0,2017,520d xDrive M 스포츠 플러스,충남
16,포르쉐,21222.0,718 박스터,가솔린,10990.0,2019,2.5 GTS,서울
17,BMW,61716.0,3시리즈 (F30),디젤,2020.0,2016,320d xDrive,경기
18,크라이슬러,118430.0,PT 크루저,가솔린,280.0,2004,2.4L,경기
19,벤츠,163648.0,E-클래스 W212,가솔린,1780.0,2015,E300 4MATIC 아방가르드,경기
20,랜드로버,220289.0,디스커버리 4,디젤,1999.0,2010,2.7 TDV6 SE,광주
21,아우디,43000.0,TTS,가솔린,2899.0,2014,쿠페 2.0 TFSI 콰트로 컴피티션,경기
22,폭스바겐,89266.0,뉴 티구안,디젤,1250.0,2013,2.0 TDI 프리미엄,서울
23,아우디,88000.0,뉴 A6,디젤,2031.0,2018,35 TDI 프리미엄,서울
24,렉서스,31072.0,LS500h 5세대,가솔린+전기,7690.0,2018,3.5 플래티넘 AWD,대구
25,랜드로버,46700.0,디스커버리 5,디젤,5700.0,2017,3.0 TD6 HSE 럭셔리,부산
26,아우디,174677.0,뉴 A6,디젤,2090.0,2016,35 TDI 프리미엄,광주
27,아우디,21447.0,A4 (B9),가솔린,2990.0,2019,40 TFSI 프리미엄,대전
28,BMW,44220.0,5시리즈 (F10),디젤,3130.0,2016,520d xDrive M 에어로 다이나믹,경기
29,폭스바겐,24355.0,더 뉴 파사트,가솔린,1570.0,2015,1.8 TSI,경기
