,brand,mile,name,fuel,price,year,model,location
0,벤츠,70207.0,C-클래스 W205,가솔린,7260.0,2017,C63 AMG 카브레올레,경기
1,폭스바겐,60109.0,골프 6세대,가솔린,950.0,2012,1.4 TSI,경기
2,포르쉐,41000.0,718 박스터,가솔린,11150.0,2018,2.5 GTS,경기
3,BMW,33000.0,M3 (F80),가솔린,5500.0,2015,M3 세단,부산
4,미니,50312.0,쿠퍼,가솔린,1270.0,2013,오리지널,서울
5,미니,50312.0,쿠퍼,가솔린,1270.0,2013,오리지널,서울
6,미니,37504.0,쿠퍼 S,가솔린,2250.0,2015,5도어 기본형,대구
7,미니,86440.0,쿠퍼 D,디젤,990.0,2013,SE,경기
8,미니,86440.0,쿠퍼 D,디젤,990.0,2013,SE,경기
9,다이하쯔,134643.0,미라 코코아,가솔린,780.0,2013,0.6,경기
10,볼보,103588.0,S90,가솔린,4100.0,2019,T5 인스크립션,서울
11,재규어,101027.0,XF,가솔린,1450.0,2011,R 5.0 SC,부산
12,포르쉐,105160.0,911,가솔린,9500.0,2017,카레라 4S,서울
13,BMW,65485.0,5시리즈 (G30),디젤,4070.0,2018,520d xDrive M 스포츠,전남
14,미니,181743.0,쿠퍼 S,가솔린,615.0,2008,기본형,광주
15,미니,42013.0,쿠퍼,가솔린,2499.0,2018,5도어 HIGH,경기
16,미니,42013.0,쿠퍼,가솔린,2499.0,2018,5도어 HIGH,경기
17,닛산,126199.0,큐브,가솔린,290.0,2005,1.4,경기
18,미니,89801.0,쿠퍼 D,디젤,1190.0,2015,기본형,서울
19,BMW,32404.0,M4 (F82),가솔린,6790.0,2017,M4 컨버터블 퍼포먼스 사일렌서 에디션,서울
20,BMW,32404.0,M4 (F82),가솔린,6790.0,2017,M4 컨버터블 퍼포먼스 사일렌서 에디션,서울
21,미니,110018.0,쿠퍼 SD,디젤,1200.0,2013,기본형,인천
22,BMW,32573.0,M3 (F80),가솔린,7299.0,2018,M3 세단 컴패티션,충남
23,미니,110018.0,쿠퍼 SD,디젤,1200.0,2013,기본형,인천
24,포르쉐,35114.0,718 박스터,가솔린,9990.0,2018,2.5 GTS,서울
25,BMW,198000.0,3시리즈 (E90),가솔린,930.0,2007,335i 세단,대구
26,볼보,93064.0,XC60 2세대,디젤,4599.0,2018,D5 인스크립션,경기
27,랜드로버,34664.0,레인지로버 4세대,가솔린,23700.0,2019,5.0 SC SV AB LWB,인천
28,미니,83486.0,쿠퍼 D,디젤,1090.0,2013,SE,경기
29,피아트,114300.0,500,가솔린,750.0,2013,1.4 라운지,인천
30,랜드로버,29886.0,레인지로버 스포츠 2세대,디젤,9600.0,2018,3.0 SDV6 AB 다이나믹,경기
31,지프,36900.0,레니게이드,디젤,2590.0,2018,2.0 디젤 리미티드 AWD,전남
32,시트로엥,111405.0,그랜드 C4 피카소,디젤,1590.0,2015,2.0 B-HDI 인텐시브 플러스,경기
33,피아트,47645.0,500,가솔린,1180.0,2015,1.4 컬러,부산
34,로터스,5313.0,엑시지,가솔린,11800.0,2020,S,경기
35,시트로엥,58043.0,C4 칵투스,디젤,1340.0,2017,1.6 BlueHDi 샤인,경기
36,혼다,84385.0,N-ONE,가솔린,830.0,2014,0.6 2WD,경기
37,벤츠,141503.0,E-클래스 W211,가솔린,560.0,2007,E280 아방가르드,서울
38,랜드로버,25211.0,레인지로버 4세대,디젤,13990.0,2019,4.4 SDV8 Vogue SE 디젤,경기
39,미니,119334.0,쿠퍼,가솔린,730.0,2011,SE,대구
40,미니,95475.0,쿠퍼 S,가솔린,890.0,2011,기본형,경기
41,미니,54000.0,쿠퍼,가솔린,1180.0,2013,기본형,경기
42,미니,49000.0,쿠퍼 D,디젤,1680.0,2016,5도어 Mid,경기
43,미니,37654.0,쿠퍼 D,디젤,2399.0,2017,5도어 HIGH,경기
44,볼보,103749.0,S90,가솔린,3730.0,2017,T5 인스크립션,서울
45,BMW,49973.0,3시리즈 (F30),디젤,2699.0,2016,320d M 스포츠,경기
46,BMW,94286.0,3시리즈 (E90),가솔린,1400.0,2009,328i 컨버터블,경기
47,다이하쯔,114584.0,미라 코코아,가솔린,750.0,2010,0.6,경기
48,마세라티,68159.0,그란투리스모,가솔린,7230.0,2015,4.7 스포츠,경기
49,미니,27037.0,쿠퍼,가솔린,1650.0,2015,5도어 기본형,경기
50,사브,220664.0,900,가솔린,800.0,1996,2.0 S,경기
51,피아트,116880.0,500,가솔린,700.0,2013,1.4 팝,서울
52,닛산,161000.0,마치,가솔린,350.0,2005,1.3,대구
53,피아트,135813.0,500,가솔린,730.0,2008,1.4,경기
54,미니,110574.0,쿠퍼,가솔린,699.0,2009,SE,부산
55,볼보,85358.0,V40,디젤,1180.0,2015,D2,경기
56,포르쉐,38000.0,718 박스터,가솔린,9850.0,2018,S 2.5,경남
57,볼보,83635.0,V40,디젤,1370.0,2014,D4,충남
58,볼보,85437.0,V40,디젤,1520.0,2016,D3,충남
59,피아트,129000.0,500,가솔린,845.0,2013,1.4,경남
60,폭스바겐,110000.0,골프 6세대,디젤,649.0,2012,2.0 TDI,경기
61,BMW,10852.0,3시리즈 (G20),디젤,4400.0,2021,320d M 스포츠,대구
62,미니,208747.0,쿠퍼 D,디젤,549.0,2012,기본형,경기
63,피아트,102482.0,500,가솔린,739.0,2013,1.4 라운지,경기
64,미니,44798.0,쿠퍼 D,디젤,2350.0,2018,HIGH,경기도
65,BMW,29410.0,5시리즈 (G30),가솔린,5250.0,2019,530i M 스포츠 플러스,경기도
66,BMW,54299.0,5시리즈 (G30),디젤,3850.0,2018,520d 럭셔리 스페셜 에디션,경기도
67,미니,75513.0,쿠퍼 D,디젤,1195.0,2012,베이커스트릿,경남
68,벤츠,23518.0,SL-클래스,가솔린,7000.0,2004,SL600,서울
69,미니,35601.0,쿠퍼 D,디젤,1300.0,2013,SE,경기
70,링컨,14338.0,에비에이터 2세대,가솔린,7200.0,2020,3.0 리저브 AWD,경기
71,스마트,121270.0,포투 쿠페,가솔린,910.0,2011,패션 터보,서울
72,포르쉐,28000.0,911,가솔린,14500.0,2017,카레라 4S,서울
73,미니,110000.0,쿠퍼 S,가솔린,1030.0,2011,기본형,부산
74,벤츠,82440.0,C-클래스 W205,디젤,2730.0,2016,C220 d 아방가르드,광주
75,인피니티,102366.0,Q50,가솔린+전기,1850.0,2015,3.5 하이브리드 에센스,경기
76,벤츠,82440.0,C-클래스 W205,디젤,2730.0,2016,C220 d 아방가르드,광주
77,폭스바겐,74682.0,골프 6세대,디젤,720.0,2012,1.6 TDI 블루모션,인천
78,재규어,145291.0,XF,디젤,620.0,2009,2.7D 프리미엄,경북
79,재규어,57846.0,XKR-S,가솔린,4190.0,2012,5.0 쿠페,인천
80,포르쉐,18035.0,911,가솔린,14300.0,2017,카레라 GTS,경기
81,BMW,35000.0,5시리즈 (G30),디젤,4050.0,2018,520d 럭셔리 플러스,서울
82,닛산,175562.0,마치,가솔린,330.0,2007,1.3,경기
83,혼다,144990.0,CR-V,가솔린,640.0,2007,2.4 4WD,대전
84,재규어,152000.0,XJ-6,가솔린,2300.0,2006,3.0,경기
85,미니,80638.0,쿠퍼,가솔린,1050.0,2012,SE,인천
86,BMW,66749.0,M4 (F82),가솔린,4930.0,2015,M4 쿠페,전북
87,인피니티,19167.0,Q50,가솔린+전기,2290.0,2016,3.5 하이브리드 에센스,경기
88,인피니티,19167.0,Q50,가솔린+전기,2290.0,2016,3.5 하이브리드 에센스,경기
89,폭스바겐,68629.0,골프 6세대,디젤,740.0,2012,1.6 TDI 블루모션,부산
90,미니,66639.0,쿠퍼 D,디젤,1790.0,2015,5도어 HIGH,부산
91,미니,106939.0,쿠퍼,가솔린,799.0,2012,SE,경기
92,볼보,108992.0,V40,디젤,1160.0,2014,D2,경기
93,BMW,36146.0,M3 (F80),가솔린,6630.0,2018,M3 세단 컴패티션,경기
94,미니,152350.0,쿠퍼 D,디젤,650.0,2012,SE,경기
95,시트로엥,68218.0,DS3,가솔린,570.0,2012,1.6 VTI 소 시크,대구
96,BMW,74778.0,X2 (F39),가솔린,3190.0,2019,xDrive25i M 스포츠,전북
97,BMW,6220.0,4시리즈 (G22),가솔린,6990.0,2021,M440i xDrive 쿠페 퍼포먼스 패키지,전북
98,인피니티,143799.0,Q50,디젤,1050.0,2016,2.2d 프리미엄,경기
99,페라리,100439.0,캘리포니아,가솔린,9900.0,2013,30 4.3 V8,서울
100,스마트,56505.0,포투 쿠페,가솔린,1070.0,2013,쿠페,서울
101,람보르기니,8978.0,아벤타도르,가솔린,44000.0,2017,S LP740-4,서울
102,벤츠,68970.0,M-클래스 W166,디젤,3970.0,2015,ML350 블루텍 4MATIC,부산
103,아우디,240000.0,뉴 A6,디젤,1350.0,2014,3.0 TDI 콰트로 다이나믹,광주
104,맥라렌,15161.0,570S,가솔린,24000.0,2018,3.8 스파이더,서울
105,닛산,103851.0,마치,가솔린,350.0,2006,1.3,경기
106,랜드로버,25200.0,레인지로버 4세대,디젤,13990.0,2019,4.4 SDV8 Vogue SE 디젤,경기
107,페라리,36000.0,캘리포니아,가솔린,10900.0,2011,4.3 V8,서울
108,애스턴마틴,24100.0,뱅퀴시,가솔린,14200.0,2015,6.0 V12 쿠페,경기
109,벤틀리,46700.0,뮬산,가솔린,25000.0,2017,6.8,경기
110,맥라렌,1500.0,720S,가솔린,32000.0,2018,4.0 쿠페,경기
111,BMW,46826.0,8시리즈 (G15),디젤,9570.0,2020,840d xDrive M 스포츠 퍼스트 에디션 그란쿠페,대전
112,BMW,550.0,M2 (F87),가솔린,9850.0,2021,M2 CS 25주년,서울
113,피아트,46908.0,500,가솔린,1390.0,2015,1.4 컬러 플러스,경기
114,미니,24142.0,쿠퍼 S,가솔린,4100.0,2019,JCW 딜레이니 에디션,경기
115,BMW,88383.0,5시리즈 (G30),가솔린,4880.0,2019,530i xDrive M 스포츠 플러스,대구
116,재규어,45000.0,F-TYPE,가솔린,6100.0,2019,P300 컨버터블,경기
117,재규어,113451.0,New XF,가솔린,9999.0,2013,2.0 럭셔리,광주
118,재규어,113451.0,New XF,가솔린,9999.0,2013,2.0 럭셔리,광주
119,피아트,63907.0,500,가솔린,1250.0,2015,1.4,인천
120,피아트,63907.0,500,가솔린,1250.0,2015,1.4,인천
121,볼보,185833.0,V40,디젤,890.0,2013,D4,경기
122,BMW,44716.0,M3 (F80),가솔린,5700.0,2016,M3 세단 퍼포먼스 사일렌서 에디션,전남
123,포르쉐,23878.0,911,가솔린,19500.0,2018,터보 S,경기
124,포르쉐,23878.0,911,가솔린,19500.0,2018,터보 S,경기
125,재규어,32772.0,F-TYPE,가솔린,7850.0,2019,P380 R-다이나믹 컨버터블,서울
126,재규어,32772.0,F-TYPE,가솔린,7850.0,2019,P380 R-다이나믹 컨버터블,서울
127,인피니티,94258.0,Q50,디젤,1680.0,2016,2.2d 프리미엄,서울
128,미니,5021.0,쿠퍼,가솔린,2850.0,2019,5도어 HIGH,경기
129,BMW,117000.0,3시리즈,가솔린,1200.0,2004,325Ci 컨버터블,부산
130,BMW,20000.0,1시리즈 (F40),디젤,3812.0,2020,118d M 스포츠 퍼스트 에디션,인천
131,애스턴마틴,42739.0,DB9,가솔린,7490.0,2008,6.0 V12 볼란테,경기
132,아우디,105000.0,뉴 A6,디젤,2100.0,2015,35 TDI,충북
133,인피니티,83200.0,Q50,디젤,1400.0,2015,2.2d 스타일,경남
134,도요타,160000.0,수프라,가솔린,6500.0,1995,TURBO 2Dr Liftback,경기
135,BMW,56000.0,5시리즈 (G30),디젤,4030.0,2018,520d xDrive M 스포츠 플러스,전남
136,폭스바겐,148399.0,골프 6세대,디젤,450.0,2010,2.0 TDI,경기
