,bradn,mile,name,fuel,price,year,model,location
0,벤츠,19923.0,C-클래스 W205,디젤,3699.0,2018,C220 d 아방가르드,서울
1,폭스바겐,31791.0,아테온,디젤,3890.0,2019,2.0 TDI 프레스티지,경기
2,BMW,117777.0,2시리즈 액티브 투어러 (F45),디젤,1390.0,2015,조이,경기
3,재규어,34622.0,E-PACE,가솔린,3590.0,2018,P250 R-다이나믹 SE,경기
4,폭스바겐,126594.0,뉴 제타,디젤,770.0,2014,2.0 TDI,경기
5,벤츠,43540.0,GLE-클래스 W167,가솔린,8650.0,2019,GLE450 4MATIC,서울
6,BMW,26064.0,3시리즈 GT (F34),디젤,3290.0,2018,GT 320d,서울
7,폭스바겐,90085.0,뉴 제타,디젤,1250.0,2016,2.0 TDI 블루모션 프리미엄,경기
8,BMW,11028.0,5시리즈 (G30),가솔린,5550.0,2019,530i M 스포츠 플러스,부산
9,푸조,27133.0,3008 2세대,디젤,3090.0,2020,1.5 BlueHDi GT Line,광주
10,벤츠,50858.0,GLC-클래스 X253,가솔린,5620.0,2018,AMG GLC43 4MATIC,서울
11,아우디,80924.0,뉴 A4,가솔린,950.0,2011,2.0 TFSI 콰트로 다이나믹,경기
12,아우디,113275.0,뉴 A4,디젤,1350.0,2015,30 TDI,전북
13,랜드로버,145981.0,프리랜더2,디젤,1250.0,2012,2.2 SD4 HSE,경기
14,벤츠,92182.0,E-클래스 W212,가솔린,3750.0,2016,E400 카브리올레,경기
15,포드,18000.0,익스플로러,가솔린,3980.0,2019,2.3 리미티드 4WD,부산
16,캐딜락,82214.0,CT6,가솔린,5100.0,2019,3.6 플래티넘 AWD,경기
17,벤츠,28404.0,E-클래스 W213,가솔린,4870.0,2020,E300 4MATIC 익스클루시브,경기
18,벤츠,23165.0,E-클래스 W213,가솔린,5490.0,2019,E300 AMG Line,경기
19,폭스바겐,34063.0,더 뉴 파사트,가솔린,1750.0,2016,1.8 TSI,경기
20,폭스바겐,85578.0,더 뉴 파사트,디젤,1290.0,2015,2.0 TDI,경기
21,BMW,163743.0,X1 (E84),디젤,790.0,2010,xDrive 20d,경기
