,brand,fuel,location,mile,model,name,price,year
0,쉐보레(GM대우),가솔린,경기,3485.0,3.6 AWD 레드라인,트래버스,4690.0,2020
1,기아,디젤,경기,135714.0,9인승 하이리무진,올 뉴 카니발,2090.0,2015
2,기아,디젤,경기,51488.0,9인승 럭셔리,올 뉴 카니발,2060.0,2018
3,기아,가솔린,광주,127972.0,3.0 GDI 프레스티지 스페셜,더 뉴 K7,1150.0,2013
4,제네시스,가솔린,광주,79448.0,3.3 GDI AWD,G80,2780.0,2017
5,현대,가솔린+전기,경기,38343.0,프리미엄,쏘나타 뉴 라이즈 하이브리드,2100.0,2018
6,제네시스,가솔린,광주,133690.0,3.8 GDI AWD,EQ900,3490.0,2017
7,쉐보레(GM대우),가솔린,경기,38981.0,1.5 터보 LTZ,올 뉴 말리부,1360.0,2017
8,쌍용,디젤,경기,28333.0,디젤 2.2 4WD,렉스턴 스포츠,2590.0,2019
9,기아,가솔린,인천,146965.0,가솔린 7인승 하이리무진,올 뉴 카니발,2520.0,2016
10,쉐보레(GM대우),디젤,경기,203902.0,7인승 2WD LT,윈스톰,300.0,2008
11,현대,가솔린,경기,65649.0,3.0 익스클루시브,그랜저 IG,2200.0,2018
12,르노삼성,가솔린,울산,120148.0,LE,뉴SM5,230.0,2007
13,기아,가솔린,부산,82746.0,2.4 GDI 프레스티지,더 뉴 K7,1430.0,2015
14,현대,가솔린,서울,40304.0,2.4 프리미엄,그랜저 IG,2060.0,2018
15,쉐보레(GM대우),가솔린,경기,123224.0,EL300,알페온,840.0,2013
16,현대,가솔린,부산,185850.0,2.0 스마트,LF 쏘나타,830.0,2015
17,기아,디젤,경기,116622.0,디젤 2.0 2WD,뉴 쏘렌토 R,1240.0,2013
18,기아,디젤,광주,85883.0,2.2 디젤 프레스티지,올 뉴 K7,1830.0,2017
19,르노삼성,디젤,경기,149912.0,디젤 D 프리미엄,SM5 노바,590.0,2015
20,현대,가솔린,광주,184618.0,VL500,에쿠스(신형),1850.0,2013
