,brand,name,year,info,km,location,price,type,color
0,기아,쏘렌토 4세대,20/05식(21년형),디젤 2.2 2WD,"23,566km",서울,"3,699",디젤,파란색
1,쌍용,티볼리 아머,18/05식,기어 에디션 2WD,"7,341km",경기,"1,670",가솔린,파란색
2,기아,쏘렌토 4세대,20/06식(21년형),HEV 1.6 2WD,"25,070km",서울,"3,999",가솔린+전기,파란색
3,기아,카니발 4세대,21/02식,9인승 노블레스,"6,205km",서울,"3,789",디젤,파란색
4,제네시스,G70,18/02식,3.3T 스포츠 AWD,"50,159km",광주,"3,250",가솔린,파란색
5,현대,팰리세이드,19/08식,디젤 2.2 4WD,"45,380km",경기,"3,990",디젤,파란색
6,현대,코나,18/02식,1.6 터보 2WD,"96,312km",인천,"1,630",가솔린,파란색
7,현대,그랜저 IG 하이브리드,17/07식(18년형),익스클루시브,"53,848km",서울,"9,999",가솔린+전기,파란색
8,기아,스토닉,18/06식,디젤 1.6,"87,800km",인천,"1,420",디젤,파란색
9,기아,레이,13/01식,럭셔리,"49,967km",대전,820,가솔린,파란색
10,쉐보레(GM대우),뉴 다마스,19/03식,5인승 코치,"46,000km",광주,590,LPG(일반인 구입),파란색
11,기아,레이,15/07식(16년형),디럭스 스페셜,"35,985km",대전,840,가솔린,파란색
12,현대,더 뉴 아반떼,14/07식(15년형),1.6 GDi 모던,"58,643km",부산,999,가솔린,파란색
13,현대,아반떼 MD,12/03식,M16 GDI 럭셔리,"125,000km",경남,580,가솔린,파란색
14,쉐보레(GM대우),뉴 다마스,11/09식(12년형),2인승 판넬밴,"52,700km",경남,325,LPG(일반인 구입),파란색
15,기아,쏘렌토 4세대,20/06식(21년형),HEV 1.6 2WD,"25,070km",서울,"3,999",가솔린+전기,파란색
16,기아,카니발 4세대,21/02식,9인승 노블레스,"6,205km",서울,"3,789",디젤,파란색
17,기아,쏘렌토 4세대,20/05식(21년형),디젤 2.2 2WD,"23,566km",서울,"3,699",디젤,파란색
18,쌍용,티볼리 아머,18/05식,기어 에디션 2WD,"7,341km",경기,"1,670",가솔린,파란색
19,르노삼성,클리오,18/07식,인텐스,"69,582km",경기,"1,249",디젤,파란색
20,기아,스포티지 더 볼드,18/11식(19년형),디젤 2.0 2WD,"39,739km",경기,"2,350",디젤,파란색
21,현대,아반떼 AD,15/11식(16년형),1.6 e-VGT 프리미엄,"90,575km",경기,"1,120",디젤,파란색
22,현대,싼타페 더 프라임,17/07식(18년형),디젤 2.0 2WD,"119,407km",광주,"1,890",디젤,파란색
23,현대,팰리세이드,19/04식,가솔린 3.8 4WD,"69,984km",경기,"3,700",가솔린,파란색
24,르노삼성,QM6,18/11식(19년형),디젤 4WD RE 시그니처,"34,022km",경기,"2,360",디젤,파란색
25,기아,셀토스,19/07식(20년형),가솔린 1.6 터보 2WD,"23,280km",경기,"2,580",가솔린,파란색
26,현대,그랜저 IG,18/01식,3.0 익스클루시브,"81,732km",대전,"2,275",가솔린,파란색
27,현대,벨로스터 (JS),19/12식(20년형),2.0 N,"18,681km",대구,"2,199",가솔린,파란색
28,기아,올 뉴 K7,18/07식,2.4 GDI 리미티드,"58,991km",전북,"2,190",가솔린,파란색
29,기아,레이,12/06식(13년형),프레스티지 바이퓨얼,"91,670km",대전,789,가솔린+LPG,파란색
30,,,,,,,,,파란색
31,기아,더 뉴 쏘렌토,18/08식(19년형),디젤 2.0 2WD,"78,312km",서울,"2,270",디젤,파란색
32,기아,올 뉴 K7,17/07식,3.0 LPI 럭셔리 (렌터카),"64,000km",경기,"1,820",LPG(일반인 구입),파란색
33,제네시스,G70,18/02식,3.3T 스포츠 AWD,"50,159km",광주,"3,250",가솔린,파란색
34,기아,올 뉴 K3,20/07식(21년형),스탠다드,"15,414km",울산,"1,690",가솔린,파란색
35,현대,더 뉴 제네시스 쿠페,12/09식(13년형),200 터보 S,"196,000km",서울,"1,250",가솔린,파란색
36,현대,팰리세이드,19/01식,디젤 2.2 4WD,"43,996km",대구,"4,050",디젤,파란색
37,현대,팰리세이드,19/08식,디젤 2.2 4WD,"45,380km",경기,"3,990",디젤,파란색
38,쌍용,티볼리,15/06식,LX 2WD,"93,676km",충남,"1,150",가솔린,파란색
39,현대,코나,18/02식,1.6 터보 2WD,"96,312km",인천,"1,630",가솔린,파란색
40,현대,그랜저 IG,17/05식(18년형),2.2 디젤 프리미엄,"75,344km",경기,"1,899",디젤,파란색
41,쉐보레(GM대우),올란도,14/01식,2.0 디젤 LTZ,"146,763km",울산,850,디젤,파란색
42,기아,스포티지 더 볼드,19/01식,디젤 2.0 2WD,"77,171km",대구,"1,860",디젤,파란색
43,현대,더 뉴 아반떼 AD,19/09식(20년형),1.6,"3,354km",부산,"1,500",가솔린,파란색
44,현대,베뉴,19/09식(20년형),1.6 모던,"15,000km",인천,"1,920",가솔린,파란색
45,현대,그랜저 IG 하이브리드,17/07식(18년형),익스클루시브,"53,848km",서울,"9,999",가솔린+전기,파란색
46,기아,스토닉,18/06식,디젤 1.6,"87,800km",인천,"1,420",디젤,파란색
47,현대,더 뉴 아반떼 AD,19/03식,1.6,"43,012km",경기,"1,390",가솔린,파란색
48,기아,올 뉴 모닝,14/04식(15년형),디럭스 트렌디,"45,440km",부산,630,가솔린,파란색
49,르노삼성,SM7,05/07식,XE,"158,306km",서울,190,가솔린,파란색
50,현대,아반떼 AD,17/07식(18년형),1.6 GDI 밸류 플러스,"57,403km",대구,"1,380",가솔린,파란색
