,brand,name,year,info,km,location,price,type,color
0,쉐보레(GM대우),올란도,13/07식,2.0 디젤 LT,"47,661km",부산,999,디젤,갈색
1,기아,올 뉴 모닝,14/10식(15년형),디럭스 트렌디,"60,363km",경기,600,가솔린,갈색
2,쉐보레(GM대우),올란도,13/07식,2.0 디젤 LT,"47,661km",부산,999,디젤,갈색
3,기아,올 뉴 모닝,14/10식(15년형),디럭스 트렌디,"60,363km",경기,600,가솔린,갈색
4,쌍용,코란도 스포츠,13/04식,CX7 4WD,"84,103km",대구,"1,230",디젤,갈색
5,기아,올 뉴 카니발,16/12식(17년형),가솔린 9인승 하이리무진(특장업체),"43,032km",광주,"4,450",가솔린,갈색
6,현대,그랜저 IG,17/08식(18년형),3.0 익스클루시브,"106,025km",경기,"1,539",가솔린,갈색
7,쌍용,렉스턴 스포츠,19/07식,디젤 2.2 4WD,"25,558km",인천,"2,320",디젤,갈색
8,현대,그랜저 HG,15/12식(16년형),HG240 모던,"99,373km",경기,"1,270",가솔린,갈색
9,기아,올 뉴 K7,16/11식,2.4 GDI 프레스티지,"63,474km",경기,"1,850",가솔린,갈색
10,기아,올 뉴 카니발,16/12식(17년형),가솔린 9인승 하이리무진(특장업체),"43,032km",광주,"4,450",가솔린,갈색
11,기아,모하비 더 마스터,19/10식(20년형),디젤 3.0 4WD 7인승,"38,279km",경남,"4,200",디젤,갈색
12,제네시스,G80,16/10식(17년형),3.3 GDI AWD,"46,732km",경남,"3,450",가솔린,갈색
13,현대,LF 쏘나타,14/04식(15년형),LPI 스마트,"91,218km",대전,799,LPG(일반인 구입),갈색
14,제네시스,G80,18/01식,3.3 GDI AWD,"70,000km",대구,"3,190",가솔린,갈색
15,현대,아슬란,15/04식,G330 프리미엄,"227,676km",경기,"1,099",가솔린,갈색
16,제네시스,G80,18/01식,3.8 GDI AWD,"38,305km",울산,"4,080",가솔린,갈색
17,쉐보레(GM대우),더 뉴 스파크,18/08식(19년형),프리미어,"36,013km",경기,950,가솔린,갈색
18,현대,그랜저 IG,19/04식,2.4 프리미엄,"54,000km",전북,"2,590",가솔린,갈색
19,쉐보레(GM대우),더 뉴 스파크,18/08식(19년형),프리미어,"36,013km",경기,950,가솔린,갈색
20,기아,더 뉴 K5,15/04식,LPI 디럭스,"156,000km",경기,690,LPG(일반인 구입),갈색
21,현대,투싼,04/05식,디젤(CRDI) 2WD MX,"197,125km",대전,220,디젤,갈색
22,쉐보레(GM대우),스파크,11/04식(12년형),LT,"80,136km",경기,379,가솔린,갈색
23,현대,더 뉴 맥스크루즈,17/04식,가솔린 3.3 2WD,"75,423km",경기,"2,590",가솔린,갈색
24,현대,그랜저 HG,14/04식,HG240 모던,"152,928km",광주,999,가솔린,갈색
25,현대,아반떼 (CN7),20/08식(21년형),1.6,"15,500km",대전,"2,150",가솔린,갈색
26,쉐보레(GM대우),트랙스,14/07식,1.4 LT,"121,712km",광주,739,가솔린,갈색
27,쌍용,코란도 스포츠,16/04식,CX7 4WD,"52,220km",경기,"1,300",디젤,갈색
