,brand,name,year,info,km,location,price,type,color
0,현대,제네시스 DH,14/08식(15년형),G330 프리미엄,"137,662km",경기,"1,599",가솔린,금색
1,기아,더 뉴 레이,20/06식(21년형),프레스티지,"12,106km",부산,"1,260",가솔린,금색
2,기아,스팅어,18/05식,3.3 터보 AWD,"107,056km",충남,"2,899",가솔린,금색
3,기아,스팅어,18/05식,3.3 터보 AWD,"107,056km",충남,"2,899",가솔린,금색
4,현대,아반떼 AD,16/06식(17년형),1.6 터보 스포츠,"84,649km",대구,"1,199",가솔린,금색
5,르노삼성,QM6,18/06식(19년형),가솔린 2WD LE,"33,798km",대구,"1,799",가솔린,금색
6,기아,쏘울 부스터,19/01식,1.6 T-GDI 노블레스,"16,269km",서울,"2,190",가솔린,금색
7,현대,갤로퍼 2,99/09식,밴 V6 LPG EXCEED,"194,381km",대구,778,LPG(일반인 구입),금색
8,현대,갤로퍼 2,99/06식,9인승 V6 LPG,"251,944km",대구,498,LPG(일반인 구입),금색
9,기아,더 뉴 K5,13/11식(14년형),노블레스,"138,067km",광주,"1,010",가솔린,금색
10,기아,더 뉴 K5,14/08식(15년형),LPI 디럭스,"159,929km",대구,670,LPG(일반인 구입),금색
11,르노삼성,SM5,04/05식,SM520LE,"53,641km",대전,250,가솔린,금색
12,현대,아토스,02/06식,카미,"185,431km",전북,149,가솔린,금색
13,기아,K5 하이브리드,13/02식,프레스티지,"112,109km",충남,"1,069",가솔린+전기,금색
14,현대,YF 쏘나타,10/09식(11년형),LPI 디럭스,"161,000km",경북,450,LPG(일반인 구입),금색
15,르노삼성,뉴SM5,07/01식,LPLI LE,"159,367km",전북,229,LPG(일반인 구입),금색
16,제네시스,G80 (RG3),21/08식,가솔린 3.5 터보 AWD,76km,대구,"6,160",가솔린,금색
17,기아,더 프레스티지 K7,12/10식(13년형),2.4 GDI 프레스티지,"190,830km",서울,499,가솔린,금색
18,기아,올 뉴 모닝,13/11식(14년형),밴,"133,122km",대구,330,가솔린,금색
19,기아,더 뉴 레이,20/01식,프레스티지,"51,717km",충남,"1,279",가솔린,금색
20,현대,투싼,07/05식,디젤(VGT) 2WD MX,"137,356km",대구,310,디젤,금색
21,현대,갤로퍼 2,99/12식,밴 V6 LPG EXCEED,"169,130km",대구,930,LPG(일반인 구입),금색
22,제네시스,G90,19/01식,3.8 AWD,"156,348km",광주,"5,799",가솔린,금색
23,현대,투싼,07/10식(08년형),디젤(CRDI) 2WD MX,"135,900km",대전,380,디젤,금색
24,현대,투싼,05/06식,디젤(CRDI) 2WD MX,"116,895km",대구,319,디젤,금색
25,현대,그랜저 HG,12/04식,HG300 프라임,"136,207km",경기,790,가솔린,금색
26,쉐보레(GM대우),올란도,11/04식(12년형),2.0 디젤 LT,"104,287km",부산,620,디젤,금색
27,,,,,,,,,금색
28,기아,K5,11/10식(12년형),2.0 노블레스,"57,107km",부산,969,가솔린,금색
29,현대,쏘나타 (DN8),19/05식(20년형),2.0,"23,926km",경기,"2,450",가솔린,금색
30,기아,K7,10/01식,LPI VG270 프레스티지,"208,058km",충남,570,LPG(일반인 구입),금색
31,현대,쏘나타 (DN8),19/05식(20년형),2.0,"23,926km",경기,"2,450",가솔린,금색
32,쌍용,티볼리 에어,16/12식(17년형),디젤 IX 2WD,"129,171km",충남,"1,055",디젤,금색
33,현대,아반떼 AD,16/07식(17년형),1.6 LPI 스마트(렌터카),"118,407km",충남,999,LPG(일반인 구입),금색
34,르노삼성,뉴SM5,05/04식,SE,"233,441km",대전,169,가솔린,금색
35,기아,올 뉴 모닝,12/06식,디럭스 스페셜,"61,200km",전북,555,가솔린,금색
36,기아,K7,09/12식(10년형),VG240 디럭스,"87,108km",서울,630,가솔린,금색
37,제네시스,G80 (RG3),20/04식(21년형),가솔린 3.5 터보 AWD,"11,269km",대전,"7,150",가솔린,금색
38,제네시스,G90,19/12식,3.8 AWD,"34,335km",경기,"6,680",가솔린,금색
39,제네시스,G90,19/12식,3.8 AWD,"34,335km",경기,"6,680",가솔린,금색
