,brand,name,year,info,km,location,price,type,color
0,기아,레이,15/10식(16년형),디럭스,"33,415km",경기,890,가솔린,초록색
1,르노삼성,뉴SM5,06/03식,SE,"254,036km",대구,179,가솔린,초록색
2,기아,레이,15/10식(16년형),디럭스,"33,415km",경기,890,가솔린,초록색
3,기아,더 뉴 레이,19/12식(20년형),밴,"7,725km",경기,"1,159",가솔린,초록색
4,기아,레이,12/04식,디럭스 스페셜,"56,505km",충남,690,가솔린,초록색
5,기아,더 뉴 레이,19/12식(20년형),밴,"7,725km",경기,"1,159",가솔린,초록색
6,제네시스,G80 (RG3),20/04식(21년형),가솔린 3.5 터보 AWD,"22,002km",경기,"6,990",가솔린,초록색
7,기아,더 뉴 레이,18/01식,디럭스,"52,091km",충남,"1,030",가솔린,초록색
8,제네시스,G80 (RG3),20/07식(21년형),가솔린 2.5 터보 AWD,"50,170km",대구,"5,590",가솔린,초록색
9,제네시스,G80 (RG3),20/10식(21년형),가솔린 2.5 터보 AWD,"19,549km",경기,"6,470",가솔린,초록색
10,제네시스,G80 (RG3),20/04식(21년형),가솔린 3.5 터보 AWD,"22,002km",경기,"6,990",가솔린,초록색
11,기아,레이,16/02식,럭셔리,"49,800km",경기,830,가솔린,초록색
12,쌍용,티볼리 아머,18/03식,기어 에디션 2WD,"80,000km",경기,"1,280",가솔린,초록색
13,기아,더 뉴 레이,18/01식,디럭스,"52,091km",충남,"1,030",가솔린,초록색
14,기아,레이,12/02식,디럭스 스페셜,"73,826km",서울,690,가솔린,초록색
15,기아,K8,21/07식(22년형),3.5 가솔린 2WD,55km,경기,"4,790",가솔린,초록색
16,쉐보레(GM대우),더 뉴 스파크,19/05식,프리미어,"19,718km",서울,899,가솔린,초록색
17,쉐보레(GM대우),All New 마티즈,05/08식(06년형),조이,"156,386km",부산,150,가솔린,초록색
18,쉐보레(GM대우),캡티바,12/11식,2WD LT,"155,372km",경기,650,디젤,초록색
19,쌍용,티볼리,16/12식,디젤 엣지 에디션 4WD,"94,201km",경기,"1,140",디젤,초록색
20,기아,K8,21/04식(22년형),2.5 가솔린 2WD,"3,474km",경기,"4,299",가솔린,초록색
21,기아,레이,13/10식(14년형),터보 프레스티지,"88,236km",경기,750,가솔린,초록색
22,기아,더 뉴 레이,18/07식,럭셔리,"34,524km",경기,"1,220",가솔린,초록색
23,제네시스,GV80,20/03식,3.0 디젤 AWD,"21,775km",경기,"6,790",디젤,초록색
24,제네시스,GV80,20/03식,3.0 디젤 AWD,"21,775km",경기,"6,790",디젤,초록색
25,기아,레이,12/06식,프레스티지,"46,638km",서울,720,가솔린,초록색
26,쉐보레(GM대우),All New 마티즈,05/08식(06년형),조이,"85,500km",부산,120,가솔린,초록색
27,기아,레이,13/03식,프레스티지,"122,765km",부산,720,가솔린,초록색
28,기아,레이,12/04식,럭셔리,"75,000km",대전,690,가솔린,초록색
29,기아,레이,13/05식,터보,"52,368km",서울,"1,020",가솔린,초록색
30,쉐보레(GM대우),마티즈 크리에이티브,10/06식,재즈,"99,829km",경기,350,가솔린,초록색
31,기아,레이,12/04식,프레스티지,"140,198km",경기,600,가솔린,초록색
32,기아,레이,14/04식,프레스티지,"67,879km",경기,970,가솔린,초록색
33,기아,뉴모닝,10/10식(11년형),LX,"74,399km",울산,240,가솔린,초록색
34,기아,올 뉴 K3,18/05식(19년형),럭셔리,"30,399km",대구,"1,470",가솔린,초록색
35,현대,코나,17/12식(18년형),1.6 터보 2WD,"30,000km",전남,"1,820",가솔린,초록색
36,기아,레이,13/10식(14년형),럭셔리,"96,442km",서울,670,가솔린,초록색
37,현대,갤로퍼,93/08식,지프 터보엑시드,"259,000km",울산,830,디젤,초록색
38,기아,레이,12/01식,프레스티지,"114,011km",광주,750,가솔린,초록색
