,brand,name,year,info,km,location,price,type,color
0,현대,뉴 투싼 ix,14/01식,디젤(e-VGT) 2WD,"149,275km",전북,880,디젤,주황색
1,쌍용,코란도 C,13/03식,시크 2WD,"174,742km",전북,490,디젤,주황색
2,현대,벨로스터,11/11식(12년형),익스트림,"92,476km",경기,750,가솔린,주황색
3,르노삼성,QM3,15/05식,RE,"184,605km",경기,610,디젤,주황색
4,쌍용,코란도 C,13/01식,클러비 4WD,"20,000km",대구,730,디젤,주황색
5,르노삼성,QM3,15/11식,RE,"120,141km",인천,830,디젤,주황색
6,기아,스포티지 R,13/01식,디젤 2WD TLX,"143,393km",부산,870,디젤,주황색
7,르노삼성,QM3,15/11식,RE,"120,141km",인천,830,디젤,주황색
8,르노삼성,트위지,17/12식(18년형),인텐스(2인승),614km,대구,380,전기,주황색
9,르노삼성,뉴QM3,17/10식(18년형),RE,"50,349km",경기,"9,999",디젤,주황색
10,현대,코나,19/01식,1.6 터보 4WD,"19,600km",대구,"1,750",가솔린,주황색
11,르노삼성,뉴QM3,17/10식(18년형),RE,"50,349km",경기,"9,999",디젤,주황색
12,기아,올 뉴 K3,19/09식(20년형),5도어 GT 베이직,"37,515km",광주,"1,880",가솔린,주황색
13,,,,,,,,,주황색
14,쌍용,뉴코란도 C,14/01식,2.0 CVX 2WD,"130,819km",인천,690,디젤,주황색
15,쌍용,뷰티풀 코란도,20/02식,가솔린 1.5 2WD C5,"23,434km",경기,"2,120",가솔린,주황색
16,르노삼성,QM3,15/01식,RE,"58,288km",부산,"1,150",디젤,주황색
17,현대,그랜드 스타렉스,08/08식(09년형),12인승 왜건,"161,922km",경남,499,디젤,주황색
18,현대,올 뉴 투싼,15/05식(16년형),디젤 1.7 2WD,"57,420km",서울,"1,660",디젤,주황색
19,쉐보레(GM대우),뉴 라보,15/02식,접이식탑차 롱카고,"47,762km",부산,520,LPG(일반인 구입),주황색
20,르노삼성,QM3,14/04식,RE,"115,770km",경기,799,디젤,주황색
21,쌍용,베리 뉴 티볼리,19/09식(20년형),가솔린 1.5 2WD,"55,400km",경기,"1,550",가솔린,주황색
22,현대,벨로스터 (JS),18/10식,1.6 터보 스포츠,"26,856km",대구,"1,550",가솔린,주황색
23,쌍용,베리 뉴 티볼리,19/09식(20년형),가솔린 1.5 2WD,"55,400km",경기,"1,550",가솔린,주황색
24,르노삼성,QM3,16/02식,RE,"15,435km",서울,"1,190",디젤,주황색
25,현대,싼타페 TM,18/03식(19년형),디젤 2.2 4WD,"24,196km",서울,"3,090",디젤,주황색
26,현대,뉴 투싼 ix,14/06식(15년형),디젤(e-VGT) 2WD,"114,365km",대구,"1,250",디젤,주황색
27,기아,모하비,08/01식,2WD KV300,"81,818km",경기,"1,360",디젤,주황색
28,르노삼성,QM3,14/01식,RE,"113,382km",경남,770,디젤,주황색
29,르노삼성,QM3,16/05식,RE,"73,183km",충남,"1,150",디젤,주황색
30,기아,올 뉴 프라이드,12/05식,1.6 GDI 해치백,"96,422km",경기,660,가솔린,주황색
31,현대,벨로스터,13/02식,DCT팩,"160,985km",충남,666,가솔린,주황색
32,현대,코나,17/11식(18년형),1.6 터보 2WD,"46,477km",광주,"1,810",가솔린,주황색
33,르노삼성,QM3,14/03식,RE,"84,602km",대전,830,디젤,주황색
34,현대,코나,17/11식(18년형),1.6 터보 2WD,"46,477km",광주,"1,810",가솔린,주황색
35,쉐보레(GM대우),All New 마티즈,09/01식,SX,"132,645km",전북,190,가솔린,주황색
36,르노삼성,QM3,17/06식,RE,"32,072km",울산,"1,300",디젤,주황색
37,쌍용,베리 뉴 티볼리,20/01식,가솔린 1.5 2WD,"26,119km",경북,"2,080",가솔린,주황색
38,현대,뉴 투싼 ix,14/01식,디젤(e-VGT) 2WD,"156,986km",전북,899,디젤,주황색
39,기아,셀토스,19/12식(20년형),가솔린 1.6 터보 2WD,"9,551km",경기,"2,500",가솔린,주황색
40,르노삼성,QM3,16/05식,RE 시그니처,"185,375km",충남,690,디젤,주황색
41,쌍용,베리 뉴 티볼리,19/07식(20년형),가솔린 1.5 2WD,"24,369km",부산,"1,850",가솔린,주황색
42,쉐보레(GM대우),아베오 해치백,16/03식,1.4 터보 RS,"85,882km",서울,600,가솔린,주황색
43,쉐보레(GM대우),아베오 해치백,15/02식,1.4 터보 RS,"66,248km",서울,730,가솔린,주황색
44,르노삼성,QM3,15/09식,RE,"102,783km",대전,610,디젤,주황색
45,쌍용,베리 뉴 티볼리,19/12식(20년형),가솔린 1.5 2WD,"13,869km",부산,"1,690",가솔린,주황색
46,르노삼성,QM3,15/08식,RE,"68,142km",부산,830,디젤,주황색
47,르노삼성,QM3,14/01식,RE,"200,000km",경남,530,디젤,주황색
48,르노삼성,QM3,14/04식,RE,"171,910km",경남,580,디젤,주황색
49,기아,셀토스,19/07식(20년형),가솔린 1.6 터보 4WD,"5,000km",경기,"2,880",가솔린,주황색
50,쌍용,티볼리 아머,18/09식(19년형),기어 플러스 2WD,"14,800km",경기,"1,620",가솔린,주황색
51,르노삼성,QM3,14/11식(15년형),RE,"72,368km",부산,880,디젤,주황색
52,르노삼성,QM3,14/06식,RE,"94,772km",충북,790,디젤,주황색
53,르노삼성,QM3,14/06식,RE,"60,000km",대구,820,디젤,주황색
54,쌍용,티볼리 아머,18/10식(19년형),디젤 VX 2WD,"3,841km",경기,"1,500",디젤,주황색
55,현대,투싼,06/06식,디젤(VGT) 2WD MX,"130,210km",부산,330,디젤,주황색
56,쉐보레(GM대우),말리부,15/02식,2.0 LT 디럭스팩,"42,184km",인천,"1,030",가솔린,주황색
57,기아,쏘울,09/09식(10년형),1.6 U,"103,713km",광주,480,가솔린,주황색
