,brand,name,year,info,km,location,price,type,color
0,현대,그랜저 HG,13/08식(14년형),HG240 모던,"77,591km",광주,"1,520",가솔린,진주색
1,쉐보레(GM대우),더 넥스트 스파크,18/04식,LTZ,"51,726km",경기,850,가솔린,진주색
2,현대,아반떼 AD,16/09식(17년형),1.6 GDI 프리미엄,"19,300km",부산,"1,570",가솔린,진주색
3,르노삼성,SM7 New Art,08/01식,LE35,"174,737km",대구,370,가솔린,진주색
4,기아,올 뉴 모닝,13/08식,럭셔리 스포츠,"85,673km",대구,650,가솔린,진주색
5,현대,그랜저 HG,13/08식(14년형),HG240 모던,"77,591km",광주,"1,520",가솔린,진주색
6,기아,올 뉴 모닝,14/12식(15년형),디럭스,"37,050km",경기,599,가솔린,진주색
7,기아,레이,12/12식(13년형),프레스티지,"38,175km",경기,899,가솔린,진주색
8,쉐보레(GM대우),더 넥스트 스파크,18/04식,LTZ,"51,726km",경기,850,가솔린,진주색
9,제네시스,EQ900,18/12식,3.8 GDI AWD,"34,225km",경기,"6,150",가솔린,진주색
10,현대,싼타페 DM,12/12식(13년형),디젤(e-VGT) 2.2 4WD 익스클루시브,"111,209km",인천,"1,430",디젤,진주색
11,쉐보레(GM대우),더 뉴 스파크,19/07식,프리미어,"7,409km",경기,"1,150",가솔린,진주색
12,쉐보레(GM대우),더 뉴 스파크,20/05식,프리미어,"3,471km",경기,"1,230",가솔린,진주색
13,기아,올 뉴 모닝,14/05식(15년형),디럭스,"110,095km",경기,460,가솔린,진주색
14,기아,쏘울,12/04식,디젤 1.6 럭셔리,"183,047km",대구,599,디젤,진주색
15,기아,모닝 어반,20/08식(21년형),프레스티지,"5,465km",대구,"1,320",가솔린,진주색
16,현대,쏠라티,17/05식,15인승,"98,653km",광주,"5,760",디젤,진주색
17,기아,쏘울,08/12식(09년형),1.6 2U,"141,625km",충남,450,가솔린,진주색
18,기아,레이,17/09식,밴 고급형,"33,921km",충남,810,가솔린,진주색
19,르노삼성,QM3,16/10식,RE,"84,541km",대구,"1,099",디젤,진주색
20,기아,모닝 어반,20/12식(21년형),시그니처,"6,433km",광주,"1,530",가솔린,진주색
21,기아,올 뉴 모닝,14/05식(15년형),디럭스,"110,095km",경기,460,가솔린,진주색
22,쉐보레(GM대우),더 뉴 스파크,20/05식,프리미어,"3,471km",경기,"1,230",가솔린,진주색
23,기아,더 뉴 레이,18/03식,프레스티지,"9,567km",광주,"1,450",가솔린,진주색
24,르노삼성,QM3,14/11식(15년형),RE,"116,742km",전북,930,디젤,진주색
25,제네시스,EQ900,18/12식,3.8 GDI AWD,"34,225km",경기,"6,150",가솔린,진주색
26,쉐보레(GM대우),더 뉴 스파크,19/07식,프리미어,"7,409km",경기,"1,150",가솔린,진주색
27,현대,싼타페 DM,12/12식(13년형),디젤(e-VGT) 2.2 4WD 익스클루시브,"111,209km",인천,"1,430",디젤,진주색
28,기아,올 뉴 모닝 (JA),19/08식(20년형),럭셔리,"2,991km",부산,"1,030",가솔린,진주색
29,기아,올 뉴 모닝,13/06식,디럭스,"183,000km",경기,319,가솔린,진주색
30,르노삼성,SM6,18/07식(19년형),2.0 GDe SE,"84,960km",대전,"1,150",가솔린,진주색
31,현대,쏠라티,16/04식,15인승,"103,387km",충남,"2,799",디젤,진주색
32,기아,레이,17/12식,프레스티지,"47,562km",대구,"1,190",가솔린,진주색
33,현대,그랜저 HG,14/07식(15년형),LPG HG300 장애인용,"173,629km",경기,"1,200",LPG(일반인 구입),진주색
34,기아,올 뉴 모닝 (JA),19/07식,프레스티지,"2,952km",경기,"1,260",가솔린,진주색
35,기아,쏘울,09/03식(10년형),1.6 2U,"135,689km",서울,420,가솔린,진주색
36,기아,더 뉴 모닝,16/08식,럭셔리,"81,216km",울산,740,가솔린,진주색
37,기아,쏘울,10/01식,1.6 2U,"117,808km",충남,499,가솔린,진주색
38,기아,레이,14/04식,럭셔리,"95,009km",대구,790,가솔린,진주색
