,brand,name,year,info,km,location,price,type,color
0,쉐보레(GM대우),스파크,12/09식,LS,"53,820km",대전,420,가솔린,분홍색
1,쉐보레(GM대우),스파크,12/07식,LT,"38,000km",경기,445,가솔린,분홍색
2,쉐보레(GM대우),스파크,12/05식,LT,"67,659km",부산,430,가솔린,분홍색
3,쉐보레(GM대우),스파크,12/07식,LT,"50,867km",광주,450,가솔린,분홍색
4,쉐보레(GM대우),스파크,12/09식,LPG LS,"63,000km",서울,480,LPG(일반인 구입),분홍색
5,쉐보레(GM대우),스파크,12/03식,LS+,"36,726km",부산,460,가솔린,분홍색
6,쉐보레(GM대우),마티즈 크리에이티브,10/08식(11년형),그루브,"54,691km",광주,360,가솔린,분홍색
7,쉐보레(GM대우),더 뉴 스파크,18/09식(19년형),마이핏 에디션,"15,900km",인천,"1,020",가솔린,분홍색
8,쉐보레(GM대우),스파크,12/04식,LS,"81,882km",경기,380,가솔린,분홍색
9,쉐보레(GM대우),스파크,12/11식,LPG LS,"88,431km",경기,439,LPG(일반인 구입),분홍색
10,쉐보레(GM대우),스파크,12/07식,LT,"70,289km",전북,430,가솔린,분홍색
11,쉐보레(GM대우),스파크,11/12식(12년형),LT,"50,487km",충남,399,가솔린,분홍색
12,쉐보레(GM대우),스파크,11/10식(12년형),LT,"30,739km",서울,430,가솔린,분홍색
13,쉐보레(GM대우),스파크,12/11식,LPG LS,"88,431km",경기,439,LPG(일반인 구입),분홍색
14,쉐보레(GM대우),스파크,11/04식(12년형),LS+,"72,500km",경기,170,가솔린,분홍색
15,쉐보레(GM대우),마티즈 크리에이티브,10/09식(11년형),재즈,"150,051km",경기,230,가솔린,분홍색
16,쉐보레(GM대우),마티즈 크리에이티브,10/08식(11년형),재즈,"132,714km",경기,290,가솔린,분홍색
17,쉐보레(GM대우),스파크,11/04식(12년형),LT,"130,105km",부산,310,가솔린,분홍색
18,쉐보레(GM대우),스파크,12/07식,LS,"78,813km",경기,170,가솔린,분홍색
19,쉐보레(GM대우),스파크,12/10식,LS,"110,000km",부산,320,가솔린,분홍색
20,쉐보레(GM대우),스파크,12/04식,LS,"174,815km",울산,250,가솔린,분홍색
21,쉐보레(GM대우),마티즈 크리에이티브,10/08식(11년형),재즈,"66,060km",대구,330,가솔린,분홍색
22,쉐보레(GM대우),더 넥스트 스파크,17/09식(18년형),LT,"14,700km",대전,780,가솔린,분홍색
23,쉐보레(GM대우),스파크,12/12식,LS,"93,111km",부산,390,가솔린,분홍색
24,,,,,,,,,분홍색
25,쉐보레(GM대우),스파크,12/09식,LS,"55,151km",광주,440,가솔린,분홍색
26,쉐보레(GM대우),스파크,11/06식(12년형),LS,"75,940km",경기,310,가솔린,분홍색
27,쉐보레(GM대우),스파크,11/04식(12년형),LS,"54,507km",충남,400,가솔린,분홍색
28,쉐보레(GM대우),스파크,12/02식,LT,"32,509km",경기,490,가솔린,분홍색
29,쉐보레(GM대우),스파크,13/03식,LT,"91,078km",경기,400,가솔린,분홍색
30,쉐보레(GM대우),더 넥스트 스파크,18/02식,LTZ,"62,495km",경기,750,가솔린,분홍색
31,쉐보레(GM대우),더 넥스트 스파크,18/02식,LTZ,"62,495km",경기,750,가솔린,분홍색
32,쉐보레(GM대우),스파크,12/02식,LT,"63,664km",경기,390,가솔린,분홍색
33,쉐보레(GM대우),스파크,11/04식(12년형),LS,"130,161km",부산,290,가솔린,분홍색
34,쉐보레(GM대우),스파크,11/07식(12년형),LS,"99,886km",울산,390,가솔린,분홍색
35,쉐보레(GM대우),스파크,12/01식,LT,"84,449km",경기,470,가솔린,분홍색
36,쉐보레(GM대우),스파크,11/06식(12년형),LT,"140,136km",대구,370,가솔린,분홍색
37,쉐보레(GM대우),마티즈 크리에이티브,10/10식(11년형),그루브,"38,386km",경기,490,가솔린,분홍색
38,쉐보레(GM대우),마티즈 크리에이티브,10/10식(11년형),재즈,"58,510km",광주,315,가솔린,분홍색
39,쉐보레(GM대우),스파크,13/02식,LT,"41,960km",서울,530,가솔린,분홍색
40,쉐보레(GM대우),스파크,12/02식,LS,"28,300km",전북,490,가솔린,분홍색
41,쉐보레(GM대우),스파크,11/03식(12년형),LS,"108,220km",대구,370,가솔린,분홍색
42,쉐보레(GM대우),스파크,12/12식,LS+,"94,580km",전북,390,가솔린,분홍색
43,쉐보레(GM대우),스파크,11/06식(12년형),LS,"78,216km",경기,399,가솔린,분홍색
44,쉐보레(GM대우),스파크,12/07식,LS,"105,238km",충남,377,가솔린,분홍색
45,쉐보레(GM대우),스파크,12/02식,LS,"139,631km",경기,219,가솔린,분홍색
46,쉐보레(GM대우),스파크,11/05식(12년형),LS,"131,187km",경기,218,가솔린,분홍색
47,쉐보레(GM대우),스파크,12/02식,LS,"52,436km",경기,269,가솔린,분홍색
48,쉐보레(GM대우),더 넥스트 스파크,17/08식(18년형),LT,"37,458km",광주,690,가솔린,분홍색
49,쉐보레(GM대우),스파크,11/10식(12년형),LS,"70,646km",대구,380,가솔린,분홍색
