,brand,name,year,info,km,location,price,type,color
0,쌍용,렉스턴 스포츠 칸,19/10식,디젤 2.2 2WD,"18,735km",경기,"2,550",디젤,빨강색
1,기아,스팅어,18/11식(19년형),3.3 터보 AWD,"40,481km",광주,"3,550",가솔린,빨강색
2,르노삼성,QM3,15/07식,RE 시그니처,"110,412km",인천,790,디젤,빨강색
3,현대,LF 쏘나타,15/03식,2.0 스마트,"45,199km",경기,"1,270",가솔린,빨강색
4,기아,올 뉴 카니발,16/07식,9인승 노블레스,"121,633km",충남,"1,949",디젤,빨강색
5,기아,스팅어,18/11식(19년형),3.3 터보 AWD,"40,481km",광주,"3,550",가솔린,빨강색
6,쉐보레(GM대우),크루즈,12/02식,1.8 LTZ+,"77,786km",경기,400,가솔린,빨강색
7,르노삼성,QM3,15/07식,RE 시그니처,"110,412km",인천,790,디젤,빨강색
8,쌍용,렉스턴 스포츠 칸,19/10식,디젤 2.2 2WD,"18,735km",경기,"2,550",디젤,빨강색
9,쌍용,티볼리,17/01식,LX 2WD,"50,500km",대전,"1,250",가솔린,빨강색
10,기아,더 뉴 레이,19/07식,럭셔리,"17,792km",서울,"1,290",가솔린,빨강색
11,르노삼성,SM3 네오,14/11식(15년형),R4U 에디션,"127,098km",경기,650,가솔린,빨강색
12,기아,스포티지 4세대,16/02식,디젤 2.0 4WD 노블레스,"63,620km",대구,"1,950",디젤,빨강색
13,기아,레이,13/08식,럭셔리,"128,387km",경남,630,가솔린,빨강색
14,기아,올 뉴 모닝,12/04식,스마트,"187,796km",인천,250,가솔린,빨강색
15,기아,올 뉴 K3,19/08식,5도어 GT 플러스,"32,903km",경기,"2,120",가솔린,빨강색
16,기아,올 뉴 모닝,12/03식,럭셔리,"51,541km",대구,550,가솔린,빨강색
17,쌍용,뉴코란도 C,15/04식,2.0 RX 2WD,"67,124km",전북,"1,000",디젤,빨강색
18,기아,스팅어,18/06식(19년형),3.3 터보 AWD,"62,972km",경기,"3,480",가솔린,빨강색
19,르노삼성,클리오,18/12식(19년형),인텐스,"21,085km",경기,"1,420",디젤,빨강색
20,쌍용,티볼리 아머,18/05식,디젤 VX 2WD,"144,722km",경기,"1,199",디젤,빨강색
21,기아,더 뉴 레이,19/07식,럭셔리,"17,792km",서울,"1,290",가솔린,빨강색
22,르노삼성,SM3 네오,14/11식(15년형),R4U 에디션,"127,098km",경기,650,가솔린,빨강색
23,현대,더 뉴 벨로스터,17/04식,1.6 PYL,"44,133km",울산,"1,040",가솔린,빨강색
24,기아,올 뉴 모닝 (JA),17/03식,프레스티지,"34,868km",울산,940,가솔린,빨강색
25,기아,올 뉴 모닝 (JA),17/06식,럭셔리,"41,680km",대전,830,가솔린,빨강색
26,쉐보레(GM대우),All New 마티즈,07/09식(08년형),SE,"89,909km",경기,130,가솔린,빨강색
27,기아,올 뉴 모닝,14/01식,바이퓨얼 스마트,"153,481km",전북,480,가솔린+LPG,빨강색
28,현대,i30 (PD),17/09식(18년형),1.6 터보,"46,588km",경기,"1,350",가솔린,빨강색
29,르노삼성,클리오,18/12식(19년형),인텐스,"21,085km",경기,"1,420",디젤,빨강색
30,기아,더 뉴 레이,18/01식,럭셔리,"33,940km",인천,"1,080",가솔린,빨강색
31,기아,스팅어,18/06식(19년형),3.3 터보 AWD,"62,972km",경기,"3,480",가솔린,빨강색
32,제네시스,G70,17/11식(18년형),2.2D AWD,"25,393km",광주,"3,080",디젤,빨강색
33,르노삼성,뉴QM3,19/09식,RE,"21,379km",경기,"1,620",디젤,빨강색
34,제네시스,G70,20/07식,3.3T 스포츠 AWD,"3,961km",서울,"4,550",가솔린,빨강색
35,쌍용,티볼리,17/07식,VX 2WD,"40,305km",광주,"1,350",가솔린,빨강색
36,기아,올 뉴 K3,20/01식,럭셔리,"12,015km",경기,"1,790",가솔린,빨강색
37,기아,스토닉,17/09식(18년형),디젤 1.6,"13,877km",서울,"1,390",디젤,빨강색
38,현대,코나,19/02식,디젤 1.6 2WD,"39,978km",경기,"2,030",디젤,빨강색
39,기아,더 뉴 레이,18/01식,럭셔리,"33,940km",인천,"1,080",가솔린,빨강색
40,쉐보레(GM대우),더 넥스트 스파크,18/05식,LTZ,"18,443km",경기,750,가솔린,빨강색
41,현대,아반떼 (CN7),20/08식(21년형),1.6 터보 N Line,"17,773km",인천,"2,480",가솔린,빨강색
42,현대,더 뉴 아반떼,15/01식,1.6 GDi 모던,"69,712km",경기,"1,030",가솔린,빨강색
43,쌍용,더 뉴 코란도 스포츠,17/06식(18년형),2.2 CX7 4WD,"65,314km",광주,"1,690",디젤,빨강색
44,기아,스토닉,17/09식(18년형),디젤 1.6,"13,877km",서울,"1,390",디젤,빨강색
45,기아,올 뉴 K3,20/01식,럭셔리,"12,015km",경기,"1,790",가솔린,빨강색
46,현대,코나,19/02식,디젤 1.6 2WD,"39,978km",경기,"2,030",디젤,빨강색
47,기아,올 뉴 프라이드,14/05식,1.4 MPI 해치백,"35,533km",경기,680,가솔린,빨강색
48,현대,아반떼 (CN7),20/08식(21년형),1.6 터보 N Line,"17,773km",인천,"2,480",가솔린,빨강색
49,,,,,,,,,빨강색
50,기아,더 뉴 레이,18/05식,럭셔리,"15,537km",인천,"1,170",가솔린,빨강색
51,기아,올 뉴 K3,20/01식,럭셔리,"12,015km",경기,"1,790",가솔린,빨강색
52,현대,코나,19/02식,디젤 1.6 2WD,"39,978km",경기,"2,030",디젤,빨강색
53,기아,올 뉴 프라이드,14/05식,1.4 MPI 해치백,"35,533km",경기,680,가솔린,빨강색
54,현대,아반떼 (CN7),20/08식(21년형),1.6 터보 N Line,"17,773km",인천,"2,480",가솔린,빨강색
55,기아,더 뉴 레이,18/05식,럭셔리,"15,537km",인천,"1,170",가솔린,빨강색
56,현대,벨로스터,11/07식(12년형),익스트림,"54,583km",울산,890,가솔린,빨강색
57,현대,벨로스터 (JS),20/06식,1.6 터보 스포츠,"33,210km",경기,"2,250",가솔린,빨강색
58,현대,아반떼 AD,18/03식,1.6 GDI 밸류 플러스,"46,031km",부산,"1,335",가솔린,빨강색
59,쌍용,렉스턴 스포츠,18/08식(19년형),디젤 2.2 2WD,"74,759km",경기,"1,850",디젤,빨강색
60,기아,더 뉴 레이,18/05식,럭셔리,"15,537km",인천,"1,170",가솔린,빨강색
61,현대,쏘나타 하이브리드 (DN8),19/09식(20년형),인스퍼레이션,"17,308km",대구,"2,699",가솔린+전기,빨강색
62,기아,올 뉴 프라이드,14/05식,1.4 MPI 해치백,"35,533km",경기,680,가솔린,빨강색
63,쌍용,더 뉴 코란도 스포츠,17/06식(18년형),2.2 CX7 4WD,"65,314km",광주,"1,690",디젤,빨강색
64,현대,벨로스터 (JS),20/06식,1.6 터보 스포츠,"33,210km",경기,"2,250",가솔린,빨강색
65,기아,스토닉,17/10식(18년형),디젤 1.6,"32,325km",울산,"1,450",디젤,빨강색
66,쉐보레(GM대우),리얼 뉴 콜로라도,20/11식(21년형),3.6 익스트림 2WD,"17,397km",서울,"3,450",가솔린,빨강색
67,기아,모닝,08/02식,LX,"67,473km",울산,290,가솔린,빨강색
