,brand,name,year,info,km,location,price,type,color,websites
0,기아,더 뉴 레이,18/10식,트렌디,"18,445km",경기,"1,180",가솔린,흰색,Ncar
1,현대,아반떼 AD,17/03식,1.6 GDI 스마트,"73,904km",경기,"1,230",가솔린,흰색,Ncar
2,쉐보레(GM대우),올 뉴 말리부,16/08식(17년형),2.0 터보 LTZ,"40,563km",경기,"1,750",가솔린,흰색,Ncar
3,쉐보레(GM대우),더 뉴 스파크,20/03식,밴,"27,033km",경기,770,가솔린,흰색,Ncar
4,기아,K5 2세대,15/09식(16년형),2.0 MX,"31,974km",부산,"1,710",가솔린,흰색,Ncar
5,기아,스포티지 4세대,16/11식(17년형),디젤 1.7 2WD 트렌디,"25,208km",대구,"1,670",디젤,흰색,Ncar
6,기아,더 뉴 K3,17/07식(18년형),트렌디,"33,600km",대구,"1,350",가솔린,흰색,Ncar
7,현대,아반떼 AD,18/08식,1.6 e-VGT 스마트,"15,144km",대구,"1,520",디젤,흰색,Ncar
8,기아,올 뉴 프라이드,13/01식,1.6 GDI 해치백,"14,515km",경기,860,가솔린,흰색,Ncar
9,르노삼성,SM6,16/05식,1.6 TCe RE,"130,353km",경기,"1,150",가솔린,흰색,Ncar
10,기아,레이,15/12식(16년형),프레스티지,"42,114km",경기,630,가솔린,흰색,Ncar
11,쉐보레(GM대우),스파크,11/10식(12년형),LT,"70,665km",경기,210,가솔린,흰색,Ncar
12,,,,,,,,,흰색,Ncar
13,기아,올 뉴 모닝,13/09식(14년형),스마트,"75,710km",경기,270,가솔린,흰색,Ncar
14,기아,K5,11/01식,2.4 GDI 노블레스,"155,170km",경기,620,가솔린,흰색,Ncar
15,쉐보레(GM대우),스파크,12/11식,LS,"126,033km",경기,250,가솔린,흰색,Ncar
16,쉐보레(GM대우),더 넥스트 스파크,16/02식,에코 LTZ,"47,900km",경기,800,가솔린,흰색,Ncar
17,기아,올 뉴 모닝 (JA),18/08식,럭셔리,"28,083km",경기,830,가솔린,흰색,Ncar
