,name,brand,color,fuel,accident,price,mile,model
0,더 뉴 맥스크루즈,현대,갈색,가솔린,단순교환,2570,67709,가솔린 3.3 4WD프레스티지
1,올 뉴 말리부,쉐보레(GM대우),흰색,가솔린,무사고,1560,77964,2.0 터보 LT프리미엄
2,스파크,쉐보레(GM대우),쥐색,가솔린,무사고,530,62783,LT기본형
3,더 뉴 스파크,쉐보레(GM대우),흰색,가솔린,무사고,1040,18087,프리미어
4,더 뉴 K3,기아,진주색,가솔린,단순사고(접촉),1130,63749,트렌디스타일
5,그랜저 HG,현대,은회색,가솔린,단순사고(접촉),1300,43472,HG300 프리미엄
6,그랜저 IG,현대,쥐색,가솔린,무사고,2440,46931,3.0 익스클루시브세부등급 없음
7,SM6,르노삼성,쥐색,가솔린,무사고,1560,56501,2.0 GDe LE
8,쏘나타 더 브릴리언트,현대,은회색,LPG,단순교환,950,40081,LPI 모던
9,코나,현대,흰색,가솔린,무사고,2010,14470,1.6 터보 2WD모던 팝
10,올 뉴 K7,기아,검정색,LPG,무사고,1640,139235,3.0 LPI 프레스티지(장애인용)
11,올 뉴 K7,기아,흰색,가솔린,무사고,1790,79266,2.4 GDI 프레스티지
12,올 뉴 쏘렌토,기아,쥐색,디젤,무사고,1760,94264,디젤 2.0 4WD프레스티지
13,C-클래스 W204,벤츠,흰색,가솔린,무사고,3190,81280,C63 AMG 쿠페
14,E-클래스 W213,벤츠,흰색,가솔린+전기,무사고,5900,28123,E300e 익스클루시브
15,아반떼 AD,현대,쥐색,가솔린,단순사고(접촉),1420,38037,1.6 GDI 밸류 플러스
16,그랜저 IG,현대,흰색,가솔린,무사고,1890,84658,2.4 프리미엄세부등급 없음
17,뉴 QM6,르노삼성,흰색,LPG,무사고,2980,236,LPG 2.0 (일반인 판매용)RE 시그니처
18,K8 하이브리드,기아,검정색,가솔린+전기,무사고,5110,2242,시그니처
19,그랜저 HG,현대,쥐색,가솔린,무사고,1460,54866,HG300 익스클루시브
20,그랜저 IG,현대,검정색,LPG,단순교환,2060,82274,3.0 LPi 모던 (렌터카용)
21,더 뉴 K5 2세대,기아,흰색,LPG,무사고,1740,52698,2.0 LPI프레스티지
22,SM6,르노삼성,흰색,가솔린,단순교환,1790,27975,2.0 GDe LE
