,brand,name,info,type,km,year,color,location,accident,price
0,기아,더 뉴 니로,노블레스 스폐셜,가솔린+전기,13548,2021,쥐색,경기/인천,무사고,2860
1,쉐보레(GM대우),더 넥스트 스파크,LT플러스,가솔린,9626,2018,진주색,경기/인천,단순교환,860
2,기아,더 뉴 K7,2.4 GDI 프레스티지 스페셜,가솔린,97878,2013,흰색,경기/인천,단순사고(접촉),1120
3,르노삼성,QM6,디젤 2WD RE 시그니처,디젤,88478,2017,쥐색,경기/인천,무사고,1860
4,현대,더 뉴 아반떼 AD,1.6스마트,가솔린,40723,2019,쥐색,경남,단순교환,1670
5,BMW,5시리즈 (G30),520d xDrive 럭셔리 플러스,디젤,78547,2018,쥐색,경기/인천,무사고,4050
6,쉐보레(GM대우),더 뉴 스파크,LS세부등급 없음,가솔린,15673,2019,쥐색,경기/인천,무사고,780
7,쉐보레(GM대우),올 뉴 말리부,2.0 터보 퍼펙트 블랙,가솔린,58223,2018,검정색,경기/인천,무사고,1920
8,BMW,5시리즈 GT (F07),GT ED Edition 럭셔리,디젤,102751,2014,은색,경북,무사고,2580
9,포드,익스플로러,2.3 리미티드 4WD5세대,가솔린,67563,2016,쥐색,경기/인천,무사고,2840
10,기아,셀토스,가솔린 터보 1.6 4WD노블레스,가솔린,47363,2020,쥐색,경북,무사고,2700
11,기아,올 뉴 카니발,가솔린 9인승 노블레스,가솔린,49855,2016,흰색,경기/인천,무사고,2540
12,포르쉐,718 박스터,2.0,가솔린,30481,2018,빨간색,경기/인천,무사고,8400
13,기아,더 뉴 K7,2.4 GDI 프레스티지 스페셜,가솔린,117016,2014,은색,경기/인천,무사고,1160
14,쉐보레(GM대우),더 뉴 트랙스,1.4 LT디럭스,가솔린,61245,2018,검정색,서울,무사고,1390
15,현대,아반떼 AD,1.6 터보 스포츠7DCT,가솔린,103418,2017,쥐색,경기/인천,단순교환,1290
16,피아트,500X,2.0 디젤 크로스 AWD,디젤,96485,2016,흰색,경기/인천,단순교환,1300
17,쉐보레(GM대우),올 뉴 말리부,1.5 터보 LTZ세부등급 없음,가솔린,129389,2017,흰색,경기/인천,무사고,1470
