,brand,name,info,type,km,year,location,price
0,현대,그랜저 HG,HG300 프라임,가솔린,136207.0,2012,경기,790.0
1,현대,싼타페 더 프라임,디젤 2.0 2WD,디젤,88581.0,2017,경기,1890.0
2,기아,K7,LPI VG270 프레스티지,LPG(일반인 구입),208058.0,2010,충남,570.0
3,현대,아반떼 AD,1.6 LPI 스마트(렌터카),LPG(일반인 구입),118407.0,2017,충남,999.0
4,르노삼성,QM6,디젤 4WD RE 시그니처,디젤,70099.0,2018,서울,1930.0
5,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,가솔린,2542.0,2021,서울,7199.0
6,기아,더 프레스티지 K7,2.4 GDI 프레스티지,가솔린,93282.0,2013,경기,1050.0
7,르노삼성,뉴SM3,LE,가솔린,184087.0,2010,경기,280.0
8,기아,더 뉴 K5,LPI 디럭스,LPG(일반인 구입),159929.0,2015,대구,670.0
9,기아,K5,2.0 스마트,가솔린,74802.0,2013,충남,769.0
10,르노삼성,QM6,가솔린 2WD RE,가솔린,35682.0,2019,인천,2099.0
11,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,가솔린,14462.0,2021,대전,7090.0
12,기아,올 뉴 모닝,럭셔리,가솔린,68865.0,2015,경기,670.0
13,쌍용,렉스턴 W,2.0 4WD RX7,디젤,150071.0,2013,충남,998.0
14,쌍용,더 뉴 코란도 스포츠,2.2 익스트림 4WD,디젤,99834.0,2017,경기,1630.0
15,기아,올 뉴 모닝 (JA),럭셔리,가솔린,24190.0,2017,경기,880.0
16,제네시스,GV80,3.0 디젤 2WD,디젤,6991.0,2021,서울,6500.0
17,쉐보레(GM대우),더 뉴 트랙스,1.6 디젤 LT,디젤,45030.0,2019,서울,1490.0
18,제네시스,GV80,2.5T 가솔린 AWD,가솔린,39506.0,2020,경기,6299.0
19,기아,더 뉴 K5,노블레스,가솔린,138067.0,2014,광주,1030.0
20,기아,K5 하이브리드,프레스티지,가솔린+전기,112109.0,2013,충남,1069.0
21,현대,투싼,디젤(VGT) 2WD MXL,디젤,153915.0,2006,부산,310.0
22,기아,더 뉴 K7,2.4 GDI 프레스티지,가솔린,55713.0,2015,경기,1350.0
23,르노삼성,뉴SM5,LPLI LE,LPG(일반인 구입),159367.0,2007,전북,219.0
24,기아,더 뉴 레이,프레스티지,가솔린,51717.0,2020,충남,1279.0
25,제네시스,G90,3.8 AWD,가솔린,156348.0,2019,광주,5750.0
26,기아,올 뉴 모닝 (JA),밴,가솔린,16221.0,2020,경기,850.0
27,제네시스,G90,3.8 AWD,가솔린,34335.0,2019,경기,6599.0
28,기아,더 뉴 K5,럭셔리,가솔린,155157.0,2014,부산,690.0
29,현대,싼타페 TM,디젤 2.2 4WD,디젤,88421.0,2019,경기,2650.0
30,기아,뉴모닝,SLX 스페셜,가솔린,11260.0,2011,서울,470.0
31,현대,싼타페 TM,가솔린 2.0T 2WD,가솔린,11954.0,2020,서울,3060.0
32,제네시스,GV80,3.0 디젤 AWD,디젤,10156.0,2020,경기,7190.0
33,현대,아반떼 AD,1.6 GDI 밸류 플러스,가솔린,22300.0,2018,부산,1480.0
34,기아,올 뉴 모닝,럭셔리,가솔린,70145.0,2015,서울,589.0
35,기아,K5 하이브리드,노블레스,가솔린+전기,43226.0,2014,경기,1270.0
36,쉐보레(GM대우),올란도,2.0 디젤 LT,디젤,104287.0,2012,부산,599.0
37,르노삼성,QM5 네오,가솔린 2WD RE,가솔린,87855.0,2014,대구,940.0
38,제네시스,G90,3.3 T AWD,가솔린,127670.0,2019,경기,5569.0
39,기아,올 뉴 모닝,럭셔리,가솔린,42525.0,2013,경기,650.0
40,현대,아슬란,G300 모던 스페셜,가솔린,54677.0,2016,경기,1720.0
