,brand,km,name,type,price,year,info,location
0,시트로엥,82936.0,DS3,가솔린,1750.0,2012,1.6 레이싱,경기
1,험머,139982.0,H2,가솔린,4999.0,2008,6.2,경기
2,미니,5806.0,쿠퍼,가솔린,3050.0,2020,HIGH,서울
3,볼보,109227.0,V40 크로스컨트리,디젤,1630.0,2016,D3,경기
4,미니,6510.0,쿠퍼 클럽맨,가솔린,3399.0,2021,High,광주
5,미니,31695.0,쿠퍼 클럽맨,가솔린,2920.0,2020,기본형,경기
6,인피니티,145314.0,G37,가솔린,890.0,2009,쿠페,경기
7,미니,77874.0,쿠퍼 D 클럽맨,디젤,1930.0,2017,기본형,경기
8,인피니티,46249.0,Q30,가솔린,1850.0,2016,2.0 AWD,경기
9,BMW,117869.0,X5 (E70),가솔린,1230.0,2008,xDrive 30si,인천
10,미니,50895.0,쿠퍼,가솔린,2450.0,2019,5도어 기본형,서울
11,닷지,207688.0,듀랑고,가솔린,550.0,2007,4.7L,부산
12,도요타,60078.0,캠리 (XV70),가솔린+전기,2650.0,2018,2.5 XLE 하이브리드,서울
