,brand,name,type,km,year,accident,color,location,price,wd,trim
0,아우디,A7,가솔린,177390,2013,무사고,검정색,경기,1950,4WD,1
1,아우디,TT,가솔린,69640,2014,무사고,검정색,경기,2550,4WD,4
2,아우디,TT,가솔린,66992,2010,무사고,검정색,경기,1670,2WD,4
3,아우디,A3,가솔린,41369,2018,무사고,검정색,경기,1990,2WD,1
4,아우디,A6,디젤,86166,2018,무사고,검정색,서울,2720,4WD,2
5,아우디,A6,디젤,14928,2020,무사고,검정색,경기,5890,4WD,2
6,아우디,A7,디젤,139288,2015,무사고,검정색,경기,2250,4WD,1
7,아우디,A6,가솔린,184373,2008,무사고,검정색,서울,450,4WD,1
8,아우디,A6,디젤,133411,2016,무사고,검정색,경기,2090,4WD,1
9,아우디,A3,가솔린,26445,2018,무사고,검정색,경기,2250,2WD,1
10,아우디,S7,가솔린,145881,2014,무사고,검정색,대전,3390,4WD,1
11,아우디,A6,디젤,48187,2020,무사고,검정색,서울,5499,4WD,2
12,아우디,A7,디젤,108161,2015,무사고,검정색,서울,2650,4WD,1
13,아우디,A6,디젤,151131,2015,무사고,검정색,경기,1520,4WD,1
14,아우디,A6,디젤,41735,2018,무사고,검정색,경기,3250,2WD,2
15,아우디,A7,디젤,163852,2016,무사고,검정색,대구,3080,4WD,2
16,아우디,A7,디젤,119630,2014,무사고,검정색,경기,2470,4WD,1
17,아우디,A8,디젤,101459,2015,무사고,검정색,서울,4090,4WD,1
18,아우디,A8,디젤,173682,2015,무사고,검정색,인천,3450,4WD,1
19,아우디,A4,디젤,57363,2018,무사고,검정색,서울,2690,2WD,2
20,아우디,A6,가솔린,120132,2010,무사고,검정색,전북,699,4WD,1
21,아우디,A6,디젤,65447,2016,무사고,검정색,경기,2640,2WD,2
22,아우디,S7,가솔린,133619,2016,무사고,검정색,서울,4549,4WD,1
23,아우디,A6,디젤,46685,2016,무사고,검정색,경기,3120,4WD,1
24,아우디,A7,가솔린,80825,2015,무사고,검정색,경기,3300,4WD,1
25,아우디,A5,디젤,84752,2015,무사고,검정색,서울,2120,4WD,1
26,아우디,A7,가솔린,102201,2012,무사고,검정색,경기,2900,4WD,2
