,brand,name,info,type,km,year,accident,color,location,price,wd
2,BMW,5시리즈,520d,디젤,127020,2013,무사고,검정색,부산,1650,2WD
13,BMW,Z4,sDrive 35i,가솔린,176275,2011,무사고,검정색,경기,2040,2WD
16,BMW,X4,3.0 컴패티션 카본패키지,가솔린,11999,2021,무사고,검정색,경기,9200,2WD
19,BMW,5시리즈,520d 럭셔리 스페셜 에디션,디젤,63209,2018,무사고,검정색,경기,3870,2WD
24,BMW,7시리즈,740d,디젤,185894,2013,무사고,검정색,경기,2550,2WD
29,BMW,7시리즈,740Li xDrive M 스포츠,가솔린,29474,2020,무사고,검정색,대구,11299,4WD
41,BMW,X5,xDrive 50i,가솔린,146068,2011,무사고,검정색,경기,2730,4WD
43,BMW,3시리즈,320d M 스포츠 쉐도우,디젤,36659,2018,무사고,검정색,경기,3490,2WD
54,BMW,5시리즈,520d M 스포츠 플러스,디젤,65455,2017,무사고,검정색,경기,3870,2WD
63,BMW,X6,xDrive40i M 스포츠,가솔린,2189,2021,무사고,검정색,대구,196,4WD
64,BMW,X3,xDrive 20d 하이,디젤,144627,2012,무사고,검정색,서울,1550,4WD
65,BMW,4시리즈,428i M 스포츠 컨버터블,가솔린,61763,2016,무사고,검정색,서울,3320,2WD
80,BMW,5시리즈,530i xDrive M 스포츠 플러스,가솔린,67781,2018,무사고,검정색,서울,4350,4WD
82,BMW,5시리즈,550i xDrive,가솔린,96521,2013,무사고,검정색,서울,2900,4WD
85,BMW,X6,xDrive 30d,디젤,149389,2015,무사고,검정색,경기,3750,4WD
97,BMW,1시리즈,118d 스포츠 5도어,디젤,82950,2015,무사고,검정색,충남,1460,2WD
100,BMW,5시리즈,520d M 스포츠 플러스,디젤,37469,2018,무사고,검정색,경기,4600,2WD
103,BMW,7시리즈,750Li xDrive 프레스티지,가솔린,38195,2016,무사고,검정색,서울,7399,4WD
113,BMW,3시리즈,GT 320d,디젤,79576,2018,무사고,검정색,경기,3059,2WD
123,BMW,1시리즈,118d 스포츠 5도어,디젤,26965,2018,무사고,검정색,충남,2190,2WD
131,BMW,X6,xDrive30d M 스포츠,디젤,21647,2020,무사고,검정색,경기,9890,4WD
142,BMW,5시리즈,528i M 스포츠,가솔린,133827,2013,무사고,검정색,경기,1690,2WD
144,BMW,M5,M5 세단,가솔린,64978,2019,무사고,검정색,서울,8590,2WD
148,BMW,7시리즈,750Li xDrive 럭셔리,가솔린,130583,2016,무사고,검정색,충남,5200,4WD
156,BMW,7시리즈,730Ld,디젤,198191,2011,무사고,검정색,경기,1550,2WD
157,BMW,3시리즈,320d 스포츠,디젤,109091,2013,무사고,검정색,경기,1550,2WD
161,BMW,5시리즈,520d 럭셔리 플러스,디젤,95259,2018,무사고,검정색,경기,3690,2WD
170,BMW,6시리즈,640d xDrive M 스포츠 그란쿠페,디젤,96929,2017,무사고,검정색,서울,4470,4WD
187,BMW,3시리즈,320d 투어링 M 스포츠,디젤,135590,2013,무사고,검정색,광주,1830,2WD
198,BMW,3시리즈,320d M 스포츠,디젤,48587,2018,무사고,검정색,경기,3000,2WD
202,BMW,X5,xDrive 30d,디젤,64192,2012,무사고,검정색,경기,2550,4WD
