,brand,name,year,info,km,location,price,type,color
0,현대,그랜저 IG,17/02식,2.4 프리미엄,"87,787km",경기,"1,880",가솔린,갈색
1,현대,그랜저 IG,18/05식,3.0 익스클루시브,"29,893km",대구,"2,870",가솔린,갈색
2,현대,더 뉴 그랜드 스타렉스,18/06식(19년형),4WD 어반 9인승,"37,442km",서울,"2,960",디젤,갈색
3,현대,그랜저 IG,17/10식(18년형),3.0 익스클루시브,"45,019km",경기,"2,160",가솔린,갈색
4,쉐보레(GM대우),어메이징 뉴 크루즈,16/02식,1.4 터보 LTZ,"182,770km",광주,595,가솔린,갈색
5,기아,올 뉴 K7,16/12식(17년형),2.4 GDI 프레스티지,"36,201km",광주,"1,850",가솔린,갈색
6,쌍용,렉스턴 스포츠,18/10식(19년형),디젤 2.2 4WD,"57,907km",경기,"2,299",디젤,갈색
7,현대,그랜저 IG,18/05식(19년형),3.0 익스클루시브,"36,134km",광주,"2,800",가솔린,갈색
8,현대,더 뉴 i40 살룬,15/03식(16년형),1.7 VGT,"87,338km",경기,"1,150",디젤,갈색
9,현대,더 뉴 맥스크루즈,16/03식(17년형),가솔린 3.3 4WD,"84,410km",대구,"2,399",가솔린,갈색
10,현대,더 뉴 맥스크루즈,17/02식,가솔린 3.3 4WD,"114,744km",경기,"2,030",가솔린,갈색
11,현대,제네시스 DH,16/06식,G330 프리미엄 AWD,"129,887km",대구,"2,280",가솔린,갈색
12,현대,아슬란,16/04식(17년형),G300 익스클루시브,"156,773km",대구,"1,650",가솔린,갈색
13,쌍용,코란도 스포츠,15/01식,CX7 4WD,"136,833km",경기,"1,240",디젤,갈색
14,제네시스,더 뉴 G70,21/07식,가솔린 3.3T 2WD,176km,경기,"4,999",가솔린,갈색
15,쌍용,렉스턴 스포츠,18/08식,디젤 2.2 4WD,"37,545km",부산,"2,350",디젤,갈색
16,현대,제네시스 DH,16/01식,G330 프리미엄 AWD,"41,848km",경기,"2,690",가솔린,갈색
