,brand,name,year,info,km,location,price,type,color
0,기아,레이,13/03식,프레스티지,"122,765km",부산,720,가솔린,초록색
1,기아,레이,13/03식,럭셔리,"94,461km",경기,780,가솔린,초록색
2,쉐보레(GM대우),더 뉴 카마로,19/03식,SS 6.2 V8,"40,896km",부산,"3,750",가솔린,초록색
3,기아,더 뉴 레이,20/02식,밴,"24,220km",경기,"1,070",가솔린,초록색
4,기아,레이,14/07식(15년형),럭셔리,"48,852km",울산,920,가솔린,초록색
5,쉐보레(GM대우),더 뉴 카마로,19/12식,SS 6.2 V8,"67,414km",대구,"3,830",가솔린,초록색
6,기아,레이,15/12식(16년형),럭셔리,"11,370km",서울,978,가솔린,초록색
7,,,,,,,,,초록색
8,현대,그랜저 IG,17/08식(18년형),3.0 익스클루시브,"69,910km",대전,"2,600",가솔린,초록색
9,기아,레이,13/07식,프레스티지,"69,175km",경기,850,가솔린,초록색
10,현대,코나,18/03식,1.6 터보 4WD,"45,672km",충남,"2,270",가솔린,초록색
11,기아,올 뉴 모닝,12/03식,럭셔리,"75,394km",경기,620,가솔린,초록색
12,기아,더 뉴 레이,20/07식(21년형),시그니처,"18,975km",충북,"1,550",가솔린,초록색
13,기아,레이,15/09식(16년형),럭셔리,"40,840km",대구,"1,030",가솔린,초록색
14,기아,레이,12/08식(13년형),프레스티지,"74,845km",경기,820,가솔린,초록색
15,기아,레이,15/10식(16년형),디럭스,"33,415km",경기,890,가솔린,초록색
16,기아,더 뉴 레이,19/12식(20년형),밴,"7,725km",경기,"1,159",가솔린,초록색
17,제네시스,G80 (RG3),20/04식(21년형),가솔린 3.5 터보 AWD,"22,002km",경기,"6,990",가솔린,초록색
18,기아,레이,12/02식,디럭스 스페셜,"73,826km",서울,690,가솔린,초록색
19,기아,더 뉴 레이,18/01식,디럭스,"52,091km",충남,"1,030",가솔린,초록색
20,쉐보레(GM대우),캡티바,12/11식,2WD LT,"155,372km",경기,650,디젤,초록색
21,기아,더 뉴 레이,18/07식,럭셔리,"34,524km",경기,"1,220",가솔린,초록색
22,제네시스,GV80,20/03식,3.0 디젤 AWD,"21,775km",경기,"6,790",디젤,초록색
23,기아,레이,14/04식,프레스티지,"67,879km",경기,970,가솔린,초록색
24,쉐보레(GM대우),올란도,17/08식(18년형),LPG LTZ,"75,026km",경기,"1,520",LPG(일반인 구입),초록색
25,기아,레이,12/01식,프레스티지,"114,011km",광주,750,가솔린,초록색
26,기아,올 뉴 모닝,13/07식,럭셔리,"80,202km",경기,550,가솔린,초록색
27,기아,카니발 4세대,20/09식(21년형),9인승 시그니처,"18,239km",경기,"4,120",디젤,초록색
28,제네시스,G70,18/11식,2.0T,"53,143km",충북,"3,090",가솔린,초록색
29,기아,레이,12/01식,프레스티지,"78,102km",울산,815,가솔린,초록색
