,제조사,모델명,옵션명,연식,주행거리,연료,색상,가격
0,아우디,A5,2.0TDI콰트로 다이나믹스포츠백,2013,"98,153Km",경유,검정,"1,680"
1,쌍용,G4렉스턴,디젤 2.2 4WD 마제스티,2018 ,"59,582Km",경유,검정,"2,600"
2,기아,올뉴K7,3.3GDI 노블레스 스페셜,2016,"152,530Km",휘발유,검정,"1,380"
3,벤츠,EQC,EQC400 4MATIC ,2020,"10,334Km",전기(EV),검정,"6,530"
4,현대,쏘나타뉴라이즈,2.0모던 ,2018,"115,607Km",휘발유,검정,"1,560"
5,르노삼성,SM6,LPe렌터카 PE,2019,"103,585Km",LPG,검정,"1,280"
6,기아,올뉴카니발,9인승 프레스티지,2018,"72,127Km",경유,검정,"2,180"
7,현대,그랜저HG,가솔린 HG240 모던,2014,"86,589Km",휘발유,검정,"1,320"
8,기아,올뉴K7,3.3GDI 노블레스,2016,"113,426Km",휘발유,검정,"1,920"
9,기아,스포티지4세대(QL),디젤1.7 2WD 트렌디,2018,"33,378Km",경유,검정,"1,619"
10,현대,그랜저IG,3.0가솔린 익스클루시브,2018,"91,000Km",휘발유,검정,"1,810"
11,기아,스포티지4세대(QL),디젤1.7 2WD 노블레스,2017,"130,000Km",경유,검정,"1,289"
12,기아,스포티지4세대(QL),디젤1.7 2WD 트렌디,2018,"93,000Km",경유,검정,"1,419"
13,쉐보레/대우,올뉴말리부,가솔린2.0터보퍼펙트블랙 ,2017,"95,142Km",휘발유,검정,"1,570"
14,기아,더뉴모하비,3.0 4WD VIP,2018,"60,616Km",경유,검정,"3,040"
15,쉐보레/대우,크루즈,1.4LTZ+퍼펙트블랙 ,2016,"85,871Km",휘발유,검정,820
16,제네시스,G80(1세대),3.3GDI AWD 럭셔리,2017,"131,947Km",휘발유,검정,"2,280"
17,쉐보레/대우,트랙스,1.4 퍼펙트블랙 ,2016,"41,851Km",휘발유,검정,"1,370"
18,기아,쏘렌토 4세대,2.2디젤 4WD 시그니처,2021,"6,639Km",경유,검정,"3,680"
19,쌍용,렉스턴스포츠,디젤2.2 4WD 노블레스,2018 ,"79,000Km",경유,검정,"2,380"
20,기아,올뉴K7,3.0GDI 프레스티지,2018,"27,452Km",휘발유,검정,"1,720"
21,르노삼성,뉴SM5플래티넘,가솔린 2.0 RE ,2014,"159,000Km",휘발유,검정,460
22,기아,올뉴모닝(JA),프레스티지 ,2017,"19,366Km",휘발유,검정,"1,000"
23,쉐보레/대우,더뉴트랙스,1.4 LT 코어,2020,"9,000Km",휘발유,검정,"1,780"
24,현대,그랜저HG,가솔린 HG240 모던,2013,"139,630Km",휘발유,검정,"1,070"
25,현대,뉴투싼ix(LM),디젤(e-VGT)2WD 모던,2014,"140,000Km",경유,검정,920
26,토요타,캠리(6세대),XLE ,2012 ,"113,011Km",휘발유,검정,770
27,현대,엑센트(신형),1.6GDI탑 ,2012,"110,000Km",휘발유,검정,590
28,쌍용,렉스턴W,2.0 4WD RX7 프레스티지,2015,"103,187Km",경유,검정,"1,260"
29,기아,더뉴K9(1세대),3.3GDI 이그제큐티브 ,2016,"148,531Km",휘발유,검정,"1,720"
30,쉐보레/대우,크루즈,디젤2.0LTZ+ ,2013,"142,889Km",경유,검정,510
31,기아,올뉴K7,2.4GDI 프레스티지,2016,"99,736Km",휘발유,검정,"1,450"
32,기아,K5 2세대,1.7디젤 MX 프레스티지,2016,"106,042Km",경유,검정,"1,330"
33,현대,그랜드스타렉스,12인승왜건 스마트,2018,"42,458Km",경유,검정,"1,660"
34,현대,그랜저IG,2.4가솔린 프리미엄,2019 ,"27,764Km",휘발유,검정,"2,640"
35,현대,아반떼AD,1.6GDi 스마트 스페셜,2018,"64,446Km",휘발유,검정,"1,340"
36,쌍용,코란도C,클래시2WD 럭셔리,2012,"132,615Km",경유,검정,590
37,벤츠,GLC클래스(X253),AMG GLC43 4MATIC ,2017 ,"24,000Km",휘발유,검정,"5,300"
38,제네시스,G80(2세대),3.5터보 AWD ,2021,"16,085Km",휘발유,검정,"7,140"
39,벤츠,E클래스(W213),E220d 4MATIC 익스클루시브 ,2018,"44,759Km",경유,검정,"4,740"
40,기아,K5 2세대,1.7디젤 MX 프레스티지,2016,"106,042Km",경유,검정,"1,330"
41,현대,그랜드스타렉스,12인승왜건 스마트,2018,"42,458Km",경유,검정,"1,660"
42,현대,그랜저IG,2.4가솔린 프리미엄,2019 ,"27,764Km",휘발유,검정,"2,640"
43,현대,아반떼AD,1.6GDi 스마트 스페셜,2018,"64,446Km",휘발유,검정,"1,340"
44,쌍용,코란도C,클래시2WD 럭셔리,2012,"132,615Km",경유,검정,590
45,벤츠,GLC클래스(X253),AMG GLC43 4MATIC ,2017 ,"24,000Km",휘발유,검정,"5,300"
46,제네시스,G80(2세대),3.5터보 AWD ,2021,"16,085Km",휘발유,검정,"7,140"
47,벤츠,E클래스(W213),E220d 4MATIC 익스클루시브 ,2018,"44,759Km",경유,검정,"4,740"
48,현대,쏘나타뉴라이즈,2.0 CVVL 스마트 초이스,2019,"130,358Km",휘발유,검정,"1,420"
49,현대,싼타페더프라임,디젤2.0 2WD 익스클루시브,2017,"79,457Km",경유,검정,"2,020"
50,기아,올뉴카니발,가솔린 7인승 리무진 프레지던트,2017,"111,152Km",휘발유,검정,"2,020"
51,현대,LF쏘나타,2.0 스타일 스페셜,2015,"139,578Km",휘발유,검정,800
52,쉐보레/대우,더넥스트스파크,그래피티에디션 ,2018,"39,950Km",휘발유,검정,780
53,쌍용,티볼리에어,디젤 4WD RX,2016,"67,986Km",경유,검정,"1,500"
54,현대,더뉴맥스크루즈,2.2 4WD 익스클루시브,2017,"93,150Km",경유,검정,"1,820"
55,현대,제네시스DH,G330프리미엄AWD ,2016,"124,014Km",휘발유,검정,"2,110"
56,쉐보레/대우,임팔라,2.5 LT,2016,"61,115Km",휘발유,검정,"1,350"
57,현대,쏘나타뉴라이즈,1.6 터보 스마트,2018,"85,513Km",휘발유,검정,"1,560"
58,기아,올뉴K7,2.4GDI 리미티드,2017,"78,910Km",휘발유,검정,"1,780"
59,푸조,3008(2세대),1.5BlueHDi GTLine,2019,"39,327Km",경유,검정,"2,920"
60,제네시스,G70,2.2D AWD 슈프림,2018,"55,425Km",경유,검정,"3,240"
61,지프,그랜드체로키(4세대),3.0디젤 오버랜드서밋,2018,"37,503Km",경유,검정,"4,730"
62,쉐보레/대우,올뉴말리부,가솔린1.5터보LTZ ,2017,"55,553Km",휘발유,검정,"1,500"
63,캐딜락,CTS(3세대),2.0T 프리미엄,2015,"141,389Km",휘발유,검정,"1,680"
64,기아,올뉴카니발,9인승 노블레스,2015,"65,457Km",경유,검정,"2,100"
65,현대,제네시스DH,G330프리미엄 ,2015,"145,075Km",휘발유,검정,"1,810"
66,현대,에쿠스(신형),VS380 익스클루시브,2013,"78,469Km",휘발유,검정,"2,640"
67,현대,제네시스DH,G330모던AWD ,2014,"59,526Km",휘발유,검정,"2,440"
68,현대,그랜저IG,3.0가솔린 익스클루시브,2017,"103,746Km",휘발유,검정,"1,820"
69,벤츠,M클래스(W163/164),ML350블루텍4MATIC W166,2015,"98,630Km",경유,검정,"3,250"
70,르노삼성,QM6,가솔린2WD RE시그니처,2019,"25,349Km",휘발유,검정,"2,340"
71,르노삼성,SM6,2.0 GDe SE,2016,"150,000Km",휘발유,검정,829
72,기아,더K9(2세대),3.8GDI AWD 그랜드플래티넘,2019,"71,019Km",휘발유,검정,"4,340"
73,기아,카니발R,그랜드카니발하이리무진GLX 프리미엄,2012,"125,892Km",경유,검정,"1,229"
74,현대,그랜저HG,LPG HG300 모던,2014,"95,000Km",LPG,검정,"1,050"
75,현대,그랜저IG,3.0가솔린 익스클루시브,2018,"84,871Km",휘발유,검정,"1,960"
76,현대,올뉴투싼(TL),디젤1.7 2WD 모던,2018,"52,659Km",경유,검정,"1,880"
77,기아,더뉴쏘렌토,디젤2.0 2WD 노블레스 스페셜,2018,"45,888Km",경유,검정,"2,720"
78,기아,K7프리미어 하이브리드,2.4하이브리드 노블레스,2020,"44,329Km",휘발유+전기,검정,"3,600"
79,현대,쏘나타뉴라이즈,2.0 CVVL 스마트,2018,"49,948Km",휘발유,검정,"1,640"
80,현대,싼타페더프라임,디젤2.0 2WD 밸류플러스,2018,"92,104Km",경유,검정,"2,070"
81,현대,그랜저IG,3.0가솔린 익스클루시브,2018,"55,214Km",휘발유,검정,"2,390"
82,현대,쏘나타뉴라이즈,1.6 터보 스마트,2018,"47,666Km",휘발유,검정,"1,780"
83,기아,K5 2세대,1.7디젤 MX 디럭스,2016,"136,731Km",경유,검정,"1,080"
84,쉐보레/대우,더뉴말리부,E-터보 프리미어퍼펙트블랙,2020,"26,714Km",휘발유,검정,"2,400"
85,BMW,3시리즈(E90),328i컨버터블 ,2010,"113,060Km",휘발유,검정,"1,270"
86,현대,제네시스DH,G330모던AWD ,2014,"158,202Km",휘발유,검정,"1,740"
87,현대,그랜저IG,3.0가솔린 모던 베이직,2019,"49,733Km",휘발유,검정,"1,870"
88,기아,올뉴K7,2.2디젤 프레스티지,2016,"53,760Km",경유,검정,"1,770"
