,brand,name,year,info,km,location,price,type,color
0,현대,올 뉴 투싼,15/05식(16년형),디젤 1.7 2WD,"57,420km",서울,"1,660",디젤,주황색
1,르노삼성,QM3,14/04식,RE,"115,770km",경기,799,디젤,주황색
2,르노삼성,SM3 네오,14/10식(15년형),SE 플러스,"32,548km",부산,770,가솔린,주황색
3,쌍용,베리 뉴 티볼리,19/09식(20년형),가솔린 1.5 2WD,"55,400km",경기,"1,550",가솔린,주황색
4,르노삼성,QM3,16/02식,RE,"15,435km",서울,"1,190",디젤,주황색
5,현대,싼타페 TM,18/03식(19년형),디젤 2.2 4WD,"24,196km",서울,"2,990",디젤,주황색
6,현대,벨로스터,13/02식,DCT팩,"160,985km",충남,666,가솔린,주황색
7,현대,코나,17/11식(18년형),1.6 터보 2WD,"46,477km",광주,"1,810",가솔린,주황색
8,르노삼성,QM3,17/06식,RE,"32,072km",울산,"1,350",디젤,주황색
9,쉐보레(GM대우),아베오 해치백,15/02식,1.4 터보 RS,"66,248km",서울,730,가솔린,주황색
10,쉐보레(GM대우),더 뉴 스파크,19/01식,프리미어,"40,215km",경기,849,가솔린,주황색
11,기아,쏘울,09/09식(10년형),1.6 U,"103,713km",광주,480,가솔린,주황색
12,쉐보레(GM대우),말리부,15/02식,2.0 LT 디럭스팩,"42,184km",인천,"1,030",가솔린,주황색
13,,,,,,,,,주황색
14,기아,올 뉴 K3,19/08식(20년형),5도어 GT 플러스,"42,061km",서울,"2,000",가솔린,주황색
15,기아,셀토스,19/12식(20년형),가솔린 1.6 터보 2WD,"9,551km",경기,"2,500",가솔린,주황색
16,현대,아반떼 (CN7),20/05식(21년형),1.6,"11,083km",경기,"2,350",가솔린,주황색
17,제네시스,G90,21/07식,3.3 T AWD,28km,광주,"9,550",가솔린,주황색
18,기아,스포티지 R,13/01식,디젤 2WD TLX,"143,393km",부산,870,디젤,주황색
19,기아,셀토스,20/06식,가솔린 1.6 터보 4WD,"21,756km",서울,"2,620",가솔린,주황색
20,르노삼성,QM3,16/07식,RE,"93,010km",충남,990,디젤,주황색
21,현대,싼타페 TM,18/03식(19년형),디젤 2.2 4WD,"52,947km",경기,"2,990",디젤,주황색
22,르노삼성,SM6,19/08식,2.0 GDe LE,"16,244km",서울,"1,830",가솔린,주황색
23,쌍용,뷰티풀 코란도,19/07식,디젤 1.6 2WD 딜라이트 플러스,"3,445km",경기,"1,990",디젤,주황색
24,현대,뉴 투싼 ix,14/06식,디젤(e-VGT) 2WD,"135,213km",경기,"1,050",디젤,주황색
25,기아,올 뉴 모닝 (JA),17/09식,터보 프레스티지,"54,472km",부산,"1,050",가솔린,주황색
26,현대,뉴 투싼 ix,14/01식,디젤(e-VGT) 2WD,"149,275km",전북,880,디젤,주황색
27,쌍용,코란도 C,13/03식,시크 2WD,"174,742km",전북,490,디젤,주황색
28,현대,벨로스터,11/11식(12년형),익스트림,"92,476km",경기,750,가솔린,주황색
29,기아,쏘울,10/12식(11년형),1.6 2U,"127,642km",울산,540,가솔린,주황색
30,르노삼성,QM3,15/11식,RE,"120,141km",인천,830,디젤,주황색
31,르노삼성,뉴QM3,17/10식(18년형),RE,"50,349km",경기,"9,999",디젤,주황색
32,기아,올 뉴 K3,19/09식(20년형),5도어 GT 베이직,"37,515km",광주,"1,880",가솔린,주황색
33,기아,올 뉴 모닝 (JA),17/07식,터보 프레스티지,"49,671km",부산,"1,020",가솔린,주황색
34,현대,코나,17/10식(18년형),디젤 1.6 2WD,"48,669km",부산,"1,650",디젤,주황색
35,르노삼성,QM3,14/11식(15년형),RE,"72,368km",부산,880,디젤,주황색
36,쌍용,티볼리 아머,18/10식(19년형),디젤 기어 플러스 2WD,"38,493km",대전,"1,650",디젤,주황색
37,쌍용,티볼리 에어,19/03식,가솔린 1.6 RX 2WD,"16,260km",경기,"1,650",가솔린,주황색
38,르노삼성,QM3,15/05식,RE,"115,659km",경기,790,디젤,주황색
39,기아,모하비,08/01식,2WD KV300,"81,818km",경기,"1,360",디젤,주황색
40,현대,LF 쏘나타,15/07식,2.0 터보 익스클루시브,"112,399km",부산,"1,450",가솔린,주황색
