,brand,name,year,info,km,location,price,type,color
0,쉐보레(GM대우),스파크,13/03식,LT,"45,240km",대전,529,가솔린,분홍색
1,쉐보레(GM대우),더 넥스트 스파크,18/06식,LT,"33,165km",울산,860,가솔린,분홍색
2,쉐보레(GM대우),스파크,12/07식,LT,"50,867km",광주,450,가솔린,분홍색
3,쉐보레(GM대우),마티즈 크리에이티브,10/08식(11년형),그루브,"54,691km",광주,360,가솔린,분홍색
4,쉐보레(GM대우),스파크,11/10식(12년형),LT,"30,739km",서울,430,가솔린,분홍색
5,쉐보레(GM대우),스파크,12/11식,LPG LS,"88,431km",경기,439,LPG(일반인 구입),분홍색
6,쉐보레(GM대우),스파크,12/04식,LS,"174,815km",울산,250,가솔린,분홍색
7,쉐보레(GM대우),스파크,12/09식,LS,"55,151km",광주,440,가솔린,분홍색
8,쉐보레(GM대우),스파크,11/04식(12년형),LS,"54,507km",충남,400,가솔린,분홍색
9,쉐보레(GM대우),스파크,13/04식,LT,"72,192km",경기,400,가솔린,분홍색
10,쉐보레(GM대우),스파크,11/06식(12년형),LT,"140,136km",대구,370,가솔린,분홍색
11,쉐보레(GM대우),마티즈 크리에이티브,10/10식(11년형),그루브,"38,386km",경기,490,가솔린,분홍색
12,쉐보레(GM대우),마티즈 크리에이티브,10/10식(11년형),재즈,"58,510km",광주,315,가솔린,분홍색
13,쉐보레(GM대우),스파크,13/02식,LT,"41,960km",서울,530,가솔린,분홍색
14,쉐보레(GM대우),스파크,12/04식,타투 에디션,"90,154km",경기,390,가솔린,분홍색
15,쉐보레(GM대우),스파크,12/07식,LS,"105,238km",충남,377,가솔린,분홍색
16,쉐보레(GM대우),더 넥스트 스파크,17/08식(18년형),LT,"37,458km",광주,690,가솔린,분홍색
17,쉐보레(GM대우),마티즈 크리에이티브,11/01식,재즈,"149,598km",부산,280,가솔린,분홍색
18,쉐보레(GM대우),스파크,12/01식,LS,"28,254km",부산,450,가솔린,분홍색
19,쉐보레(GM대우),스파크,12/05식,LT,"48,819km",경기,430,가솔린,분홍색
20,쉐보레(GM대우),스파크,11/04식(12년형),LT,"130,105km",부산,310,가솔린,분홍색
21,,,,,,,,,분홍색
22,쉐보레(GM대우),스파크,11/04식(12년형),LS,"130,161km",부산,290,가솔린,분홍색
23,쉐보레(GM대우),스파크,12/07식,LS,"114,456km",대구,390,가솔린,분홍색
24,쉐보레(GM대우),스파크,11/06식(12년형),LS,"75,940km",경기,310,가솔린,분홍색
25,쉐보레(GM대우),더 넥스트 스파크,18/02식,LTZ,"62,495km",경기,750,가솔린,분홍색
26,쉐보레(GM대우),스파크,12/08식,LS,"93,989km",경기,350,가솔린,분홍색
27,쉐보레(GM대우),스파크,12/08식,LT,"65,124km",부산,499,가솔린,분홍색
28,쉐보레(GM대우),마티즈 크리에이티브,10/09식(11년형),팝,"43,426km",경기,300,가솔린,분홍색
29,쉐보레(GM대우),스파크,12/02식,LT,"63,664km",경기,390,가솔린,분홍색
30,쉐보레(GM대우),스파크,13/03식,LT,"86,996km",경기,439,가솔린,분홍색
31,쉐보레(GM대우),스파크,11/04식(12년형),LT,"56,238km",대구,450,가솔린,분홍색
32,쉐보레(GM대우),더 뉴 스파크,18/11식(19년형),프리미어,"29,866km",대구,990,가솔린,분홍색
33,쉐보레(GM대우),더 넥스트 스파크,18/03식,LTZ,"23,225km",경기,820,가솔린,분홍색
34,쉐보레(GM대우),스파크,12/01식,LT,"84,449km",경기,470,가솔린,분홍색
35,쉐보레(GM대우),스파크,12/07식,LS,"85,497km",충북,450,가솔린,분홍색
36,쉐보레(GM대우),스파크,11/06식(12년형),LS,"81,225km",경기,330,가솔린,분홍색
37,쉐보레(GM대우),마티즈 크리에이티브,10/09식(11년형),그루브,"30,153km",서울,420,가솔린,분홍색
38,쉐보레(GM대우),더 넥스트 스파크,18/04식,LT,"39,158km",부산,790,가솔린,분홍색
39,쉐보레(GM대우),스파크,12/04식,LS,"34,977km",충북,450,가솔린,분홍색
