,brand,name,year,info,km,location,price,type,color
0,기아,레이,13/12식(14년형),터보 프레스티지,"44,320km",경기,"1,030",가솔린,빨간색
1,제네시스,G80,18/07식,3.3 GDI AWD,"20,040km",서울,"4,060",가솔린,빨간색
2,르노삼성,QM3,15/09식,RE 시그니처,"29,167km",서울,"1,180",디젤,빨간색
3,기아,올 뉴 모닝 (JA),17/10식,프레스티지,"39,633km",대전,950,가솔린,빨간색
4,현대,제네시스 DH,14/05식(15년형),G330 프리미엄 AWD,"30,987km",인천,"2,500",가솔린,빨간색
5,쌍용,베리 뉴 티볼리,20/06식(21년형),가솔린 1.5 2WD,"5,331km",부산,"1,599",가솔린,빨간색
6,기아,올 뉴 K3,19/03식,노블레스,"11,018km",서울,"1,890",가솔린,빨간색
7,쉐보레(GM대우),더 뉴 말리부,19/04식,1.3 터보 프리미어,"30,624km",인천,"2,020",가솔린,빨간색
8,쌍용,렉스턴 스포츠,20/12식(21년형),디젤 2.2 4WD,"3,585km",경기,"2,850",디젤,빨간색
9,현대,싼타페 TM,19/04식,디젤 2.2 4WD,"11,847km",광주,"3,320",디젤,빨간색
10,기아,K3 쿱,14/04식(15년형),1.6 터보 노블레스,"143,476km",충남,619,가솔린,빨간색
11,기아,스팅어,19/05식,2.0 터보 2WD,"16,509km",서울,"3,020",가솔린,빨간색
12,기아,카니발 R,11/11식,그랜드 카니발 GX,"141,897km",경기,550,디젤,빨간색
13,현대,벨로스터 (JS),18/03식,1.6 터보 스포츠,"29,675km",경기,"1,899",가솔린,빨간색
14,기아,K3 쿱,14/02식,1.6 터보 프레스티지,"83,632km",대구,820,가솔린,빨간색
15,기아,뉴모닝,08/03식,SLX,"60,691km",충남,299,가솔린,빨간색
16,현대,아반떼 AD,15/12식(16년형),1.6 GDI 모던,"79,101km",경기,"1,150",가솔린,빨간색
17,르노삼성,QM3,17/03식,RE 시그니처,"55,022km",부산,"1,150",디젤,빨간색
