,brand,name,year,info,km,location,price,type,color
0,기아,뉴모닝,09/07식(10년형),LX,"87,148km",충남,279,가솔린,하늘색
1,기아,레이,13/04식,럭셔리,"111,089km",경기,810,가솔린,하늘색
2,쉐보레(GM대우),더 뉴 스파크,20/07식(21년형),프리미어,"11,795km",대구,"1,160",가솔린,하늘색
3,기아,뉴모닝,08/02식,SLX 뷰티,"131,620km",경기,199,가솔린,하늘색
4,기아,더 뉴 레이,18/04식,럭셔리,"42,880km",인천,"1,150",가솔린,하늘색
5,현대,벨로스터 (JS),19/09식,2.0 N,"20,024km",경기,"2,650",가솔린,하늘색
6,기아,레이,13/10식(14년형),프레스티지,"95,937km",서울,800,가솔린,하늘색
7,기아,레이,14/01식,터보 프레스티지,"120,563km",대구,790,가솔린,하늘색
8,기아,레이,17/03식,럭셔리,"67,778km",충남,999,가솔린,하늘색
9,기아,레이,13/05식,럭셔리,"148,245km",충남,620,가솔린,하늘색
10,기아,올 뉴 모닝,14/05식(15년형),디럭스 트렌디,"72,229km",부산,600,가솔린,하늘색
11,기아,카니발 4세대,20/11식(21년형),가솔린 7인승 시그니처,"3,148km",경기,"4,720",가솔린,하늘색
12,기아,레이,14/07식(15년형),디럭스,"79,557km",경기,790,가솔린,하늘색
13,,,,,,,,,하늘색
14,쉐보레(GM대우),마티즈 크리에이티브,10/04식,재즈,"101,986km",부산,250,가솔린,하늘색
15,기아,더 뉴 레이,18/06식,밴,"50,984km",대구,970,가솔린,하늘색
16,기아,레이,12/01식,프레스티지,"29,690km",광주,790,가솔린,하늘색
17,기아,쏘울,09/09식(10년형),1.6 2U,"20,404km",서울,810,가솔린,하늘색
18,기아,카니발 4세대,21/02식,9인승 노블레스,"6,205km",서울,"3,789",디젤,하늘색
19,현대,코나,18/02식,1.6 터보 2WD,"96,312km",인천,"1,630",가솔린,하늘색
20,기아,레이,16/03식,럭셔리,"107,695km",충남,780,가솔린,하늘색
21,쉐보레(GM대우),마티즈 크리에이티브,09/12식(10년형),재즈,"113,269km",경기,249,가솔린,하늘색
22,기아,레이,13/12식(14년형),EV,"75,492km",충남,690,전기,하늘색
23,쉐보레(GM대우),스파크,14/12식,LT,"92,002km",광주,500,가솔린,하늘색
24,기아,레이,12/10식(13년형),밴,"121,747km",전북,480,가솔린,하늘색
25,기아,레이,14/09식(15년형),터보 프레스티지,"71,068km",서울,920,가솔린,하늘색
