,brand,name,year,info,km,location,price,type,color
0,현대,그랜드 스타렉스,15/04식,어린이보호차,"53,485km",대구,"1,350",디젤,노란색
1,현대,그랜드 스타렉스,15/12식(16년형),4WD 어린이보호차,"89,772km",대구,"1,350",디젤,노란색
2,쉐보레(GM대우),스파크,14/12식,LT,"110,974km",경기,530,가솔린,노란색
3,현대,그랜드 스타렉스,10/08식(11년형),어린이보호차,"130,115km",경기,890,디젤,노란색
4,현대,그랜드 스타렉스,16/10식(17년형),어린이보호차,"82,757km",경기,"1,520",디젤,노란색
5,기아,스토닉,18/01식,디젤 1.6,"50,995km",광주,"1,389",디젤,노란색
6,현대,더 뉴 그랜드 스타렉스,19/02식,어린이보호차 LPi,"34,951km",경기,"2,080",LPG(일반인 구입),노란색
7,쉐보레(GM대우),더 넥스트 스파크,16/11식(17년형),LTZ,"47,026km",전북,790,가솔린,노란색
8,현대,그랜드 스타렉스,14/10식(15년형),어린이보호차,"102,042km",인천,"1,460",디젤,노란색
9,기아,스토닉,18/03식,디젤 1.6,"48,480km",충남,"1,389",디젤,노란색
10,현대,더 뉴 그랜드 스타렉스,20/05식,어린이보호차 LPi,"18,320km",경기,"2,380",LPG(일반인 구입),노란색
11,쉐보레(GM대우),스파크,14/07식,스파크 S,"89,642km",경기,470,가솔린,노란색
12,현대,그랜드 스타렉스,13/05식(14년형),어린이보호차,"120,514km",경기,800,디젤,노란색
13,현대,그랜드 스타렉스,12/02식,어린이보호차,"57,099km",경기,850,디젤,노란색
14,현대,그랜드 스타렉스,14/09식(15년형),어린이보호차,"126,722km",경기,"1,190",디젤,노란색
15,현대,그랜드 스타렉스,16/05식,어린이보호차,"96,273km",경기,"1,510",디젤,노란색
16,현대,더 뉴 벨로스터,15/04식,1.6 터보 디 스펙,"35,150km",충남,"1,299",가솔린,노란색
17,기아,그랜드 카니발,08/11식(09년형),GX,"131,311km",전북,299,디젤,노란색
