,brand,name,info,type,km,year,accident,color,location,price,wd
11813,기아,K5,2.0 럭셔리,가솔린,110575,2011,무사고,검정색,인천,650,2WD
11815,기아,모하비,가솔린 4WD KV460,가솔린,213823,2011,무사고,검정색,대구,1550,4WD
11817,기아,K5,럭셔리,가솔린,106819,2014,무사고,검정색,인천,940,2WD
11818,기아,K7,3.3 GDI 노블레스,가솔린,110857,2016,무사고,검정색,경기,1780,2WD
11819,기아,스포티지,디젤 1.7 2WD 노블레스,디젤,129624,2018,무사고,검정색,경기,2100,2WD
11822,기아,K5,2.0,가솔린,29151,2019,무사고,검정색,충북,1890,2WD
11826,기아,카니발,가솔린 7인승 리무진,가솔린,34516,2019,무사고,검정색,대구,3430,2WD
11827,기아,카니발,9인승 노블레스 스페셜,디젤,72175,2018,무사고,검정색,인천,2620,2WD
11828,기아,카니발,그랜드 카니발 GLX,디젤,104368,2013,무사고,검정색,경기,920,2WD
11830,기아,쏘렌토,디젤 2.0 4WD,디젤,93132,2016,무사고,검정색,광주,2180,4WD
11831,기아,K7,3.0 GDI 프레스티지,가솔린,50938,2015,무사고,검정색,서울,1590,2WD
11835,기아,레이,프레스티지,가솔린,39097,2018,무사고,검정색,경기,1350,2WD
11842,기아,모하비,디젤 3.0 4WD,디젤,43813,2018,무사고,검정색,경기,3580,4WD
11847,기아,카니발,9인승 프레스티지,디젤,39004,2019,무사고,검정색,서울,2850,2WD
11848,기아,모하비,4WD KV300,디젤,51482,2014,무사고,검정색,서울,2350,4WD
11855,기아,K9,3.3 GDI 프레스티지,가솔린,134112,2017,무사고,검정색,대구,1899,2WD
11859,기아,K7,3.0 LPI 럭셔리 (렌터카),LPG(일반인 구입),61709,2017,무사고,검정색,광주,1870,2WD
11860,기아,쏘렌토,디젤 2.0 2WD,디젤,181517,2014,무사고,검정색,광주,1070,2WD
11862,기아,K7,2.2 디젤 노블레스,디젤,58018,2020,무사고,검정색,광주,3080,2WD
11865,기아,카니발,9인승 하이리무진,디젤,106003,2017,무사고,검정색,서울,2700,2WD
11875,기아,포르테,1.6 CVVT 프리미엄 Si,가솔린,35638,2010,무사고,검정색,경기,550,2WD
11879,기아,K9,3.8 GDI AWD,가솔린,13457,2021,무사고,검정색,경기,4830,AWD
11883,기아,쏘렌토,디젤 2.2 2WD,디젤,61468,2016,무사고,검정색,대구,2430,2WD
11894,기아,카니발,9인승 하이리무진,디젤,123923,2018,무사고,검정색,서울,3050,2WD
