,brand,name,info,type,km,year,accident,color,location,price,wd
28,랜드로버,디스커버리,2.0 TD4 HSE 럭셔리,디젤,88484,2018,무사고,검정색,경기,3080,2WD
32,랜드로버,디스커버리,2.0 TD4 SE (150마력),디젤,43974,2018,무사고,검정색,경기,3180,2WD
45,랜드로버,레인지로버,4.4 SDV8 Vogue SE 디젤,디젤,63450,2016,무사고,검정색,경기,7490,2WD
57,랜드로버,디스커버리,D180 SE,디젤,8075,2020,무사고,검정색,경기,5979,2WD
68,랜드로버,레인지로버,4.4 SDV8 Vogue SE 디젤,디젤,91479,2016,무사고,검정색,경기,6500,2WD
87,랜드로버,레인지로버,3.7 TDV8 Vogue,디젤,227429,2010,무사고,검정색,경기,2620,2WD
154,랜드로버,레인지로버,4.4 SDV8 AB LWB 디젤,디젤,34947,2017,무사고,검정색,부산,10900,2WD
166,랜드로버,레인지로버,4.4 SDV8 AB LWB 디젤,디젤,27116,2016,무사고,검정색,서울,10350,2WD
181,랜드로버,레인지로버,3.0 SDV6 HSE 다이나믹,디젤,77148,2016,무사고,검정색,경기,6100,2WD
213,랜드로버,레인지로버,3.0 D300 R-다이나믹 SE,디젤,66540,2018,무사고,검정색,부산,6390,2WD
235,랜드로버,레인지로버,2.0 TD4 HSE,디젤,96163,2018,무사고,검정색,경기,3250,2WD
270,랜드로버,디스커버리,2.0 TD4 HSE 럭셔리,디젤,115692,2017,무사고,검정색,전북,2650,2WD
292,랜드로버,레인지로버,4.4 SDV8 AB LWB 디젤,디젤,118857,2014,무사고,검정색,경기,7550,2WD
341,랜드로버,레인지로버,2.2 SD4 퓨어,디젤,96895,2015,무사고,검정색,부산,2790,2WD
342,랜드로버,레인지로버,5.0 SC AB,가솔린,96693,2014,무사고,검정색,부산,7600,2WD
406,랜드로버,레인지로버,2.0 TD4 HSE,디젤,65704,2017,무사고,검정색,경기,3200,2WD
464,랜드로버,레인지로버,4.4 SDV8 AB 디젤,디젤,163295,2014,무사고,검정색,광주,6300,2WD
469,랜드로버,레인지로버,3.0 SDV6 HSE 다이나믹,디젤,86021,2015,무사고,검정색,경기,5700,2WD
473,랜드로버,레인지로버,3.0 SDV6 AB 다이나믹,디젤,82780,2015,무사고,검정색,경기,5689,2WD
535,랜드로버,레인지로버,2.0 Si4 다이나믹 쿠페,가솔린,113601,2012,무사고,검정색,경기,2250,2WD
536,랜드로버,레인지로버,3.0 D300 R-다이나믹 HSE,디젤,25465,2018,무사고,검정색,경기,7650,2WD
574,랜드로버,레인지로버,4.4 SDV8 AB LWB 디젤,디젤,66509,2017,무사고,검정색,서울,10500,2WD
596,랜드로버,디스커버리,2.0 TD4 HSE 럭셔리,디젤,34639,2018,무사고,검정색,경기,3650,2WD
616,랜드로버,레인지로버,3.0 SDV6 HSE 다이나믹,디젤,103669,2017,무사고,검정색,충남,5990,2WD
640,랜드로버,디스커버리,3.0 TD6 퍼스트 에디션,디젤,66660,2017,무사고,검정색,광주,5500,2WD
641,랜드로버,레인지로버,3.0 SDV6,디젤,112772,2013,무사고,검정색,경기,3190,2WD
654,랜드로버,레인지로버,4.4 SDV8 Vogue SE 디젤,디젤,28945,2017,무사고,검정색,경기,10500,2WD
662,랜드로버,레인지로버,4.4 SDV8 AB 디젤,디젤,64692,2015,무사고,검정색,경기,7990,2WD
669,랜드로버,레인지로버,3.0 TDV6,디젤,142796,2011,무사고,검정색,경기,2210,2WD
670,랜드로버,레인지로버,5.0 SC Vogue SE,가솔린,101912,2016,무사고,검정색,서울,7390,2WD
683,랜드로버,레인지로버,2.2 SD4 프레스티지,디젤,86721,2013,무사고,검정색,경기,2500,2WD
684,랜드로버,레인지로버,V8 5.0 Supercharged,가솔린,185050,2010,무사고,검정색,경기,2770,2WD
722,랜드로버,레인지로버,5.0 SC Vogue SE,가솔린,96703,2014,무사고,검정색,경기,6850,2WD
811,랜드로버,레인지로버,4.4 SDV8 AB 디젤,디젤,88940,2015,무사고,검정색,서울,8050,2WD
821,랜드로버,프리랜더,I6 HSE,가솔린,181975,2007,무사고,검정색,인천,680,2WD
852,랜드로버,레인지로버,4.4 SDV8 Vogue SE 디젤,디젤,112379,2017,무사고,검정색,경기,7900,2WD
862,랜드로버,레인지로버,4.4 SDV8 HSE 다이나믹,디젤,127504,2015,무사고,검정색,충남,4850,2WD
922,랜드로버,레인지로버,3.0 SDV6,디젤,79997,2012,무사고,검정색,경기,3399,2WD
924,랜드로버,레인지로버,2.0 TD4 SE,디젤,36298,2016,무사고,검정색,경기,3150,2WD
928,랜드로버,레인지로버,4.4 SDV8 Vogue SE 디젤,디젤,146609,2015,무사고,검정색,광주,8250,2WD
975,랜드로버,레인지로버,2.0 D240 R-다이나믹 SE,디젤,29348,2019,무사고,검정색,경기,7350,2WD
992,랜드로버,디스커버리,3.0 SDV6 SE,디젤,69054,2014,무사고,검정색,서울,4450,2WD
1051,랜드로버,레인지로버,4.4 SDV8 Vogue SE 디젤,디젤,68056,2017,무사고,검정색,광주,8700,2WD
1063,랜드로버,레인지로버,V8 4.4 HSE,가솔린,190522,2006,무사고,검정색,경기,1670,2WD
1098,랜드로버,디스커버리,2.0 SD4 HSE,디젤,67767,2017,무사고,검정색,경기,4890,2WD
1103,랜드로버,디스커버리,3.0 SDV6 SE,디젤,113964,2015,무사고,검정색,경기,3560,2WD
1148,랜드로버,디스커버리,3.0 SDV6 SE,디젤,180569,2016,무사고,검정색,경기,3500,2WD
1155,랜드로버,디스커버리,3.0 SDV6 SE,디젤,191302,2012,무사고,검정색,대구,2350,2WD
1202,랜드로버,레인지로버,3.0 D300 R-다이나믹 HSE,디젤,99413,2019,무사고,검정색,광주,6680,2WD
1231,랜드로버,디스커버리,2.0 TD4 HSE 럭셔리,디젤,74294,2017,무사고,검정색,경기,2950,2WD
1244,랜드로버,레인지로버,3.0 SC HSE 다이나믹,가솔린,92579,2014,무사고,검정색,경기,5650,2WD
1349,랜드로버,레인지로버,5.0 SC Vogue SE,가솔린,87927,2014,무사고,검정색,서울,6430,2WD
1355,랜드로버,레인지로버,3.0 TDV6 Vogue SE 디젤,디젤,111058,2013,무사고,검정색,인천,5750,2WD
1358,랜드로버,디스커버리,2.0 SD4 HSE,디젤,89835,2017,무사고,검정색,경기,4500,2WD
1360,랜드로버,레인지로버,3.0 SDV6 HSE 다이나믹,디젤,74655,2017,무사고,검정색,광주,6350,2WD
1397,랜드로버,레인지로버,4.4 SDV8 AB 디젤,디젤,99963,2015,무사고,검정색,대구,7790,2WD
1420,랜드로버,디스커버리,3.0 SDV6 SE,디젤,122843,2014,무사고,검정색,전북,3550,2WD
1428,랜드로버,레인지로버,2.0 TD4 HSE 다이나믹,디젤,106595,2016,무사고,검정색,경기,2950,2WD
1443,랜드로버,레인지로버,4.4 SDV8 AB 디젤,디젤,68703,2018,무사고,검정색,경기,12300,2WD
1513,랜드로버,레인지로버,2.2 SD4 퓨어,디젤,70935,2015,무사고,검정색,서울,2690,2WD
1525,랜드로버,레인지로버,2.0 TD4 HSE,디젤,39025,2017,무사고,검정색,전북,3690,2WD
1526,랜드로버,레인지로버,2.0 D240 SE,디젤,7729,2019,무사고,검정색,대구,7950,2WD
1554,랜드로버,레인지로버,V8 5.0 HSE,가솔린,83416,2010,무사고,검정색,광주,2580,2WD
1579,랜드로버,레인지로버,4.4 SDV8 AB 디젤,디젤,245946,2014,무사고,검정색,경기,4550,2WD
1589,랜드로버,레인지로버,3.0 SDV6 HSE 다이나믹 하이브리드,디젤+전기,40657,2015,무사고,검정색,서울,6350,2WD
1607,랜드로버,레인지로버,2.0 TD4 HSE,디젤,104716,2017,무사고,검정색,경기,2930,2WD
1618,랜드로버,디스커버리,3.0 SD6 HSE,디젤,27647,2019,무사고,검정색,경기,7350,2WD
1628,랜드로버,레인지로버,3.0 SDV6,디젤,110116,2013,무사고,검정색,부산,3190,2WD
1662,랜드로버,레인지로버,4.4 SDV8 Vogue SE 디젤,디젤,72233,2016,무사고,검정색,경기,7590,2WD
1681,랜드로버,레인지로버,4.4 SDV8 AB 디젤,디젤,120429,2016,무사고,검정색,경기,7490,2WD
1693,랜드로버,레인지로버,2.0 TD4 HSE,디젤,57717,2016,무사고,검정색,경기,3190,2WD
1785,랜드로버,디스커버리,2.0 TD4 HSE 럭셔리,디젤,75005,2016,무사고,검정색,경기,2720,2WD
1791,랜드로버,레인지로버,3.0 SDV6 AB 다이나믹,디젤,105422,2016,무사고,검정색,대구,5790,2WD
1810,랜드로버,레인지로버,5.0 SVR,가솔린,80938,2016,무사고,검정색,경기,7590,2WD
1828,랜드로버,레인지로버,5.0 SC Vogue SE,가솔린,113665,2015,무사고,검정색,부산,6932,2WD
1839,랜드로버,레인지로버,4.4 SDV8 Vogue SE 디젤,디젤,98784,2014,무사고,검정색,경기,6199,2WD
1840,랜드로버,레인지로버,2.2 SD4 다이나믹,디젤,120019,2012,무사고,검정색,경기,2200,2WD
1842,랜드로버,레인지로버,2.2 SD4 다이나믹,디젤,169879,2012,무사고,검정색,경기,1900,2WD
1846,랜드로버,디스커버리,2.0 TD4 SE (150마력),디젤,57868,2018,무사고,검정색,경기,3100,2WD
1879,랜드로버,레인지로버,5.0 SVR,가솔린,45123,2016,무사고,검정색,경기,7870,2WD
1884,랜드로버,레인지로버,2.0 TD4 SE,디젤,75883,2016,무사고,검정색,부산,2750,2WD
1886,랜드로버,디스커버리,3.0 SDV6 SE,디젤,288103,2011,무사고,검정색,부산,1999,2WD
1899,랜드로버,디스커버리,3.0 SDV6 SE,디젤,142164,2012,무사고,검정색,서울,2495,2WD
1942,랜드로버,레인지로버,4.4 SDV8 AB 다이나믹,디젤,75409,2015,무사고,검정색,경기,6399,2WD
1960,랜드로버,레인지로버,2.0 D240 S,디젤,88856,2018,무사고,검정색,경기,5550,2WD
2038,랜드로버,레인지로버,V8 5.0 Supercharged,가솔린,112926,2010,무사고,검정색,경기,3090,2WD
2082,랜드로버,레인지로버,5.0 SC Vogue SE,가솔린,44646,2016,무사고,검정색,경기,8300,2WD
2092,랜드로버,레인지로버,3.7 TDV8 Vogue,디젤,174373,2008,무사고,검정색,경기,2299,2WD
2107,랜드로버,레인지로버,4.4 SDV8 Vogue SE 디젤,디젤,18946,2018,무사고,검정색,경기,12700,2WD
2134,랜드로버,디펜더,110 P300 X-Dynamic SE,가솔린,760,2022,무사고,검정색,경기,12000,2WD
2163,랜드로버,레인지로버,3.0 D300 R-다이나믹 HSE,디젤,49127,2018,무사고,검정색,경기,7190,2WD
2164,랜드로버,레인지로버,5.0 SVR,가솔린,5719,2019,무사고,검정색,경기,14400,2WD
2169,랜드로버,디스커버리,2.5 TD5,디젤,258127,2003,무사고,검정색,경기,1399,2WD
2222,랜드로버,레인지로버,4.4 SDV8 AB 디젤,디젤,90899,2017,무사고,검정색,서울,8420,2WD
2239,랜드로버,디스커버리,2.2 SD4 HSE 럭셔리,디젤,134702,2015,무사고,검정색,경기,2199,2WD
2241,랜드로버,레인지로버,3.0 D300 R-다이나믹 HSE,디젤,22483,2019,무사고,검정색,경기,9999,2WD
2283,랜드로버,디스커버리,3.0 SDV6 SE,디젤,112266,2015,무사고,검정색,서울,3800,2WD
2287,랜드로버,레인지로버,2.0 TD4 HSE 다이나믹,디젤,66901,2016,무사고,검정색,경기,3370,2WD
2365,랜드로버,레인지로버,V8 5.0 Supercharged,가솔린,129665,2009,무사고,검정색,경기,1990,2WD
2434,랜드로버,디스커버리,3.0 SD6 HSE 럭셔리,디젤,41666,2019,무사고,검정색,경기,7200,2WD
2438,랜드로버,디스커버리,3.0 SD6 SE,디젤,10976,2019,무사고,검정색,서울,6780,2WD
2472,랜드로버,레인지로버,4.4 SDV8 AB LWB 디젤,디젤,41453,2019,무사고,검정색,서울,15950,2WD
2478,랜드로버,레인지로버,3.0 SDV6 HSE 다이나믹,디젤,182176,2016,무사고,검정색,서울,4000,2WD
2493,랜드로버,레인지로버,3.7 TDV8 Vogue,디젤,153560,2009,무사고,검정색,충북,2420,2WD
2520,랜드로버,디스커버리,3.0 SDV6 SE,디젤,122794,2016,무사고,검정색,경기,3750,2WD
2524,랜드로버,디스커버리,3.0 SDV6 SE,디젤,98749,2016,무사고,검정색,경기,4000,2WD
2538,랜드로버,레인지로버,5.0 SC Vogue SE,가솔린,190107,2014,무사고,검정색,대구,5990,2WD
2559,랜드로버,레인지로버,5.0 SC AB,가솔린,89978,2016,무사고,검정색,부산,8000,2WD
2574,랜드로버,레인지로버,2.2 SD4 프레스티지,디젤,98851,2013,무사고,검정색,경기,2350,2WD
2587,랜드로버,레인지로버,3.0 TDV6,디젤,245985,2011,무사고,검정색,부산,1650,2WD
2604,랜드로버,디스커버리,3.0 SDV6 SE,디젤,101792,2016,무사고,검정색,충북,4350,2WD
2605,랜드로버,레인지로버,4.4 SDV8 Vogue SE 디젤,디젤,17890,2018,무사고,검정색,서울,12000,2WD
2621,랜드로버,레인지로버,5.0 SC SV AB LWB,가솔린,36387,2019,무사고,검정색,서울,22700,2WD
2638,랜드로버,디스커버리,2.2 SD4 SE,디젤,120874,2015,무사고,검정색,경기,2190,2WD
2653,랜드로버,디스커버리,3.0 SDV6 SE,디젤,98066,2014,무사고,검정색,경기,3990,2WD
2655,랜드로버,레인지로버,D180 런치 에디션,디젤,13174,2020,무사고,검정색,전북,5990,2WD
2682,랜드로버,레인지로버,3.0 D300 R-다이나믹 HSE,디젤,45791,2018,무사고,검정색,경기,7799,2WD
2702,랜드로버,디스커버리,3.0 SD6 HSE 럭셔리,디젤,22355,2019,무사고,검정색,경기,8500,2WD
2706,랜드로버,레인지로버,5.0 SC SV AB 다이나믹,가솔린,3249,2019,무사고,검정색,경기,20700,2WD
2745,랜드로버,디스커버리,2.7 TDV6 SE,디젤,304113,2010,무사고,검정색,경기,1630,2WD
2758,랜드로버,레인지로버,3.0 SDV6 HSE 다이나믹,디젤,99061,2017,무사고,검정색,서울,5990,2WD
2761,랜드로버,디스커버리,2.0 TD4 HSE 럭셔리,디젤,44132,2018,무사고,흰색,경기,3590,2WD
2763,랜드로버,디스커버리,2.0 TD4 SE,디젤,42975,2019,무사고,흰색,서울,3700,2WD
2901,랜드로버,디스커버리,3.0 SD6 HSE 럭셔리,디젤,27368,2019,무사고,흰색,경기,7590,2WD
2938,랜드로버,레인지로버,2.2 SD4 프레스티지,디젤,112092,2014,무사고,흰색,서울,2400,2WD
3058,랜드로버,디스커버리,3.0 SDV6 SE,디젤,63685,2014,무사고,흰색,충북,4390,2WD
3125,랜드로버,디스커버리,3.0 SDV6 HSE,디젤,185363,2012,무사고,흰색,인천,2330,2WD
3132,랜드로버,레인지로버,2.2 SD4 퓨어,디젤,83592,2014,무사고,흰색,경기,2450,2WD
3141,랜드로버,디스커버리,3.0 TD6 HSE,디젤,42913,2018,무사고,흰색,광주,5550,2WD
3153,랜드로버,레인지로버,3.0 D300 R-다이나믹 HSE,디젤,21317,2019,무사고,흰색,경기,8520,2WD
3183,랜드로버,레인지로버,3.0 TDV6,디젤,109812,2011,무사고,흰색,서울,2150,2WD
3185,랜드로버,프리랜더,2.2 SD4 HSE,디젤,81893,2012,무사고,흰색,서울,1879,2WD
3202,랜드로버,레인지로버,P250 SE,가솔린,25505,2020,무사고,흰색,광주,5890,2WD
3212,랜드로버,레인지로버,2.0 TD4 SE,디젤,108702,2017,무사고,흰색,경기,2960,2WD
3216,랜드로버,디스커버리,2.0 TD4 SE (150마력),디젤,10175,2018,무사고,흰색,경기,3399,2WD
3258,랜드로버,레인지로버,2.2 SD4 프레스티지,디젤,132765,2015,무사고,흰색,경기,2300,2WD
3274,랜드로버,디스커버리,3.0 TD6 HSE,디젤,146671,2017,무사고,흰색,경기,4290,2WD
3297,랜드로버,디스커버리,2.0 TD4 HSE 럭셔리,디젤,36477,2019,무사고,흰색,경기,4150,2WD
3304,랜드로버,레인지로버,2.0 TD4 HSE 다이나믹,디젤,94300,2016,무사고,흰색,경기,2970,2WD
3372,랜드로버,레인지로버,3.0 SDV6 HSE,디젤,90797,2015,무사고,흰색,경기,4680,2WD
3384,랜드로버,레인지로버,2.0 TD4 SE,디젤,79056,2017,무사고,흰색,경기,3080,2WD
3385,랜드로버,레인지로버,4.4 TDV8 Vogue,디젤,201949,2012,무사고,흰색,대구,2700,2WD
3387,랜드로버,프리랜더,2.2 SD4 HSE,디젤,197966,2013,무사고,흰색,경기,1290,2WD
3423,랜드로버,디스커버리,2.0 SD4 SE,디젤,38107,2018,무사고,흰색,경기,5350,2WD
3428,랜드로버,레인지로버,2.0 TD4 HSE,디젤,47634,2016,무사고,흰색,서울,3480,2WD
3429,랜드로버,프리랜더,2.2 SD4 HSE,디젤,145981,2012,무사고,흰색,경기,1250,2WD
3456,랜드로버,레인지로버,2.2 SD4 프레스티지,디젤,171995,2014,무사고,흰색,충남,1950,2WD
3475,랜드로버,디스커버리,2.0 TD4 SE,디젤,133108,2016,무사고,흰색,경기,2080,2WD
3479,랜드로버,디스커버리,3.0 TD6 HSE,디젤,44688,2018,무사고,흰색,경기,5630,2WD
3487,랜드로버,레인지로버,P250 SE,가솔린,11676,2020,무사고,흰색,경기,5999,2WD
3491,랜드로버,레인지로버,4.4 SDV8 AB 디젤,디젤,192841,2014,무사고,흰색,대구,5850,2WD
3506,랜드로버,디스커버리,2.0 TD4 SE (150마력),디젤,66029,2019,무사고,흰색,서울,3400,2WD
3508,랜드로버,디스커버리,2.0 SD4 HSE,디젤,65544,2017,무사고,흰색,경기,9999,2WD
3516,랜드로버,디스커버리,3.0 TD6 HSE 럭셔리,디젤,32908,2018,무사고,흰색,광주,6290,2WD
3550,랜드로버,레인지로버,2.0 TD4 SE,디젤,152430,2016,무사고,흰색,인천,2390,2WD
3555,랜드로버,레인지로버,2.2 SD4 프레스티지,디젤,99099,2013,무사고,흰색,광주,2450,2WD
3564,랜드로버,디스커버리,3.0 TD6 HSE,디젤,48326,2017,무사고,흰색,경기,5240,2WD
3585,랜드로버,레인지로버,2.0 D240 S,디젤,46280,2019,무사고,흰색,충북,6490,2WD
3606,랜드로버,레인지로버,2.0 D240 S,디젤,44819,2018,무사고,흰색,경기,6360,2WD
3615,랜드로버,레인지로버,4.4 SDV8 Vogue SE 디젤,디젤,174131,2013,무사고,흰색,대구,4990,2WD
3637,랜드로버,디스커버리,3.0 SD6 HSE,디젤,47109,2019,무사고,흰색,서울,7190,2WD
3650,랜드로버,디스커버리,3.0 TD6 HSE 럭셔리,디젤,72110,2017,무사고,흰색,경기,5370,2WD
3735,랜드로버,디스커버리,2.0 TD4 HSE 럭셔리,디젤,43422,2017,무사고,흰색,서울,3449,2WD
