,brand,name,info,type,km,year,accident,color,location,price,wd
11824,르노삼성,M6,2.0 LPe SE (택시형),LPG(일반인 구입),100759,2017,무사고,검정색,전북,1180,2WD
11837,르노삼성,SM7,RE,가솔린,152307,2012,무사고,검정색,경기,600,2WD
11838,르노삼성,M5,SE,가솔린,76160,2011,무사고,검정색,서울,450,2WD
11871,르노삼성,SM7,LPLI 2.0 LPe 장애인용,LPG(일반인 구입),37156,2017,무사고,검정색,경기,1590,2WD
11904,르노삼성,M5,클래식,가솔린,23607,2017,무사고,검정색,경기,1250,2WD
11905,르노삼성,M6,가솔린 2WD RE,가솔린,75270,2018,무사고,검정색,경기,1850,2WD
11913,르노삼성,SM7,RE,가솔린,149644,2011,무사고,검정색,대구,490,2WD
11917,르노삼성,M5,디젤 4WD RE,디젤,133629,2011,무사고,검정색,대구,760,4WD
11922,르노삼성,M5,LE 플러스,가솔린,191363,2008,무사고,검정색,경기,240,2WD
11944,르노삼성,M5,디젤 D,디젤,94849,2014,무사고,검정색,충남,698,2WD
11956,르노삼성,M3,SE 블랙,가솔린,87449,2012,무사고,검정색,충남,459,2WD
11958,르노삼성,M3,RE,디젤,33398,2018,무사고,검정색,서울,1610,2WD
11964,르노삼성,M5,LE,가솔린,71718,2011,무사고,검정색,경기,550,2WD
12002,르노삼성,M6,2.0 GDe LE,가솔린,36218,2016,무사고,검정색,경기,1500,2WD
12007,르노삼성,M6,2.0 LPe RE (장애인용),LPG(일반인 구입),88594,2016,무사고,검정색,경기,1490,2WD
12037,르노삼성,M5,SE 플러스,가솔린,96765,2008,무사고,검정색,경기,250,2WD
12070,르노삼성,SM7,LPLI 2.0 LPe 장애인용,LPG(일반인 구입),74938,2016,무사고,검정색,경기,1080,2WD
12078,르노삼성,M6,디젤 2WD RE 시그니처,디젤,43693,2017,무사고,검정색,부산,1980,2WD
12108,르노삼성,M6,2.0 GDe PE,가솔린,74672,2017,무사고,검정색,경기,1050,2WD
12110,르노삼성,M6,2.0 GDe RE,가솔린,55438,2019,무사고,검정색,충남,1590,2WD
12174,르노삼성,M5,LPLI SE 플러스,LPG(일반인 구입),79841,2007,무사고,검정색,대구,299,2WD
12176,르노삼성,SM7,RE,가솔린,111308,2012,무사고,검정색,경기,690,2WD
12178,르노삼성,M5,LPLI LE,LPG(일반인 구입),151719,2011,무사고,검정색,광주,515,2WD
12185,르노삼성,M3,RE,디젤,50418,2015,무사고,검정색,울산,1050,2WD
12188,르노삼성,M3,LE 익스클루시브,가솔린,170080,2012,무사고,검정색,충남,330,2WD
12252,르노삼성,M3,RE,디젤,96558,2014,무사고,검정색,서울,869,2WD
12259,르노삼성,M6,가솔린 2WD RE,가솔린,38641,2019,무사고,검정색,경기,2080,2WD
12280,르노삼성,M6,1.6 TCe RE,가솔린,74463,2017,무사고,검정색,경기,1620,2WD
12291,르노삼성,SM7,LPLI 2.0 LPe,LPG(일반인 구입),54670,2018,무사고,검정색,광주,1480,2WD
12295,르노삼성,SM7,SE 플레져,가솔린,240353,2010,무사고,검정색,대구,259,2WD
12327,르노삼성,M6,디젤 2WD RE 시그니처,디젤,24994,2017,무사고,검정색,경기,2040,2WD
12340,르노삼성,M3,RE,디젤,101718,2016,무사고,검정색,충남,899,2WD
12400,르노삼성,M3,PE,가솔린,103798,2013,무사고,검정색,경기,430,2WD
12404,르노삼성,M6,가솔린 2WD RE,가솔린,26397,2019,무사고,검정색,경기,2160,2WD
12407,르노삼성,M5,LE,가솔린,36721,2016,무사고,검정색,서울,1130,2WD
12416,르노삼성,M5,SE 블랙,가솔린,155059,2011,무사고,검정색,경기,430,2WD
12417,르노삼성,M5,LPLI 택시형 고급형,LPG(일반인 구입),268078,2006,무사고,검정색,전북,179,2WD
12422,르노삼성,SM7,LE,가솔린,167062,2013,무사고,검정색,전북,620,2WD
12423,르노삼성,M6,2.0 LPe SE (렌터카),LPG(일반인 구입),89837,2017,무사고,검정색,광주,1250,2WD
12432,르노삼성,M5,LPLI SE 블랙,LPG(일반인 구입),172637,2009,무사고,검정색,경기,299,2WD
12443,르노삼성,M5,SE 플러스,가솔린,255643,2010,무사고,검정색,광주,199,2WD
12453,르노삼성,M5,LPLi 택시렌터카 고급형,LPG(일반인 구입),86333,2017,무사고,검정색,광주,870,2WD
12501,르노삼성,M3,LE,디젤,121570,2015,무사고,검정색,경기,840,2WD
12526,르노삼성,M6,2.0 LPe SE (렌터카),LPG(일반인 구입),127918,2019,무사고,검정색,광주,1190,2WD
12533,르노삼성,M3,RE,가솔린,50180,2015,무사고,검정색,경기,880,2WD
12540,르노삼성,M5,LPLi 택시렌터카 고급형,LPG(일반인 구입),171944,2016,무사고,검정색,대구,510,2WD
12606,르노삼성,M5,LPLI 택시렌터카 고급형,LPG(일반인 구입),148871,2014,무사고,검정색,경기,550,2WD
12607,르노삼성,M5,LPLI 택시렌터카 고급형,LPG(일반인 구입),123062,2011,무사고,검정색,광주,470,2WD
12611,르노삼성,M5,SE 플러스,가솔린,153079,2011,무사고,검정색,대구,399,2WD
12624,르노삼성,M6,1.8 TCe 프리미에르,가솔린,6775,2021,무사고,검정색,경기,3099,2WD
12629,르노삼성,M6,2.0 GDe RE,가솔린,36643,2019,무사고,검정색,경기,1795,2WD
12634,르노삼성,SM7,RE,가솔린,78126,2014,무사고,검정색,부산,990,2WD
12646,르노삼성,M6,가솔린 2WD RE,가솔린,84661,2018,무사고,검정색,대구,1890,2WD
12647,르노삼성,M3,RE,디젤,127780,2015,무사고,검정색,충남,819,2WD
12665,르노삼성,M3,1.3 TCe RE 시그니처,가솔린,24034,2020,무사고,검정색,서울,2190,2WD
12672,르노삼성,M5,LPLi 택시렌터카 최고급형,LPG(일반인 구입),169816,2017,무사고,검정색,대구,669,2WD
12694,르노삼성,M5,LE 익스클루시브,가솔린,72415,2011,무사고,검정색,경기,599,2WD
12714,르노삼성,M5,LE,가솔린,217026,2008,무사고,검정색,전북,199,2WD
12722,르노삼성,M5,SE,가솔린,107300,2014,무사고,검정색,충남,680,2WD
12742,르노삼성,SM7,LE,가솔린,144293,2015,무사고,검정색,대구,899,2WD
