,brand,name,info,type,km,year,accident,color,location,price,wd
1,벤츠,S-클래스,S350 블루텍,디젤,97935,2015,무사고,검정색,부산,5730,2WD
3,벤츠,스프린터,3.0 디젤,디젤,32312,2012,무사고,검정색,서울,4700,2WD
4,벤츠,E-클래스,E300 아방가르드,가솔린,92407,2014,무사고,검정색,서울,2097,2WD
9,벤츠,E-클래스,E220 CDI 아방가르드,디젤,65194,2015,무사고,검정색,경기,2370,2WD
11,벤츠,E-클래스,E220d 4MATIC 아방가르드,디젤,126590,2017,무사고,검정색,인천,3479,4WD
15,벤츠,S-클래스,S560L 4MATIC,가솔린,77227,2018,무사고,검정색,서울,9900,4WD
21,벤츠,E-클래스,GLE350 d 4MATIC 쿠페,디젤,23928,2017,무사고,검정색,서울,6799,4WD
22,벤츠,S-클래스,S350 블루텍,디젤,156554,2015,무사고,검정색,경기,4350,2WD
30,벤츠,S-클래스,S450L,가솔린,52972,2018,무사고,검정색,대구,9850,2WD
34,벤츠,S-클래스,S500L,가솔린,81613,2015,무사고,검정색,경기,6390,2WD
35,벤츠,LS,CLS400,가솔린,92182,2016,무사고,검정색,서울,3820,2WD
44,벤츠,E-클래스,E220d 아방가르드,디젤,81492,2017,무사고,검정색,경기,3750,2WD
48,벤츠,S-클래스,S500L 4MATIC,가솔린,145869,2016,무사고,검정색,대구,5550,4WD
49,벤츠,S-클래스,S350 블루텍,디젤,184939,2011,무사고,검정색,대구,1850,2WD
50,벤츠,S-클래스,S500L,가솔린,137816,2015,무사고,검정색,대구,4999,2WD
51,벤츠,S-클래스,S500L 데지뇨 에디션,가솔린,83926,2013,무사고,검정색,대구,3890,2WD
52,벤츠,E-클래스,E220 CDI 아방가르드,디젤,141864,2014,무사고,검정색,경기,1850,2WD
53,벤츠,E-클래스,E220d 익스클루시브,디젤,91393,2019,무사고,검정색,충북,4500,2WD
55,벤츠,LS,GLS500 4MATIC,가솔린,10485,2019,무사고,검정색,서울,10400,4WD
58,벤츠,E-클래스,E220d 4MATIC 익스클루시브,디젤,49283,2019,무사고,검정색,대구,5090,4WD
59,벤츠,S-클래스,S63 AMG 4MATIC 쿠페,가솔린,98426,2015,무사고,검정색,인천,7590,4WD
61,벤츠,E-클래스,E300 아방가르드,가솔린,193024,2014,무사고,검정색,경기,1749,2WD
66,벤츠,E-클래스,E220 블루텍 아방가르드 스포츠,디젤,79559,2015,무사고,검정색,서울,2590,2WD
72,벤츠,S-클래스,S500L,가솔린,232691,2015,무사고,검정색,경기,3899,2WD
74,벤츠,E-클래스,E220d 익스클루시브,디젤,75247,2017,무사고,검정색,광주,4080,2WD
86,벤츠,E-클래스,E220d 아방가르드,디젤,29499,2019,무사고,검정색,서울,4890,2WD
88,벤츠,S-클래스,S350 d 4MATIC,디젤,134460,2018,무사고,검정색,대구,7690,4WD
92,벤츠,C-클래스,AMG GLC43 4MATIC 쿠페,가솔린,1348,2021,무사고,검정색,경기,9100,4WD
99,벤츠,S-클래스,S350L,가솔린,111871,2019,무사고,검정색,서울,7990,2WD
104,벤츠,S-클래스,마이바흐 S560 4MATIC,가솔린,26131,2020,무사고,검정색,서울,19194,4WD
105,벤츠,S-클래스,마이바흐 S500 4MATIC,가솔린,101640,2016,무사고,검정색,경기,8800,4WD
107,벤츠,E-클래스,E300 4MATIC 익스클루시브,가솔린,128467,2017,무사고,검정색,광주,3795,4WD
108,벤츠,E-클래스,E350,가솔린,117730,2011,무사고,검정색,경기,1350,2WD
110,벤츠,S-클래스,S450L 4MATIC,가솔린,93937,2018,무사고,검정색,서울,8600,4WD
111,벤츠,E-클래스,E220d 익스클루시브,디젤,135746,2017,무사고,검정색,서울,3300,2WD
117,벤츠,S-클래스,S350 블루텍,디젤,186229,2015,무사고,검정색,서울,4200,2WD
119,벤츠,G-클래스,G350 블루텍,디젤,69387,2015,무사고,검정색,경기,8900,2WD
121,벤츠,S-클래스,S400L 4MATIC,가솔린,91667,2016,무사고,검정색,경기,6250,4WD
128,벤츠,S-클래스,S400L d 4MATIC,디젤,28606,2018,무사고,검정색,서울,11200,4WD
133,벤츠,E-클래스,E220d 아방가르드,디젤,103643,2017,무사고,검정색,경기,3650,2WD
135,벤츠,C-클래스,C200 아방가르드,가솔린,56686,2018,무사고,검정색,경기,3149,2WD
137,벤츠,E-클래스,E220 블루텍 아방가르드,디젤,81621,2016,무사고,검정색,서울,2530,2WD
139,벤츠,S-클래스,S550,가솔린,217235,2008,무사고,검정색,경기,830,2WD
143,벤츠,S-클래스,S65 AMG,가솔린,86809,2016,무사고,검정색,경기,12500,2WD
145,벤츠,S-클래스,S63 AMG 4MATIC,가솔린,67401,2016,무사고,검정색,경기,8990,4WD
146,벤츠,S-클래스,S500L 블루이피션시,가솔린,111769,2011,무사고,검정색,서울,2490,2WD
149,벤츠,C-클래스,C200 d,디젤,95913,2017,무사고,검정색,광주,2270,2WD
150,벤츠,E-클래스,E220d 4MATIC 익스클루시브,디젤,40100,2018,무사고,검정색,광주,4990,4WD
158,벤츠,S-클래스,S400L 4MATIC,가솔린,30690,2016,무사고,검정색,경기,8210,4WD
162,벤츠,S-클래스,S350L d 4MATIC,디젤,120734,2017,무사고,검정색,경기,6550,4WD
164,벤츠,C-클래스,C250 d 4MATIC,디젤,127773,2016,무사고,검정색,광주,2630,4WD
165,벤츠,S-클래스,S500L 4MATIC,가솔린,170529,2016,무사고,검정색,대구,4980,4WD
168,벤츠,S-클래스,S350 d 4MATIC AMG Line,디젤,12471,2020,무사고,검정색,서울,11700,4WD
171,벤츠,SL-클래스,SL550,가솔린,28528,2014,무사고,검정색,서울,6490,2WD
172,벤츠,S-클래스,마이바흐 S600,가솔린,50781,2016,무사고,검정색,서울,13000,2WD
173,벤츠,S-클래스,S600L,가솔린,112954,2015,무사고,검정색,서울,7799,2WD
174,벤츠,E-클래스,E200 CGI,가솔린,73597,2012,무사고,검정색,서울,1530,2WD
176,벤츠,S-클래스,S350L 블루텍,디젤,57280,2014,무사고,검정색,서울,6280,2WD
177,벤츠,E-클래스,E250 블루텍 4MATIC 아방가르드,디젤,75858,2016,무사고,검정색,경기,2750,4WD
179,벤츠,C-클래스,C220 d 아방가르드,디젤,60627,2016,무사고,검정색,충남,2950,2WD
184,벤츠,S-클래스,S500L,가솔린,308858,2010,무사고,검정색,광주,1170,2WD
185,벤츠,E-클래스,GLE350 d 4MATIC 프리미엄,디젤,93654,2018,무사고,검정색,서울,5499,4WD
186,벤츠,GT,4도어 43 4MATIC+,가솔린,4483,2021,무사고,검정색,경기,3000,4WD
188,벤츠,S-클래스,마이바흐 S600,가솔린,48213,2015,무사고,검정색,서울,12400,2WD
189,벤츠,E-클래스,E350 4MATIC 아방가르드,가솔린,87797,2014,무사고,검정색,경기,2399,4WD
191,벤츠,S-클래스,S400L d 4MATIC,디젤,80616,2018,무사고,검정색,경기,9380,4WD
194,벤츠,S-클래스,S63 AMG 4MATIC 쿠페,가솔린,150818,2015,무사고,검정색,대구,6790,4WD
195,벤츠,CLA-클래스,CLA220 AMG Line,가솔린,38602,2019,무사고,검정색,광주,3120,2WD
197,벤츠,C-클래스,C220 CDI,디젤,142919,2013,무사고,검정색,경기,1030,2WD
208,벤츠,C-클래스,C250 아방가르드,가솔린,101731,2012,무사고,검정색,서울,1150,2WD
214,벤츠,S-클래스,S63 AMG 4MATIC,가솔린,70523,2015,무사고,검정색,부산,7899,4WD
217,벤츠,S-클래스,마이바흐 S500 4MATIC,가솔린,107896,2016,무사고,검정색,서울,8450,4WD
218,벤츠,S-클래스,S500L 4MATIC,가솔린,88664,2016,무사고,검정색,대구,7550,4WD
220,벤츠,E-클래스,E300 4MATIC 아방가르드,가솔린,23585,2017,무사고,검정색,대구,4550,4WD
221,벤츠,E-클래스,E300 4MATIC 아방가르드,가솔린,135431,2014,무사고,검정색,인천,2099,4WD
224,벤츠,E-클래스,E300 AMG Line,가솔린,33283,2019,무사고,검정색,경기,5699,2WD
231,벤츠,S-클래스,S500L 블루이피션시 4MATIC,가솔린,155298,2012,무사고,검정색,경기,2250,4WD
232,벤츠,S-클래스,S500L 4MATIC,가솔린,122591,2016,무사고,검정색,광주,6100,4WD
234,벤츠,S-클래스,S350L 블루텍,디젤,151790,2015,무사고,검정색,경기,4970,2WD
238,벤츠,E-클래스,E220d 아방가르드,디젤,72473,2017,무사고,검정색,경기,3850,2WD
239,벤츠,C-클래스,GLC220 d 4MATIC 쿠페,디젤,47894,2017,무사고,검정색,경기,5249,4WD
244,벤츠,S-클래스,S500L 4MATIC,가솔린,84544,2016,무사고,검정색,경기,7590,4WD
245,벤츠,S-클래스,S560L 4MATIC,가솔린,80262,2018,무사고,검정색,서울,9790,4WD
247,벤츠,S-클래스,S63 AMG 4MATIC+,가솔린,37446,2018,무사고,검정색,서울,13870,4WD
249,벤츠,E-클래스,E220d 4MATIC 익스클루시브,디젤,12696,2019,무사고,검정색,서울,5799,4WD
