,brand,name,info,type,km,year,accident,color,location,price,wd
11834,쌍용,체어맨,CW600 4TRONIC,가솔린,127493,2011,무사고,검정색,경기,700,2WD
11839,쌍용,티볼리,가솔린 1.5 2WD,가솔린,8468,2020,무사고,검정색,경기,1920,2WD
11840,쌍용,렉스턴,디젤 2.2 2WD,디젤,11040,2020,무사고,검정색,경기,3270,2WD
11841,쌍용,티볼리,기어 에디션 2WD,가솔린,29572,2018,무사고,검정색,경기,1520,2WD
11851,쌍용,체어맨,CW700 4TRONIC,가솔린,144725,2013,무사고,검정색,울산,1380,2WD
11852,쌍용,체어맨,CW700 4TRONIC,가솔린,94164,2017,무사고,검정색,대구,2590,2WD
11857,쌍용,렉스턴,2.0 4WD RX7,디젤,150238,2015,무사고,검정색,인천,1050,4WD
11876,쌍용,체어맨,CW700,가솔린,210210,2011,무사고,검정색,대구,530,2WD
11878,쌍용,코란도,4WD 아웃도어 에디션 9인승,디젤,103676,2016,무사고,검정색,경기,1490,4WD
11899,쌍용,렉스턴,디젤 2.2 4WD,디젤,3791,2021,무사고,검정색,서울,2860,4WD
11910,쌍용,렉스턴,디젤 2.2 4WD,디젤,38865,2019,무사고,검정색,대구,3090,4WD
11924,쌍용,렉스턴,4WD RX6,디젤,165945,2009,무사고,검정색,경기,550,4WD
12069,쌍용,체어맨,CM600S,가솔린,175293,2005,무사고,검정색,경기,200,2WD
12095,쌍용,체어맨,CW700,가솔린,88323,2008,무사고,검정색,대구,549,2WD
12111,쌍용,코란도,4WD 아웃도어 에디션 9인승,디젤,88353,2018,무사고,검정색,충북,1760,4WD
12121,쌍용,코란도,2.2 익스트림 4WD,디젤,63455,2018,무사고,검정색,광주,1970,4WD
12153,쌍용,티볼리,디젤 AX 2WD,디젤,48879,2019,무사고,검정색,경기,1530,2WD
12164,쌍용,체어맨,V8 5000,가솔린,111220,2010,무사고,검정색,인천,830,2WD
12223,쌍용,액티언,4WD AX7 패션,디젤,217454,2008,무사고,검정색,광주,369,4WD
12242,쌍용,체어맨,CW700,가솔린,110780,2010,무사고,검정색,경기,870,2WD
12276,쌍용,렉스턴,디젤 2.2 2WD,디젤,61659,2020,무사고,검정색,서울,2599,2WD
12294,쌍용,렉스턴,디젤 2.2 4WD,디젤,65696,2019,무사고,검정색,광주,2520,4WD
12328,쌍용,코란도,클러비 4WD,디젤,209417,2011,무사고,검정색,경기,470,4WD
12373,쌍용,체어맨,CW700 4TRONIC,가솔린+LPG,172972,2012,무사고,검정색,광주,1120,2WD
12401,쌍용,티볼리,디젤 IX 2WD,디젤,64844,2017,무사고,검정색,경기,1350,2WD
12418,쌍용,체어맨,CW700 4TRONIC,가솔린,289641,2012,무사고,검정색,인천,499,2WD
12471,쌍용,체어맨,CW600,가솔린,47406,2010,무사고,검정색,경기,790,2WD
12489,쌍용,체어맨,500S 고급형,가솔린,147296,2013,무사고,검정색,광주,690,2WD
12508,쌍용,체어맨,CW600,가솔린,81428,2017,무사고,검정색,인천,2190,2WD
12517,쌍용,렉스턴,디젤 2.2 4WD,디젤,8206,2021,무사고,검정색,광주,2940,4WD
12535,쌍용,렉스턴,2.0 4WD RX7,디젤,95823,2015,무사고,검정색,경기,1250,4WD
12554,쌍용,체어맨,CW600 4TRONIC,가솔린,65541,2014,무사고,검정색,전북,1890,2WD
12556,쌍용,체어맨,CM400S,가솔린,148319,2004,무사고,검정색,경기,130,2WD
12610,쌍용,렉스턴,디젤 2.2 4WD,디젤,91165,2018,무사고,검정색,경기,2299,4WD
12613,쌍용,티볼리,디젤 RX 4WD,디젤,40240,2018,무사고,검정색,광주,1650,4WD
12693,쌍용,렉스턴,2.0 4WD RX7,디젤,109831,2013,무사고,검정색,경기,1070,4WD
12738,쌍용,렉스턴,4WD RX4,디젤,129739,2011,무사고,검정색,광주,850,4WD
12783,쌍용,렉스턴,디젤 2.2 4WD,디젤,51947,2019,무사고,검정색,경기,2700,4WD
12806,쌍용,체어맨,CM600S,가솔린,94325,2005,무사고,검정색,경기,250,2WD
12821,쌍용,코란도,CX7 4WD,디젤,93269,2014,무사고,검정색,서울,1250,4WD
12826,쌍용,체어맨,CW700,가솔린,200066,2009,무사고,검정색,광주,499,2WD
12845,쌍용,렉스턴,AWD 노블레스,디젤,240542,2006,무사고,검정색,부산,290,AWD
