,brand,name,info,type,km,year,accident,color,location,price,wd
5,아우디,A7,3.0 TFSI 콰트로 다이나믹,가솔린,177390,2013,무사고,검정색,경기,1950,4WD
8,아우디,TT,쿠페 2.0 TFSI 콰트로,가솔린,69640,2014,무사고,검정색,경기,2550,4WD
10,아우디,TT,쿠페 2.0 TFSI,가솔린,66992,2010,무사고,검정색,경기,1670,2WD
18,아우디,뉴 A3,40 TFSI,가솔린,41369,2018,무사고,검정색,경기,1990,2WD
23,아우디,A6,35 TDI 콰트로 프리미엄,디젤,86166,2018,무사고,검정색,서울,2720,4WD
33,아우디,A6,45 TDI 콰트로 프리미엄,디젤,14928,2020,무사고,검정색,경기,5890,4WD
36,아우디,A7,45 TDI 콰트로,디젤,139288,2015,무사고,검정색,경기,2250,4WD
42,아우디,A6,3.2 FSI 콰트로 다이나믹,가솔린,184373,2008,무사고,검정색,서울,450,4WD
62,아우디,A6,40 TDI 콰트로,디젤,133411,2016,무사고,검정색,경기,2090,4WD
73,아우디,뉴 A3,40 TFSI,가솔린,26445,2018,무사고,검정색,경기,2250,2WD
77,아우디,S7,4.0 TFSI 콰트로,가솔린,145881,2014,무사고,검정색,대전,3390,4WD
79,아우디,A6,45 TDI 콰트로 프리미엄,디젤,48187,2020,무사고,검정색,서울,5499,4WD
84,아우디,A7,45 TDI 콰트로,디젤,108161,2015,무사고,검정색,서울,2650,4WD
112,아우디,A6,45 TDI 콰트로,디젤,151131,2015,무사고,검정색,경기,1520,4WD
118,아우디,A6,35 TDI 프리미엄,디젤,41735,2018,무사고,검정색,경기,3250,2WD
129,아우디,A7,50 TDI 콰트로 프리미엄,디젤,163852,2016,무사고,검정색,대구,3080,4WD
140,아우디,A7,3.0 TDI 콰트로 다이나믹,디젤,119630,2014,무사고,검정색,경기,2470,4WD
167,아우디,A8,50 TDI 콰트로 LWB,디젤,101459,2015,무사고,검정색,서울,4090,4WD
193,아우디,A8,60 TDI 콰트로,디젤,173682,2015,무사고,검정색,인천,3450,4WD
196,아우디,A4,30 TDI 프리미엄,디젤,57363,2018,무사고,검정색,서울,2690,2WD
225,아우디,A6,3.0 TFSI 콰트로,가솔린,120132,2010,무사고,검정색,전북,699,4WD
228,아우디,A6,35 TDI 프리미엄,디젤,65447,2016,무사고,검정색,경기,2640,2WD
242,아우디,S7,4.0 TFSI 콰트로,가솔린,133619,2016,무사고,검정색,서울,4549,4WD
257,아우디,A6,40 TDI 콰트로,디젤,46685,2016,무사고,검정색,경기,3120,4WD
266,아우디,A7,50 TFSI 콰트로 다이나믹,가솔린,80825,2015,무사고,검정색,경기,3300,4WD
279,아우디,A5,35 TDI 콰트로 다이나믹 스포츠백,디젤,84752,2015,무사고,검정색,서울,2120,4WD
281,아우디,A7,3.0 TFSI 콰트로 프레스티지,가솔린,102201,2012,무사고,검정색,경기,2900,4WD
283,아우디,A7,50 TDI 콰트로,디젤,198696,2016,무사고,검정색,경기,2400,4WD
285,아우디,A7,50 TDI 콰트로 프리미엄,디젤,110103,2016,무사고,검정색,경기,3450,4WD
307,아우디,A7,3.0 TDI 콰트로 엔트리,디젤,217331,2012,무사고,검정색,경기,1600,4WD
308,아우디,S7,4.0 TFSI 콰트로,가솔린,113495,2015,무사고,검정색,경기,3690,4WD
313,아우디,A6,40 TDI 콰트로 프리미엄,디젤,113624,2016,무사고,검정색,경기,2319,4WD
343,아우디,Q5,35 TDI 콰트로,디젤,115959,2015,무사고,검정색,경기,2180,4WD
354,아우디,A6,40 TFSI 콰트로 스포츠,가솔린,60797,2016,무사고,검정색,경기,3180,4WD
375,아우디,뉴 A3,35 TFSI 다이나믹,가솔린,82134,2015,무사고,검정색,경기,1440,2WD
376,아우디,TT,로드스터 45 TFSI 콰트로,가솔린,23067,2016,무사고,검정색,경기,4699,4WD
380,아우디,A4,30 TDI 리미티드 에디션,디젤,104898,2016,무사고,검정색,부산,1580,2WD
