brand,name,type,km,year,accident,color,location,price,wd,trim
기아,K5,가솔린,110575,2011,무사고,검정색,인천,650,2WD,1
기아,K5,가솔린,106819,2014,무사고,검정색,인천,940,2WD,1
기아,K5,가솔린,29151,2019,무사고,검정색,충북,1890,2WD,1
기아,K5,가솔린,8766,2021,무사고,검정색,경기,3190,2WD,1
기아,K5,가솔린,101196,2012,무사고,검정색,대구,820,2WD,2
기아,K5,가솔린,44437,2020,무사고,검정색,서울,2290,2WD,1
기아,K5,가솔린,1969,2021,무사고,검정색,대전,3100,2WD,1
기아,K5,가솔린,27847,2020,무사고,검정색,광주,2630,2WD,1
기아,K5,가솔린,167493,2012,무사고,검정색,대구,630,2WD,2
기아,K5,가솔린,48743,2019,무사고,검정색,서울,1690,2WD,1
기아,K5,하이브리드,89180,2014,무사고,검정색,경기,1190,2WD,2
기아,K5,가솔린,60640,2018,무사고,검정색,광주,1570,2WD,1
기아,K5,LPG,127044,2015,무사고,검정색,광주,990,2WD,3
기아,K5,가솔린,162784,2015,무사고,검정색,경기,699,2WD,1
기아,K5,하이브리드,52853,2018,무사고,검정색,충북,2140,2WD,3
기아,K5,가솔린,59566,2019,무사고,검정색,경기,1880,2WD,1
기아,K5,LPG,188166,2014,무사고,검정색,전북,890,2WD,2
기아,K5,가솔린,86440,2011,무사고,검정색,울산,770,2WD,1
기아,K5,가솔린,2000,2021,무사고,검정색,서울,2870,2WD,1
기아,K5,LPG,105387,2016,무사고,검정색,부산,1490,2WD,1
기아,K5,LPG,93836,2018,무사고,검정색,경기,1310,2WD,1
기아,K5,가솔린,24191,2020,무사고,검정색,서울,2170,2WD,1
기아,K5,가솔린,51897,2019,무사고,검정색,경기,1949,2WD,1
기아,K5,가솔린,66809,2019,무사고,검정색,충남,1590,2WD,1
기아,K5,LPG,137974,2014,무사고,검정색,경기,690,2WD,1
기아,K5,LPG,128240,2012,무사고,검정색,경기,850,2WD,2
기아,K5,가솔린,16390,2019,무사고,검정색,광주,2090,2WD,1
기아,K5,LPG,194564,2013,무사고,검정색,광주,490,2WD,1
기아,K5,가솔린,151181,2013,무사고,검정색,경기,830,2WD,3
기아,K5,하이브리드,41940,2020,무사고,검정색,경기,2900,2WD,3
기아,K5,가솔린,145811,2012,무사고,검정색,서울,600,2WD,2
기아,K5,가솔린,80639,2013,무사고,검정색,충남,900,2WD,2
기아,K5,LPG,98351,2014,무사고,검정색,인천,830,2WD,1
기아,K5,가솔린,29239,2016,무사고,검정색,인천,1320,2WD,1
기아,K5,가솔린,189533,2011,무사고,검정색,경기,549,2WD,2
기아,K5,LPG,119241,2014,무사고,검정색,광주,950,2WD,2
기아,K5,하이브리드,24383,2020,무사고,검정색,서울,3380,2WD,4
기아,K5,가솔린,169284,2011,무사고,검정색,경기,509,2WD,1
기아,K5,가솔린,56825,2020,무사고,검정색,경기,2849,2WD,1
기아,K5,LPG,35709,2018,무사고,검정색,서울,1450,2WD,1
기아,K5,가솔린,67436,2018,무사고,검정색,충남,1570,2WD,1
기아,K5,가솔린,132834,2011,무사고,검정색,충남,630,2WD,3
기아,K5,LPG,167446,2015,무사고,검정색,충남,599,2WD,1
기아,K5,LPG,117882,2014,무사고,검정색,경기,849,2WD,1
기아,K5,가솔린,23094,2019,무사고,검정색,경기,2050,2WD,1
기아,K5,가솔린,64958,2016,무사고,검정색,경기,1250,2WD,1
기아,K5,가솔린,79694,2019,무사고,검정색,경기,1970,2WD,1
기아,K5,하이브리드,25194,2020,무사고,검정색,충남,3399,2WD,4
기아,K5,디젤,22493,2020,무사고,검정색,경기,2100,2WD,1
기아,K5,LPG,85779,2013,무사고,검정색,대구,880,2WD,1
기아,K5,가솔린,52479,2019,무사고,검정색,경기,1920,2WD,1
기아,K5,LPG,58346,2013,무사고,검정색,경기,890,2WD,1
기아,K5,하이브리드,39085,2018,무사고,검정색,대구,2690,2WD,3
기아,K5,가솔린,216,2021,무사고,검정색,경기,2590,2WD,1
기아,K5,가솔린,120764,2016,무사고,검정색,광주,1159,2WD,1
기아,K5,가솔린,40981,2018,무사고,검정색,충남,1549,2WD,1
기아,K5,가솔린,45763,2018,무사고,검정색,광주,1650,2WD,1
기아,K5,가솔린,55144,2019,무사고,검정색,경기,1950,2WD,1
