,brand,name,info,type,km,year,accident,color,location,price,wd
11854,제네시스,EQ900,5.0 GDI AWD 리무진,가솔린,83273,2016,무사고,검정색,충남,4399,AWD
11856,제네시스,G80,3.3 GDI AWD,가솔린,151031,2018,무사고,검정색,충남,2339,AWD
11872,제네시스,G80,3.8 GDI AWD,가솔린,159066,2017,무사고,검정색,서울,2490,AWD
11873,제네시스,G80,3.8 GDI AWD,가솔린,56604,2017,무사고,검정색,대구,3990,AWD
11874,제네시스,EQ900,3.8 GDI AWD,가솔린,119946,2016,무사고,검정색,인천,3580,AWD
11877,제네시스,EQ900,3.8 GDI AWD,가솔린,85636,2016,무사고,검정색,울산,3960,AWD
11882,제네시스,EQ900,3.8 GDI AWD,가솔린,84467,2018,무사고,검정색,대전,3750,AWD
11887,제네시스,G80,3.3 GDI AWD,가솔린,22188,2018,무사고,검정색,전북,3750,AWD
11890,제네시스,EQ900,5.0 GDI AWD,가솔린,112851,2016,무사고,검정색,인천,3610,AWD
11902,제네시스,G80,3.3 GDI AWD,가솔린,60864,2018,무사고,검정색,경기,3520,AWD
11916,제네시스,G80,3.3 GDI,가솔린,69602,2017,무사고,검정색,대구,3190,2WD
11918,제네시스,EQ900,3.8 GDI AWD,가솔린,58989,2017,무사고,검정색,대구,4980,AWD
11923,제네시스,G70,가솔린 2.0T 4WD,가솔린,7622,2021,무사고,검정색,경기,4690,4WD
11929,제네시스,G80,3.8 GDI AWD,가솔린,144311,2017,무사고,검정색,서울,2750,AWD
11950,제네시스,EQ900,3.8 GDI AWD,가솔린,51613,2018,무사고,검정색,경기,4499,AWD
11960,제네시스,G80,3.8 GDI AWD,가솔린,107816,2017,무사고,검정색,대구,3170,AWD
11965,제네시스,EQ900,3.8 GDI AWD,가솔린,65821,2017,무사고,검정색,전북,4570,AWD
11967,제네시스,EQ900,3.8 GDI AWD,가솔린,60718,2018,무사고,검정색,광주,4350,AWD
11974,제네시스,EQ900,3.8 GDI AWD,가솔린,123749,2016,무사고,검정색,광주,2999,AWD
11975,제네시스,G80,가솔린 2.5 터보 2WD,가솔린,10934,2021,무사고,검정색,인천,5490,2WD
11982,제네시스,G80,3.3 GDI,가솔린,61366,2017,무사고,검정색,대구,3190,2WD
11987,제네시스,G90,3.8 AWD,가솔린,12841,2020,무사고,검정색,서울,7650,AWD
11988,제네시스,G90,5.0 AWD,가솔린,22078,2019,무사고,검정색,서울,10500,AWD
11989,제네시스,EQ900,3.8 GDI AWD,가솔린,55522,2018,무사고,검정색,서울,4280,AWD
12001,제네시스,EQ900,5.0 GDI AWD 리무진,가솔린,159749,2016,무사고,검정색,경기,4000,AWD
12005,제네시스,G80,3.3 GDI,가솔린,55054,2018,무사고,검정색,서울,2969,2WD
12013,제네시스,G70,2.0T,가솔린,59817,2018,무사고,검정색,서울,3550,2WD
12014,제네시스,G70,2.0T,가솔린,59098,2019,무사고,검정색,서울,3390,2WD
12016,제네시스,G80,3.3 GDI AWD,가솔린,15381,2019,무사고,검정색,경기,4420,AWD
12020,제네시스,G80,3.3 GDI AWD,가솔린,68077,2019,무사고,검정색,경기,3430,AWD
12024,제네시스,G80,3.3 GDI AWD,가솔린,101269,2017,무사고,검정색,대전,2680,AWD
12026,제네시스,EQ900,3.8 GDI AWD,가솔린,80622,2018,무사고,검정색,광주,9999,AWD
12028,제네시스,EQ900,3.8 GDI AWD,가솔린,219798,2016,무사고,검정색,경기,2350,AWD
12036,제네시스,G80,3.3 GDI AWD,가솔린,35074,2019,무사고,검정색,경기,3890,AWD
12056,제네시스,EQ900,3.8 GDI AWD,가솔린,45372,2018,무사고,검정색,서울,4800,AWD
12075,제네시스,G80,3.3 GDI,가솔린,35174,2019,무사고,검정색,서울,3499,2WD
12092,제네시스,G80,3.3 GDI AWD,가솔린,86856,2018,무사고,검정색,광주,3320,AWD
12093,제네시스,G80,3.3 GDI AWD,가솔린,62676,2017,무사고,검정색,광주,3390,AWD
12096,제네시스,EQ900,3.8 GDI AWD,가솔린,62570,2017,무사고,검정색,서울,3890,AWD
12140,제네시스,G80,3.3 GDI AWD,가솔린,57372,2017,무사고,검정색,경기,3350,AWD
12167,제네시스,G80,3.3 GDI,가솔린,52063,2019,무사고,검정색,인천,4020,2WD
12189,제네시스,G80,3.3 GDI AWD,가솔린,96692,2018,무사고,검정색,경기,2800,AWD
12201,제네시스,EQ900,3.3 T-GDI AWD,가솔린,55293,2017,무사고,검정색,서울,4680,AWD
12206,제네시스,G80,3.3 GDI AWD,가솔린,121847,2018,무사고,검정색,대구,2990,AWD
12208,제네시스,G90,5.0 AWD,가솔린,85077,2019,무사고,검정색,대구,7290,AWD
12215,제네시스,EQ900,3.8 GDI AWD,가솔린,10993,2018,무사고,검정색,경기,6190,AWD
12218,제네시스,G70,3.3T 스포츠 AWD,가솔린,28928,2019,무사고,검정색,서울,4130,AWD
