,brand,name,info,type,km,year,accident,color,location,price,wd
40,지프,글래디에이터,3.6 루비콘,가솔린,6732,2020,무사고,검정색,서울,6199,2WD
69,지프,체로키,2.4 론지튜드 하이 AWD,가솔린,19367,2018,무사고,검정색,경기,2590,AWD
81,지프,컴패스,2.4 론지튜드,가솔린,21001,2019,무사고,검정색,경기,2490,2WD
101,지프,레니게이드,2.4 리미티드,가솔린,6892,2021,무사고,검정색,서울,3250,2WD
116,지프,체로키,3.6 오버랜드,가솔린,10305,2021,무사고,검정색,부산,4990,2WD
122,지프,랭글러,2.0 루비콘 2도어,가솔린,2536,2021,무사고,검정색,부산,5190,2WD
126,지프,체로키,3.6 오버랜드,가솔린,27620,2019,무사고,검정색,서울,4149,2WD
132,지프,체로키,3.6 80주년 에디션,가솔린,1344,2021,무사고,검정색,경기,4950,2WD
138,지프,체로키,3.6 리미티드-X,가솔린,21454,2020,무사고,검정색,경기,4349,2WD
151,지프,체로키,3.6 리미티드-X,가솔린,21454,2020,무사고,검정색,경기,4349,2WD
169,지프,체로키,3.0 디젤 오버랜드서밋,디젤,128505,2015,무사고,검정색,대구,2799,2WD
183,지프,체로키,3.0 디젤 오버랜드서밋,디젤,79130,2016,무사고,검정색,인천,3350,2WD
200,지프,체로키,3.0 디젤 오버랜드서밋,디젤,142799,2014,무사고,검정색,경기,2180,2WD
222,지프,체로키,3.0 디젤 오버랜드서밋,디젤,37505,2018,무사고,검정색,인천,4680,2WD
282,지프,체로키,3.6 리미티드,가솔린,32546,2018,무사고,검정색,경기,3350,2WD
291,지프,체로키,3.6 리미티드,가솔린,163660,2015,무사고,검정색,경기,2190,2WD
368,지프,레니게이드,2.4 리미티드,가솔린,10084,2021,무사고,검정색,인천,3240,2WD
370,지프,랭글러,2.8 디젤 사하라 4도어,디젤,105094,2013,무사고,검정색,경기,2850,2WD
393,지프,체로키,2.4 론지튜드 AWD,가솔린,51496,2017,무사고,검정색,서울,1930,AWD
407,지프,레니게이드,2.0 디젤 트레일호크 AWD,디젤,44200,2018,무사고,검정색,인천,2370,AWD
411,지프,체로키,3.0 디젤 오버랜드서밋,디젤,70709,2015,무사고,검정색,서울,2950,2WD
440,지프,컴패스,2.4 리미티드,가솔린,50487,2014,무사고,검정색,경기,1310,2WD
445,지프,체로키,2.0 디젤 론지튜드 AWD,디젤,123712,2015,무사고,검정색,인천,1550,AWD
446,지프,체로키,2.4 론지튜드 하이 AWD,가솔린,80759,2017,무사고,검정색,경기,2260,AWD
450,지프,체로키,3.0 디젤 오버랜드서밋,디젤,67940,2014,무사고,검정색,경기,3050,2WD
547,지프,체로키,3.6 오버랜드,가솔린,25269,2019,무사고,검정색,경기,3860,2WD
558,지프,랭글러,3.6 루비콘 4도어,가솔린,71987,2016,무사고,검정색,경기,4800,2WD
656,지프,체로키,2.4 론지튜드 AWD,가솔린,57989,2016,무사고,검정색,충북,1990,AWD
658,지프,체로키,3.6 오버랜드,가솔린,6267,2020,무사고,검정색,경기,4890,2WD
692,지프,체로키,2.4 론지튜드 하이 AWD,가솔린,30765,2019,무사고,검정색,광주,2890,AWD
809,지프,랭글러,2.8 디젤 사하라 2도어,디젤,121244,2012,무사고,검정색,서울,2350,2WD
823,지프,레니게이드,2.4 리미티드,가솔린,19259,2019,무사고,검정색,경기,2790,2WD
842,지프,레니게이드,2.0 디젤 리미티드 AWD,디젤,18801,2017,무사고,검정색,경기,2450,AWD
866,지프,체로키,3.0 디젤 오버랜드,디젤,52248,2018,무사고,검정색,인천,3990,2WD
868,지프,랭글러,2.0 오버랜드 4도어,가솔린,15646,2020,무사고,검정색,광주,5700,2WD
870,지프,체로키,2.2 디젤 리미티드 4WD,디젤,48262,2016,무사고,검정색,경기,2450,4WD
941,지프,레니게이드,2.4 리미티드,가솔린,17213,2020,무사고,검정색,경기,2890,2WD
963,지프,랭글러,2.0 오버랜드 4도어,가솔린,21711,2020,무사고,검정색,광주,6200,2WD
968,지프,체로키,3.6 오버랜드,가솔린,19510,2018,무사고,검정색,서울,3750,2WD
