,brand,name,info,type,km,year,accident,color,location,price,wd
127,포드,익스플로러,3.5 리미티드 4WD,가솔린,132319,2014,무사고,검정색,인천,1620,4WD
130,포드,머스탱,쿠페,가솔린,114800,2015,무사고,검정색,경기,2080,2WD
147,포드,익스플로러,2.3 리미티드 4WD,가솔린,9117,2020,무사고,검정색,충북,5170,4WD
236,포드,익스플로러,2.3 리미티드 4WD,가솔린,39312,2018,무사고,검정색,경기,3389,4WD
240,포드,몬데오,2.0 트렌드,디젤,138316,2016,무사고,검정색,경기,999,2WD
256,포드,머스탱,쿠페,가솔린,14831,2020,무사고,검정색,경기,4090,2WD
265,포드,머스탱,컨버터블,가솔린,92389,2012,무사고,검정색,경기,1690,2WD
276,포드,머스탱,GT 쿠페,가솔린,89565,2017,무사고,검정색,대구,3330,2WD
288,포드,토러스,3.5 Limited,가솔린,119339,2013,무사고,검정색,인천,790,2WD
323,포드,몬데오,2.0 트렌드,디젤,61650,2015,무사고,검정색,경기,1370,2WD
340,포드,이스케이프,2.5 XLT,가솔린,160611,2009,무사고,검정색,부산,490,2WD
391,포드,머스탱,쿠페,가솔린,68454,2017,무사고,검정색,경기,2630,2WD
396,포드,토러스,3.5 SEL,가솔린,123363,2011,무사고,검정색,광주,570,2WD
405,포드,토러스,2.0 Limited 에코부스트,가솔린,45951,2018,무사고,검정색,경기,1999,2WD
489,포드,익스플로러,2.3 리미티드 4WD,가솔린,25857,2018,무사고,검정색,경기,3580,4WD
561,포드,토러스,3.5 SEL,가솔린,109618,2013,무사고,검정색,대구,750,2WD
626,포드,익스플로러,2.3 리미티드 4WD,가솔린,88279,2016,무사고,검정색,경기,2580,4WD
646,포드,머스탱,컨버터블,가솔린,72718,2017,무사고,검정색,대구,3490,2WD
665,포드,익스플로러,2.3 리미티드 4WD,가솔린,54122,2016,무사고,검정색,경기,2899,4WD
680,포드,트랜짓,3.5,가솔린,79546,2017,무사고,검정색,서울,3980,2WD
712,포드,머스탱,컨버터블,가솔린,58848,2017,무사고,검정색,경기,3350,2WD
716,포드,익스플로러,2.3 리미티드 4WD,가솔린,31574,2018,무사고,검정색,경기,3470,4WD
721,포드,익스플로러,2.3 리미티드 4WD,가솔린,90084,2016,무사고,검정색,경기,2550,4WD
723,포드,익스플로러,3.5 리미티드 4WD,가솔린,127021,2014,무사고,검정색,충남,1799,4WD
783,포드,머스탱,GT 컨버터블,가솔린,32669,2017,무사고,검정색,서울,4170,2WD
798,포드,머스탱,컨버터블,가솔린,47468,2014,무사고,검정색,경기,3000,2WD
822,포드,F150,6.2L,가솔린,55310,2014,무사고,검정색,서울,5690,2WD
828,포드,토러스,3.5 SEL,가솔린,120711,2011,무사고,검정색,경기,550,2WD
839,포드,익스플로러,2.3 리미티드 4WD,가솔린,85876,2017,무사고,검정색,인천,2880,4WD
844,포드,이스케이프,2.5 XLT,가솔린,190034,2011,무사고,검정색,대구,599,2WD
873,포드,머스탱,쿠페,가솔린,17012,2019,무사고,검정색,서울,3900,2WD
887,포드,E-Series,E-450,가솔린,22544,2006,무사고,검정색,서울,7990,2WD
