,brand,name,info,type,km,year,accident,color,location,price,wd
27,포르쉐,카이엔,3.0 디젤,디젤,77710,2011,무사고,검정색,경기,3699,2WD
67,포르쉐,파나메라,4.0 터보,가솔린,11118,2020,무사고,검정색,서울,24500,2WD
89,포르쉐,파나메라,3.6 AWD 에디션,가솔린,87724,2016,무사고,검정색,서울,6950,AWD
90,포르쉐,파나메라,3.6 2WD,가솔린,102869,2011,무사고,검정색,광주,3880,2WD
206,포르쉐,카이엔,4.2 S 디젤,디젤,115799,2016,무사고,검정색,서울,6499,2WD
209,포르쉐,카이엔,4.8 GTS,가솔린,54650,2013,무사고,검정색,경기,5990,2WD
215,포르쉐,파나메라,3.6 2WD,가솔린,151970,2011,무사고,검정색,경기,3590,2WD
216,포르쉐,파나메라,3.6 2WD,가솔린,93837,2014,무사고,검정색,경기,5790,2WD
237,포르쉐,박스터,2.5 GTS,가솔린,20839,2018,무사고,검정색,경기,11949,2WD
241,포르쉐,파나메라,3.0 AWD,가솔린,43476,2018,무사고,검정색,경기,13500,AWD
289,포르쉐,카이엔,4.5 S,가솔린,159001,2005,무사고,검정색,경기,890,2WD
299,포르쉐,박스터,S 2.5,가솔린,23837,2017,무사고,검정색,경기,10800,2WD
363,포르쉐,911,카레라 4S,가솔린,99453,2008,무사고,검정색,서울,4790,2WD
389,포르쉐,마칸,3.6 터보,가솔린,44949,2014,무사고,검정색,경기,6880,2WD
433,포르쉐,파나메라,4.8 S,가솔린,73040,2010,무사고,검정색,경기,4290,2WD
454,포르쉐,마칸,3.0 S 디젤,디젤,97775,2015,무사고,검정색,경기,5180,2WD
480,포르쉐,파나메라,4.8 GTS,가솔린,133371,2013,무사고,검정색,경기,6140,2WD
496,포르쉐,카이엔,3.0 디젤,디젤,194218,2015,무사고,검정색,경기,4600,2WD
505,포르쉐,마칸,3.6 터보,가솔린,149086,2015,무사고,검정색,경기,5399,2WD
514,포르쉐,파나메라,4.8 터보,가솔린,67013,2012,무사고,검정색,경기,5750,2WD
517,포르쉐,카이엔,3.0 디젤,디젤,142604,2015,무사고,검정색,광주,4650,2WD
579,포르쉐,카이엔,3.0 디젤 플래티넘 에디션,디젤,79780,2017,무사고,검정색,경기,7350,2WD
588,포르쉐,카이맨,S 3.4,가솔린,123961,2007,무사고,검정색,광주,2850,2WD
648,포르쉐,박스터,2.7,가솔린,64358,2016,무사고,검정색,경기,6149,2WD
650,포르쉐,박스터,S 2.5,가솔린,17836,2020,무사고,검정색,경기,11299,2WD
660,포르쉐,카이엔,4.5 S,가솔린,98288,2006,무사고,검정색,경기,1375,2WD
715,포르쉐,카이엔,3.0 디젤,디젤,104039,2016,무사고,검정색,경기,6419,2WD
737,포르쉐,911,카레라 카브리올레,가솔린,43050,2012,무사고,검정색,경기,8970,2WD
748,포르쉐,카이엔,3.0 디젤,디젤,218706,2012,무사고,검정색,경기,2549,2WD
754,포르쉐,카이엔,4.8 S,가솔린,129871,2008,무사고,검정색,부산,1800,2WD
774,포르쉐,파나메라,4.0 GTS,가솔린,31600,2019,무사고,검정색,서울,16300,2WD
831,포르쉐,카이엔,3.0 디젤,디젤,96895,2016,무사고,검정색,경기,9999,2WD
848,포르쉐,박스터,2.7,가솔린,111235,2015,무사고,검정색,경기,5320,2WD
863,포르쉐,카이엔,3.6,가솔린,139381,2012,무사고,검정색,서울,3170,2WD
944,포르쉐,파나메라,4.0 터보,가솔린,18287,2019,무사고,검정색,전북,20490,2WD
1024,포르쉐,파나메라,3.6 AWD,가솔린,138534,2012,무사고,검정색,경기,3980,AWD
1088,포르쉐,박스터,2.5 GTS,가솔린,33266,2019,무사고,검정색,서울,11500,2WD
1107,포르쉐,카이엔,3.0,가솔린,2696,2020,무사고,검정색,서울,12850,2WD
1113,포르쉐,카이엔,3.2,가솔린,191654,2006,무사고,검정색,충남,950,2WD
1272,포르쉐,파나메라,4.8 GTS,가솔린,153714,2013,무사고,검정색,경기,5450,2WD
1302,포르쉐,박스터,2.7,가솔린,94999,2013,무사고,검정색,인천,5500,2WD
1342,포르쉐,카이엔,3.0 디젤,디젤,104678,2013,무사고,검정색,서울,4200,2WD
1369,포르쉐,911,카레라 4 블랙에디션,가솔린,38167,2016,무사고,검정색,경기,10700,2WD
1452,포르쉐,파나메라,3.6 AWD,가솔린,76894,2013,무사고,검정색,경기,4280,AWD
1496,포르쉐,카이엔,3.0 디젤 플래티넘 에디션,디젤,80012,2017,무사고,검정색,경기,6950,2WD
1504,포르쉐,카이엔,3.6,가솔린,92887,2012,무사고,검정색,경기,3930,2WD
1557,포르쉐,파나메라,2.9 AWD E-하이브리드,가솔린+전기,20326,2018,무사고,검정색,부산,14650,AWD
1575,포르쉐,카이엔,3.0 디젤,디젤,156029,2012,무사고,검정색,충북,3250,2WD
1582,포르쉐,파나메라,2.9 4S,가솔린,34440,2018,무사고,검정색,서울,13900,2WD
1585,포르쉐,파나메라,2.9 4S,가솔린,3098,2018,무사고,검정색,서울,15900,2WD
1601,포르쉐,파나메라,4.8 터보,가솔린,131942,2010,무사고,검정색,경기,4980,2WD
1651,포르쉐,박스터,S 2.5,가솔린,66719,2017,무사고,검정색,경기,9000,2WD
1661,포르쉐,파나메라,3.0 AWD,가솔린,67698,2018,무사고,검정색,서울,12400,AWD
1727,포르쉐,911,터보 S,가솔린,33084,2015,무사고,검정색,경기,16361,2WD
1775,포르쉐,카이엔,3.6,가솔린,109214,2012,무사고,검정색,경기,3810,2WD
1795,포르쉐,마칸,3.0 S 디젤,디젤,77125,2015,무사고,검정색,경기,5570,2WD
1847,포르쉐,파나메라,3.6 AWD,가솔린,121565,2011,무사고,검정색,울산,3550,AWD
1862,포르쉐,카이엔,3.0 디젤,디젤,93374,2014,무사고,검정색,부산,5150,2WD
1874,포르쉐,카이엔,3.0,가솔린,22894,2020,무사고,검정색,부산,13650,2WD
1877,포르쉐,박스터,S 3.4,가솔린,64514,2011,무사고,검정색,경기,4790,2WD
1902,포르쉐,박스터,2.7,가솔린,83116,2016,무사고,검정색,경기,5800,2WD
1910,포르쉐,카이엔,3.0 디젤,디젤,83090,2016,무사고,검정색,경기,6850,2WD
1912,포르쉐,카이엔,3.0 디젤,디젤,138173,2013,무사고,검정색,경기,3290,2WD
1949,포르쉐,파나메라,3.0 AWD,가솔린,46723,2018,무사고,검정색,경기,12799,AWD
1958,포르쉐,파나메라,3.6 AWD,가솔린,96305,2012,무사고,검정색,경기,4390,AWD
1965,포르쉐,911,터보 카브리올레,가솔린,28662,2010,무사고,검정색,서울,10700,2WD
1973,포르쉐,카이엔,3.0 디젤,디젤,240779,2011,무사고,검정색,대구,2450,2WD
1978,포르쉐,파나메라,3.6 AWD 에디션,가솔린,80794,2016,무사고,검정색,경기,6750,AWD
1993,포르쉐,파나메라,3.6 2WD,가솔린,148656,2011,무사고,검정색,인천,3550,2WD
2018,포르쉐,파나메라,4.8 4S,가솔린,103492,2011,무사고,검정색,대구,4200,2WD
2091,포르쉐,카이엔,3.6 GTS,가솔린,46535,2017,무사고,검정색,경기,9999,2WD
2095,포르쉐,카이엔,4.5 S,가솔린,151462,2005,무사고,검정색,경기,830,2WD
2141,포르쉐,카이맨,S 3.4,가솔린,86748,2007,무사고,검정색,서울,2990,2WD
2167,포르쉐,박스터,2.7,가솔린,108452,2015,무사고,검정색,경기,5280,2WD
2180,포르쉐,카이엔,3.0 쿠페,가솔린,2617,2021,무사고,검정색,서울,17200,2WD
2191,포르쉐,파나메라,3.6 AWD 에디션,가솔린,137189,2016,무사고,검정색,경기,6000,AWD
2219,포르쉐,파나메라,4.8 4S,가솔린,77818,2011,무사고,검정색,경기,5000,2WD
2220,포르쉐,파나메라,4.0 터보,가솔린,60008,2018,무사고,검정색,경기,17999,2WD
2289,포르쉐,카이엔,3.6 GTS,가솔린,152669,2017,무사고,검정색,서울,6790,2WD
2303,포르쉐,카이엔,3.0 디젤 플래티넘 에디션,디젤,125268,2014,무사고,검정색,서울,3890,2WD
2348,포르쉐,카이엔,4.5 터보,가솔린,174983,2006,무사고,검정색,경기,1480,2WD
2378,포르쉐,카이엔,3.0 디젤 플래티넘 에디션,디젤,137222,2014,무사고,검정색,경기,4200,2WD
2388,포르쉐,카이엔,4.0 터보 쿠페,가솔린,21304,2020,무사고,검정색,서울,20000,2WD
2415,포르쉐,카이엔,3.0 디젤,디젤,183494,2011,무사고,검정색,경기,2680,2WD
2433,포르쉐,911,터보 S,가솔린,29273,2014,무사고,검정색,경기,14200,2WD
2505,포르쉐,카이엔,3.0 디젤,디젤,104899,2015,무사고,검정색,경기,4999,2WD
2531,포르쉐,911,카레라 4S,가솔린,71100,2013,무사고,검정색,대구,9250,2WD
2576,포르쉐,카이엔,4.2 S 디젤,디젤,111360,2015,무사고,검정색,경기,7299,2WD
2577,포르쉐,911,터보 S,가솔린,9151,2021,무사고,검정색,서울,29000,2WD
2603,포르쉐,박스터,2.5 GTS,가솔린,28211,2018,무사고,검정색,경기,10890,2WD
2608,포르쉐,카이엔,3.0 디젤,디젤,124094,2014,무사고,검정색,서울,3850,2WD
2624,포르쉐,파나메라,3.0 AWD,가솔린,1703,2020,무사고,검정색,경기,16000,AWD
2625,포르쉐,파나메라,3.0 AWD,가솔린,43582,2018,무사고,검정색,경기,11913,AWD
2632,포르쉐,카이엔,4.0 터보,가솔린,3044,2021,무사고,검정색,서울,20400,2WD
2707,포르쉐,파나메라,3.0 디젤 에디션,디젤,182095,2016,무사고,검정색,인천,6150,2WD
2708,포르쉐,파나메라,2.9 4S,가솔린,60167,2017,무사고,검정색,충북,13200,2WD
2714,포르쉐,파나메라,4.0 터보,가솔린,25180,2018,무사고,검정색,대구,15600,2WD
2771,포르쉐,카이엔,3.0 S E-하이브리드,가솔린+전기,90687,2015,무사고,흰색,경기,6400,2WD
2773,포르쉐,파나메라,4.8 GTS,가솔린,127708,2014,무사고,흰색,경기,6899,2WD
2788,포르쉐,카이엔,3.0 디젤 플래티넘 에디션,디젤,75553,2017,무사고,흰색,부산,7430,2WD
2923,포르쉐,카이엔,3.0 디젤 플래티넘 에디션,디젤,73419,2014,무사고,흰색,서울,5180,2WD
3009,포르쉐,박스터,S 2.5,가솔린,74477,2017,무사고,흰색,경기,8750,2WD
3108,포르쉐,카이엔,4.8 터보,가솔린,140484,2009,무사고,흰색,대구,4100,2WD
3219,포르쉐,박스터,2.5 GTS,가솔린,20193,2018,무사고,흰색,경기,12000,2WD
3222,포르쉐,마칸,3.0 S 디젤,디젤,37790,2017,무사고,흰색,경기,7899,2WD
3294,포르쉐,카이엔,4.0 터보,가솔린,5268,2020,무사고,흰색,경기,19450,2WD
3326,포르쉐,파나메라,3.6 AWD,가솔린,197705,2013,무사고,흰색,경기,3150,AWD
3327,포르쉐,카이엔,3.0 S E-하이브리드,가솔린+전기,173092,2015,무사고,흰색,경기,5450,2WD
3355,포르쉐,카이엔,4.8 GTS,가솔린,151285,2014,무사고,흰색,경기,4999,2WD
3378,포르쉐,박스터,2.0,가솔린,49035,2019,무사고,흰색,서울,8300,2WD
3382,포르쉐,박스터,2.5 GTS,가솔린,68542,2018,무사고,흰색,대구,9780,2WD
3426,포르쉐,카이엔,3.0 쿠페,가솔린,8331,2020,무사고,흰색,충북,13000,2WD
3463,포르쉐,카이엔,3.0 디젤 플래티넘 에디션,디젤,57809,2017,무사고,흰색,서울,7850,2WD
3482,포르쉐,마칸,3.0 S 디젤,디젤,61329,2015,무사고,흰색,대구,5999,2WD
3484,포르쉐,카이엔,3.0 디젤,디젤,152423,2011,무사고,흰색,경기,2990,2WD
3488,포르쉐,파나메라,4.8 4S,가솔린,87207,2010,무사고,흰색,광주,5590,2WD
3524,포르쉐,박스터,2.0,가솔린,35571,2017,무사고,흰색,서울,8100,2WD
3577,포르쉐,파나메라,2.9 AWD E-하이브리드,가솔린+전기,37696,2018,무사고,흰색,서울,14950,AWD
3617,포르쉐,박스터,S 3.4,가솔린,102598,2015,무사고,흰색,경기,6090,2WD
3689,포르쉐,박스터,S 2.5,가솔린,34119,2017,무사고,흰색,경기,9780,2WD
3749,포르쉐,파나메라,3.0 디젤,디젤,160959,2013,무사고,흰색,부산,4190,2WD
3793,포르쉐,카이엔,3.0 디젤,디젤,119373,2016,무사고,흰색,부산,6250,2WD
3865,포르쉐,마칸,3.0 S 디젤,디젤,54996,2015,무사고,흰색,경기,6350,2WD
3876,포르쉐,마칸,3.6 터보,가솔린,57814,2014,무사고,흰색,경기,7399,2WD
3878,포르쉐,파나메라,3.0 AWD,가솔린,37656,2018,무사고,흰색,대구,13480,AWD
3883,포르쉐,박스터,S 3.4,가솔린,104740,2013,무사고,흰색,대구,5790,2WD
3903,포르쉐,카이엔,3.0 디젤,디젤,134250,2013,무사고,흰색,경기,3350,2WD
4072,포르쉐,마칸,3.0 S 디젤,디젤,19857,2017,무사고,흰색,서울,8150,2WD
4119,포르쉐,마칸,3.0 GTS,가솔린,67665,2018,무사고,흰색,광주,8590,2WD
4182,포르쉐,파나메라,3.6 AWD,가솔린,136958,2011,무사고,흰색,인천,3580,AWD
4206,포르쉐,카이엔,3.0 디젤,디젤,69197,2016,무사고,흰색,서울,7040,2WD
4210,포르쉐,911,터보,가솔린,56101,2014,무사고,흰색,서울,12370,2WD
4345,포르쉐,카이엔,4.0 터보 쿠페,가솔린,17335,2020,무사고,흰색,서울,20000,2WD
4367,포르쉐,카이엔,3.0 디젤,디젤,118422,2013,무사고,흰색,경기,4300,2WD
4407,포르쉐,마칸,3.0 S 디젤,디젤,179355,2016,무사고,흰색,광주,4660,2WD
