,brand,name,info,type,km,year,accident,color,location,price,wd
6,폭스바겐,티구안,2.0 TDI 컴포트,디젤,54368,2015,무사고,검정색,경기,1670,2WD
7,폭스바겐,아테온,2.0 TDI 프레스티지 4모션,디젤,11715,2020,무사고,검정색,광주,4320,2WD
12,폭스바겐,티구안,2.0 TDI 컴포트,디젤,45063,2015,무사고,검정색,경기,1590,2WD
17,폭스바겐,뉴 CC,2.0 TDI 블루모션 4모션,디젤,124915,2014,무사고,검정색,서울,1249,2WD
46,폭스바겐,파사트,2.0 TDI 프리미엄,디젤,118224,2008,무사고,검정색,부산,430,2WD
60,폭스바겐,티구안,2.0 TDI 컴포트,디젤,56266,2016,무사고,검정색,경기,1690,2WD
83,폭스바겐,티구안,2.0 TDI 프리미엄,디젤,181162,2013,무사고,검정색,서울,920,2WD
91,폭스바겐,티구안,2.0 TDI 4모션 프레스티지,디젤,2243,2020,무사고,검정색,경기,3970,2WD
93,폭스바겐,CC,2.0 TSI,가솔린,144500,2009,무사고,검정색,경기,520,2WD
94,폭스바겐,뉴 CC,2.0 TDI 블루모션 R라인,디젤,174882,2015,무사고,검정색,경기,1090,2WD
124,폭스바겐,아테온,2.0 TDI 프레스티지,디젤,33322,2019,무사고,검정색,경기,3649,2WD
155,폭스바겐,페이톤,V6 3.0 TDI,디젤,193035,2013,무사고,검정색,서울,1130,2WD
201,폭스바겐,티구안,2.0 TDI 프레스티지,디젤,78621,2018,무사고,검정색,서울,2790,2WD
212,폭스바겐,투아렉,V6 3.0 TDI 블루모션,디젤,159154,2015,무사고,검정색,부산,2590,2WD
252,폭스바겐,투아렉,V6 3.0 TDI 블루모션 프리미엄,디젤,171940,2015,무사고,검정색,대구,2750,2WD
261,폭스바겐,파사트,2.0 TDI,디젤,138739,2015,무사고,검정색,경기,999,2WD
269,폭스바겐,골프,1.6 TDI 블루모션,디젤,91772,2012,무사고,검정색,경기,760,2WD
334,폭스바겐,폴로,1.6 TDI R-Line,디젤,84079,2014,무사고,검정색,대구,859,2WD
336,폭스바겐,골프,2.0 GTD,디젤,101819,2010,무사고,검정색,경기,850,2WD
345,폭스바겐,골프,2.0 TDI,디젤,80175,2010,무사고,검정색,경기,720,2WD
358,폭스바겐,뉴 CC,2.0 TDI 블루모션,디젤,68668,2015,무사고,검정색,경기,1720,2WD
395,폭스바겐,티구안,2.0 TDI 프레스티지,디젤,9508,2020,무사고,검정색,경기,3690,2WD
397,폭스바겐,투아렉,V6 3.0 TDI 블루모션,디젤,117120,2015,무사고,검정색,경기,2870,2WD
398,폭스바겐,골프,1.6 TDI,디젤,121981,2015,무사고,검정색,경기,990,2WD
429,폭스바겐,티구안,2.0 TDI R-라인,디젤,90062,2015,무사고,검정색,경기,1730,2WD
438,폭스바겐,투아렉,V6 3.0 TDI 블루모션,디젤,166033,2013,무사고,검정색,경기,2000,2WD
486,폭스바겐,파사트,2.0 TDI,디젤,75490,2015,무사고,검정색,경기,1299,2WD
509,폭스바겐,폴로,1.4 TDI R-Line,디젤,127766,2015,무사고,검정색,경기,820,2WD
627,폭스바겐,골프,2.0 GTI,가솔린,164085,2014,무사고,검정색,대구,1550,2WD
634,폭스바겐,아테온,2.0 TDI 프레스티지 4모션,디젤,23909,2020,무사고,검정색,경기,3999,2WD
651,폭스바겐,티구안,2.0 TDI 프레스티지,디젤,14651,2020,무사고,검정색,경기,3720,2WD
659,폭스바겐,뉴 CC,2.0 TDI 블루모션 R라인,디젤,197174,2014,무사고,검정색,경기,1080,2WD
679,폭스바겐,파사트,2.0 TDI Sport,디젤,253829,2007,무사고,검정색,부산,350,2WD
682,폭스바겐,투아렉,V6 3.0 TDI 블루모션,디젤,201019,2013,무사고,검정색,부산,1600,2WD
707,폭스바겐,제타,1.4 TSI 프리미엄,가솔린,6783,2020,무사고,검정색,서울,2590,2WD
745,폭스바겐,GT,2.0 TDI 프리미엄,디젤,61834,2018,무사고,검정색,서울,2530,2WD
759,폭스바겐,아테온,2.0 TDI 프레스티지,디젤,48531,2019,무사고,검정색,경기,3720,2WD
778,폭스바겐,폴로,1.6 TDI R-Line,디젤,115872,2013,무사고,검정색,대구,799,2WD
796,폭스바겐,티구안,2.0 TDI 프리미엄,디젤,33323,2016,무사고,검정색,서울,2299,2WD
800,폭스바겐,비틀,2.0 TDI 클럽 리미티드 에디션,디젤,40449,2015,무사고,검정색,경기,1800,2WD
826,폭스바겐,GT,2.0 TDI 프레스티지,디젤,53899,2018,무사고,검정색,부산,2670,2WD
847,폭스바겐,티구안,2.0 TDI 컴포트,디젤,58799,2015,무사고,검정색,경기,1650,2WD
853,폭스바겐,티구안,2.0 TDI 프리미엄,디젤,6116,2020,무사고,검정색,경기,3300,2WD
919,폭스바겐,파사트,2.0 TSI,가솔린,22068,2018,무사고,검정색,부산,2080,2WD
920,폭스바겐,티구안,2.0 TDI 프리미엄,디젤,18207,2020,무사고,검정색,부산,3290,2WD
930,폭스바겐,비틀,2.0 TDI 프리미엄,디젤,138906,2014,무사고,검정색,경기,1290,2WD
948,폭스바겐,비틀,2.0 TDI,디젤,127621,2015,무사고,검정색,대전,1150,2WD
988,폭스바겐,비틀,2.0 TDI,디젤,46528,2013,무사고,검정색,경기,1620,2WD
991,폭스바겐,투아렉,V6 3.0 TDI 블루모션 프리미엄,디젤,124419,2016,무사고,검정색,경기,3290,2WD
1004,폭스바겐,파사트,2.0 TDI,디젤,152080,2013,무사고,검정색,경기,730,2WD
1025,폭스바겐,뉴 CC,2.0 TDI 블루모션,디젤,109275,2016,무사고,검정색,부산,1490,2WD
1033,폭스바겐,골프,2.0 GTI 5도어,가솔린,139781,2009,무사고,검정색,경기,820,2WD
1037,폭스바겐,GT,2.0 TDI 프레스티지,디젤,35800,2018,무사고,검정색,충북,3100,2WD
1057,폭스바겐,골프,2.0 GTI 5도어,가솔린,192394,2011,무사고,검정색,대전,1090,2WD
1081,폭스바겐,티구안,2.0 TDI 프레스티지,디젤,32141,2020,무사고,검정색,경기,3490,2WD
1094,폭스바겐,폴로,1.4 TDI R-Line,디젤,120247,2015,무사고,검정색,광주,850,2WD
1106,폭스바겐,투아렉,V6 3.0 TDI 블루모션,디젤,125045,2016,무사고,검정색,서울,2950,2WD
1127,폭스바겐,파사트,2.0 TSI,가솔린,67820,2018,무사고,검정색,경기,1890,2WD
1142,폭스바겐,아테온,2.0 TDI 프레스티지,디젤,27223,2019,무사고,검정색,서울,3780,2WD
1159,폭스바겐,제타,1.4 TSI 프리미엄,가솔린,5635,2020,무사고,검정색,경기,2560,2WD
1160,폭스바겐,파사트,2.0 TSI,가솔린,33139,2018,무사고,검정색,경기,1990,2WD
1172,폭스바겐,GT,2.0 TDI 프리미엄,디젤,72762,2018,무사고,검정색,대전,2520,2WD
1174,폭스바겐,티구안,2.0 TDI 프레스티지,디젤,21466,2020,무사고,검정색,경기,3470,2WD
1203,폭스바겐,티구안,2.0 TDI 프레스티지,디젤,18106,2018,무사고,검정색,경기,3590,2WD
1213,폭스바겐,티구안,2.0 TDI 프레스티지,디젤,9442,2020,무사고,검정색,경기,3560,2WD
1235,폭스바겐,골프,1.4 TSI,가솔린,150085,2011,무사고,검정색,인천,680,2WD
1241,폭스바겐,티구안,2.0 TDI,디젤,54545,2018,무사고,검정색,경기,2620,2WD
1249,폭스바겐,골프,1.4 TSI,가솔린,114599,2011,무사고,검정색,울산,830,2WD
1263,폭스바겐,골프,2.0 TDI 스타일에디션,디젤,64654,2013,무사고,검정색,서울,920,2WD
1267,폭스바겐,골프,2.0 TDI,디젤,150891,2012,무사고,검정색,경기,590,2WD
