,brand,name,info,type,km,year,accident,color,location,price,wd
11814,현대,에쿠스,VS500,가솔린,250703,2012,무사고,검정색,경기,920,2WD
11820,현대,그랜저,3.0 익스클루시브,가솔린,74482,2017,무사고,검정색,경기,2030,2WD
11823,현대,제네시스,G330 모던 AWD,가솔린,148637,2016,무사고,검정색,경기,1800,AWD
11825,현대,그랜저,HG220 디젤 프리미엄,디젤,101095,2015,무사고,검정색,대구,1480,2WD
11829,현대,그랜저,HG300 프리미엄,가솔린,191227,2016,무사고,검정색,경기,930,2WD
11832,현대,쏘나타,LPI 스마트,LPG(일반인 구입),150702,2016,무사고,검정색,충남,999,2WD
11833,현대,에쿠스,VS380,가솔린,110155,2011,무사고,검정색,경기,1150,2WD
11843,현대,제네시스,G330 모던,가솔린,71708,2015,무사고,검정색,경기,2130,2WD
11845,현대,투싼,디젤 1.7 2WD,디젤,62316,2017,무사고,검정색,경기,2000,2WD
11849,현대,스타렉스,3인승 밴,디젤,123976,2009,무사고,검정색,충북,730,2WD
11853,현대,아슬란,G330 프리미엄,가솔린,150452,2015,무사고,검정색,대구,1555,2WD
11858,현대,그랜저,HG300 프라임,가솔린,59260,2012,무사고,검정색,경기,1150,2WD
11861,현대,그랜저,LPG HG300 모던,LPG(일반인 구입),153940,2017,무사고,검정색,대구,1250,2WD
11863,현대,그랜저,HG220 디젤 프리미엄,디젤,176622,2015,무사고,검정색,충남,1129,2WD
11866,현대,그랜저,2.4 프리미엄,가솔린,53742,2019,무사고,검정색,경기,2350,2WD
11867,현대,그랜저,LPG HG300 모던,LPG(일반인 구입),201169,2013,무사고,검정색,경기,880,2WD
11868,현대,그랜저,LPG HG300 모던,LPG(일반인 구입),240832,2015,무사고,검정색,경기,800,2WD
11869,현대,그랜저,LPG HG300 장애인용,LPG(일반인 구입),124772,2012,무사고,검정색,서울,1200,2WD
11880,현대,제네시스,G330 프리미엄 AWD,가솔린,178109,2014,무사고,검정색,대구,1749,AWD
11881,현대,쏘나타,Y20 프라임,가솔린,202881,2010,무사고,검정색,대전,470,2WD
11884,현대,그랜저,Q270 럭셔리,가솔린,138258,2009,무사고,검정색,경기,350,2WD
11885,현대,제네시스,380 GT-RW,가솔린,62269,2011,무사고,검정색,전북,1250,2WD
11886,현대,쏘나타,2.0,가솔린,17041,2020,무사고,검정색,경기,2580,2WD
11889,현대,벨로스터,2.0 N,가솔린,13165,2021,무사고,검정색,경기,2900,2WD
11891,현대,그랜저,HG300 익스클루시브,가솔린,83936,2016,무사고,검정색,경기,1580,2WD
11896,현대,싼타페,디젤(e-VGT) 2.2 4WD 익스클루시브,디젤,143978,2015,무사고,검정색,경기,1640,4WD
11900,현대,그랜저,2.4 익스클루시브,가솔린,54496,2019,무사고,검정색,인천,2799,2WD
11907,현대,제네시스,G330 프리미엄,가솔린,68318,2015,무사고,검정색,대구,2590,2WD
11911,현대,그랜저,LPG HG300 모던,LPG(일반인 구입),97146,2015,무사고,검정색,대구,1490,2WD
11912,현대,그랜저,3.0 익스클루시브,가솔린,72269,2017,무사고,검정색,경기,1980,2WD
11914,현대,에쿠스,JS330,가솔린,116590,2007,무사고,검정색,대구,390,2WD
11919,현대,그랜저,2.4 프리미엄,가솔린,29029,2019,무사고,검정색,경기,2550,2WD
11921,현대,제네시스,3.8 수출형,가솔린,153551,2013,무사고,검정색,경기,950,2WD
11926,현대,쏘나타,2.0 스타일,가솔린,70346,2018,무사고,검정색,전북,1399,2WD
11930,현대,쏘나타,2.0 터보 익스클루시브,가솔린,76475,2015,무사고,검정색,경기,1690,2WD
11931,현대,그랜저,HG300 프라임,가솔린,171837,2012,무사고,검정색,경기,810,2WD
11935,현대,에쿠스,VS380,가솔린,114968,2012,무사고,검정색,서울,1490,2WD
11938,현대,그랜저,2.5,가솔린,1525,2020,무사고,검정색,광주,3900,2WD
11939,현대,쏘나타,CVVL 스마트,가솔린,86621,2013,무사고,검정색,대전,950,2WD
11940,현대,그랜저,HG240 모던,가솔린,118106,2014,무사고,검정색,경기,1120,2WD
11942,현대,쏘나타,LPI 탑,LPG(일반인 구입),138254,2010,무사고,검정색,대구,550,2WD
11943,현대,그랜저,익스클루시브,가솔린+전기,20387,2020,무사고,검정색,서울,3920,2WD
11946,현대,팰리세이드,가솔린 3.8 4WD,가솔린,31661,2019,무사고,검정색,서울,3490,4WD
11947,현대,그랜저,HG240 럭셔리,가솔린,97818,2011,무사고,검정색,충남,830,2WD
11948,현대,그랜저,Q270 프리미어,가솔린,64505,2009,무사고,검정색,서울,660,2WD
11952,현대,그랜저,HG300 익스클루시브,가솔린,204821,2014,무사고,검정색,경기,860,2WD
11961,현대,그랜저,HG240 스페셜,가솔린,156834,2015,무사고,검정색,경기,1190,2WD
11962,현대,제네시스,BH330 프리미엄,가솔린,102679,2013,무사고,검정색,충남,1340,2WD
11968,현대,에쿠스,VS380,가솔린,249352,2010,무사고,검정색,경기,670,2WD
11969,현대,그랜저,HG240 모던,가솔린,78201,2016,무사고,검정색,서울,1590,2WD
