,brand,name,type,km,year,accident,color,location,price,wd,trim
0,르노삼성,M6,LPG,100759,2017,무사고,검정색,전북,1180,2WD,1.0
1,르노삼성,SM7,가솔린,152307,2012,무사고,검정색,경기,600,2WD,3.0
2,르노삼성,M5,가솔린,76160,2011,무사고,검정색,서울,450,2WD,1.0
4,르노삼성,M5,가솔린,23607,2017,무사고,검정색,경기,1250,2WD,1.0
5,르노삼성,M6,가솔린,75270,2018,무사고,검정색,경기,1850,2WD,3.0
6,르노삼성,SM7,가솔린,149644,2011,무사고,검정색,대구,490,2WD,3.0
7,르노삼성,M5,디젤,133629,2011,무사고,검정색,대구,760,4WD,3.0
8,르노삼성,M5,가솔린,191363,2008,무사고,검정색,경기,240,2WD,2.0
10,르노삼성,M3,가솔린,87449,2012,무사고,검정색,충남,459,2WD,1.0
11,르노삼성,M3,디젤,33398,2018,무사고,검정색,서울,1610,2WD,3.0
12,르노삼성,M5,가솔린,71718,2011,무사고,검정색,경기,550,2WD,2.0
13,르노삼성,M6,가솔린,36218,2016,무사고,검정색,경기,1500,2WD,2.0
14,르노삼성,M6,LPG,88594,2016,무사고,검정색,경기,1490,2WD,3.0
15,르노삼성,M5,가솔린,96765,2008,무사고,검정색,경기,250,2WD,1.0
17,르노삼성,M6,디젤,43693,2017,무사고,검정색,부산,1980,2WD,3.0
18,르노삼성,M6,가솔린,74672,2017,무사고,검정색,경기,1050,2WD,1.0
19,르노삼성,M6,가솔린,55438,2019,무사고,검정색,충남,1590,2WD,3.0
20,르노삼성,M5,LPG,79841,2007,무사고,검정색,대구,299,2WD,1.0
21,르노삼성,SM7,가솔린,111308,2012,무사고,검정색,경기,690,2WD,3.0
22,르노삼성,M5,LPG,151719,2011,무사고,검정색,광주,515,2WD,2.0
23,르노삼성,M3,디젤,50418,2015,무사고,검정색,울산,1050,2WD,3.0
24,르노삼성,M3,가솔린,170080,2012,무사고,검정색,충남,330,2WD,2.0
25,르노삼성,M3,디젤,96558,2014,무사고,검정색,서울,869,2WD,3.0
26,르노삼성,M6,가솔린,38641,2019,무사고,검정색,경기,2080,2WD,3.0
27,르노삼성,M6,가솔린,74463,2017,무사고,검정색,경기,1620,2WD,3.0
29,르노삼성,SM7,가솔린,240353,2010,무사고,검정색,대구,259,2WD,1.0
30,르노삼성,M6,디젤,24994,2017,무사고,검정색,경기,2040,2WD,3.0
31,르노삼성,M3,디젤,101718,2016,무사고,검정색,충남,899,2WD,3.0
32,르노삼성,M3,가솔린,103798,2013,무사고,검정색,경기,430,2WD,1.0
33,르노삼성,M6,가솔린,26397,2019,무사고,검정색,경기,2160,2WD,3.0
34,르노삼성,M5,가솔린,36721,2016,무사고,검정색,서울,1130,2WD,2.0
35,르노삼성,M5,가솔린,155059,2011,무사고,검정색,경기,430,2WD,1.0
37,르노삼성,SM7,가솔린,167062,2013,무사고,검정색,전북,620,2WD,2.0
38,르노삼성,M6,LPG,89837,2017,무사고,검정색,광주,1250,2WD,1.0
39,르노삼성,M5,LPG,172637,2009,무사고,검정색,경기,299,2WD,1.0
40,르노삼성,M5,가솔린,255643,2010,무사고,검정색,광주,199,2WD,1.0
42,르노삼성,M3,디젤,121570,2015,무사고,검정색,경기,840,2WD,2.0
43,르노삼성,M6,LPG,127918,2019,무사고,검정색,광주,1190,2WD,1.0
44,르노삼성,M3,가솔린,50180,2015,무사고,검정색,경기,880,2WD,3.0
48,르노삼성,M5,가솔린,153079,2011,무사고,검정색,대구,399,2WD,1.0
50,르노삼성,M6,가솔린,36643,2019,무사고,검정색,경기,1795,2WD,3.0
51,르노삼성,SM7,가솔린,78126,2014,무사고,검정색,부산,990,2WD,3.0
52,르노삼성,M6,가솔린,84661,2018,무사고,검정색,대구,1890,2WD,3.0
53,르노삼성,M3,디젤,127780,2015,무사고,검정색,충남,819,2WD,3.0
54,르노삼성,M3,가솔린,24034,2020,무사고,검정색,서울,2190,2WD,3.0
56,르노삼성,M5,가솔린,72415,2011,무사고,검정색,경기,599,2WD,2.0
57,르노삼성,M5,가솔린,217026,2008,무사고,검정색,전북,199,2WD,2.0
58,르노삼성,M5,가솔린,107300,2014,무사고,검정색,충남,680,2WD,1.0
59,르노삼성,SM7,가솔린,144293,2015,무사고,검정색,대구,899,2WD,2.0
60,르노삼성,M6,디젤,50538,2017,무사고,검정색,경기,1995,2WD,3.0
61,르노삼성,M6,LPG,195270,2017,무사고,검정색,경기,732,2WD,1.0
62,르노삼성,M6,LPG,32986,2020,무사고,검정색,대전,2530,2WD,3.0
63,르노삼성,M5,가솔린,104560,2014,무사고,검정색,부산,630,2WD,2.0
64,르노삼성,SM7,가솔린,173119,2008,무사고,검정색,전북,390,2WD,2.0
65,르노삼성,M3,가솔린,135089,2012,무사고,검정색,울산,350,2WD,1.0
66,르노삼성,M5,가솔린,145341,2013,무사고,검정색,대전,650,2WD,2.0
67,르노삼성,M3,가솔린,36690,2020,무사고,검정색,인천,2070,2WD,3.0
68,르노삼성,M6,가솔린,63383,2016,무사고,검정색,서울,1380,2WD,2.0
69,르노삼성,SM7,가솔린,218977,2011,무사고,검정색,경기,299,2WD,1.0
70,르노삼성,M5,가솔린,113861,2018,무사고,검정색,경기,950,2WD,1.0
71,르노삼성,M6,디젤,95394,2017,무사고,검정색,울산,1760,2WD,3.0
72,르노삼성,M3,가솔린,52156,2013,무사고,검정색,서울,650,2WD,1.0
73,르노삼성,M3,가솔린,137217,2008,무사고,검정색,경기,230,2WD,1.0
74,르노삼성,M6,디젤,21292,2018,무사고,검정색,경기,2490,4WD,3.0
75,르노삼성,M6,디젤,130028,2019,무사고,검정색,경기,1299,2WD,2.0
77,르노삼성,M6,가솔린,4259,2021,무사고,검정색,광주,2420,2WD,2.0
78,르노삼성,M3,가솔린,20225,2020,무사고,검정색,충남,2169,2WD,3.0
79,르노삼성,M5,가솔린,95098,2008,무사고,검정색,울산,299,2WD,2.0
82,르노삼성,M5,가솔린,75128,2010,무사고,검정색,경기,550,2WD,3.0
83,르노삼성,M3,가솔린,17940,2020,무사고,검정색,경기,2299,2WD,3.0
85,르노삼성,SM7,가솔린,56517,2015,무사고,검정색,경기,1460,2WD,3.0
86,르노삼성,SM7,가솔린,135062,2009,무사고,검정색,경기,390,2WD,2.0
87,르노삼성,M5,가솔린,145027,2010,무사고,검정색,울산,380,2WD,2.0
88,르노삼성,M5,LPG,57603,2015,무사고,검정색,전북,1079,2WD,3.0
89,르노삼성,M6,디젤,125734,2017,무사고,검정색,대전,1380,2WD,2.0
90,르노삼성,M5,디젤,163964,2012,무사고,검정색,경기,610,2WD,3.0
93,르노삼성,M6,가솔린,33756,2017,무사고,검정색,경기,1740,2WD,3.0
94,르노삼성,M6,가솔린,76457,2016,무사고,검정색,전북,1330,2WD,2.0
95,르노삼성,M6,LPG,34139,2020,무사고,검정색,광주,1890,2WD,3.0
96,르노삼성,M5,가솔린,159472,2011,무사고,검정색,서울,300,2WD,2.0
97,르노삼성,M6,디젤,55125,2019,무사고,검정색,경기,1380,2WD,1.0
98,르노삼성,M6,가솔린,38843,2017,무사고,검정색,대구,1499,2WD,3.0
100,르노삼성,M6,가솔린,157569,2017,무사고,검정색,대전,999,2WD,1.0
101,르노삼성,M6,LPG,64126,2019,무사고,검정색,광주,1499,2WD,1.0
102,르노삼성,M5,가솔린,90529,2014,무사고,검정색,경기,950,2WD,2.0
103,르노삼성,SM7,가솔린,87940,2015,무사고,검정색,경기,1150,2WD,2.0
104,르노삼성,M6,LPG,38191,2017,무사고,검정색,충남,1389,2WD,1.0
105,르노삼성,M6,LPG,58523,2019,무사고,검정색,전북,1690,2WD,2.0
106,르노삼성,M5,가솔린,112854,2010,무사고,검정색,충남,319,2WD,2.0
107,르노삼성,M6,LPG,109015,2016,무사고,검정색,경기,1100,2WD,2.0
108,르노삼성,M6,디젤,75993,2017,무사고,검정색,경기,1790,4WD,3.0
110,르노삼성,SM7,가솔린,61150,2015,무사고,검정색,대구,1470,2WD,3.0
111,르노삼성,M6,LPG,74925,2017,무사고,검정색,충남,1470,2WD,3.0
112,르노삼성,M5,가솔린,84461,2016,무사고,검정색,경기,950,2WD,2.0
113,르노삼성,SM7,가솔린,146889,2011,무사고,검정색,인천,340,2WD,2.0
116,르노삼성,M6,LPG,34838,2019,무사고,검정색,인천,1550,2WD,1.0
117,르노삼성,M5,LPG,189211,2013,무사고,검정색,전북,640,2WD,3.0
118,르노삼성,SM7,가솔린+LPG,225597,2010,무사고,검정색,대구,300,2WD,1.0
119,르노삼성,M3,디젤,36608,2015,무사고,검정색,서울,1180,2WD,3.0
120,르노삼성,M5,가솔린,137944,2012,무사고,검정색,전북,430,2WD,3.0
121,르노삼성,M6,가솔린,62269,2016,무사고,검정색,경기,1490,2WD,3.0
122,르노삼성,M6,가솔린,41582,2018,무사고,검정색,경기,2140,2WD,3.0
123,르노삼성,M6,LPG,98731,2017,무사고,검정색,경기,1110,2WD,1.0
126,르노삼성,M6,가솔린,54494,2017,무사고,검정색,경기,1570,2WD,2.0
127,르노삼성,M3,디젤,92779,2014,무사고,검정색,경기,860,2WD,2.0
128,르노삼성,M6,가솔린,54018,2017,무사고,검정색,서울,1280,2WD,1.0
130,르노삼성,SM7,가솔린,156320,2010,무사고,검정색,경기,420,2WD,3.0
131,르노삼성,M3,디젤,68281,2015,무사고,검정색,경기,970,2WD,3.0
132,르노삼성,M3,디젤,86109,2015,무사고,검정색,서울,870,2WD,1.0
133,르노삼성,M6,LPG,21641,2020,무사고,검정색,경기,2450,2WD,3.0
134,르노삼성,M6,가솔린,30170,2019,무사고,검정색,경기,1620,2WD,1.0
135,르노삼성,M5,가솔린,99950,2012,무사고,검정색,경기,520,2WD,2.0
136,르노삼성,M6,LPG,196146,2017,무사고,검정색,서울,950,2WD,3.0
137,르노삼성,M6,가솔린,18852,2020,무사고,검정색,경기,1999,2WD,2.0
139,르노삼성,M3,디젤,144853,2014,무사고,검정색,대구,780,2WD,2.0
140,르노삼성,M6,디젤,33044,2017,무사고,검정색,대구,1379,2WD,1.0
141,르노삼성,M3,디젤,130122,2015,무사고,검정색,광주,875,2WD,3.0
142,르노삼성,M5,가솔린,236507,2010,무사고,검정색,전북,260,2WD,1.0
143,르노삼성,M6,LPG,25906,2020,무사고,검정색,경기,2699,2WD,3.0
144,르노삼성,M3,디젤,37650,2014,무사고,검정색,대구,1120,2WD,3.0
145,르노삼성,SM7,가솔린,115074,2007,무사고,검정색,전북,210,2WD,1.0
146,르노삼성,M6,가솔린,43354,2019,무사고,검정색,충남,1849,2WD,2.0
147,르노삼성,M3,가솔린,128673,2012,무사고,검정색,경기,440,2WD,3.0
148,르노삼성,M5,가솔린,226652,2010,무사고,검정색,경기,240,2WD,1.0
149,르노삼성,M3,가솔린,128673,2012,무사고,검정색,경기,440,2WD,3.0
150,르노삼성,SM7,가솔린,97953,2007,무사고,검정색,경기,240,2WD,2.0
151,르노삼성,M5,가솔린,120775,2007,무사고,검정색,경기,250,2WD,2.0
153,르노삼성,M6,LPG,46818,2020,무사고,검정색,광주,2399,2WD,3.0
154,르노삼성,M3,가솔린,49067,2018,무사고,검정색,경기,950,2WD,1.0
155,르노삼성,M3,가솔린,11202,2020,무사고,검정색,경기,2230,2WD,3.0
156,르노삼성,SM7,가솔린,159467,2008,무사고,검정색,부산,290,2WD,1.0
157,르노삼성,SM7,가솔린,148572,2013,무사고,검정색,충남,700,2WD,3.0
159,르노삼성,M6,가솔린,30817,2017,무사고,검정색,경기,1769,2WD,3.0
160,르노삼성,M6,가솔린,66530,2019,무사고,검정색,경기,1650,2WD,3.0
161,르노삼성,M5,가솔린,129736,2009,무사고,검정색,경기,250,2WD,2.0
162,르노삼성,M6,가솔린,20163,2019,무사고,검정색,경기,1520,2WD,1.0
164,르노삼성,M5,가솔린,132317,2011,무사고,검정색,경기,430,2WD,2.0
165,르노삼성,M6,LPG,89110,2016,무사고,검정색,경기,1060,2WD,1.0
166,르노삼성,M3,가솔린,119956,2013,무사고,검정색,경기,410,2WD,2.0
167,르노삼성,M5,가솔린,198956,2013,무사고,검정색,경기,550,2WD,1.0
168,르노삼성,SM7,가솔린,63482,2015,무사고,검정색,전북,1299,2WD,2.0
169,르노삼성,M6,가솔린,14033,2019,무사고,검정색,대전,1890,2WD,3.0
170,르노삼성,M6,LPG,46749,2017,무사고,검정색,경기,1900,2WD,3.0
171,르노삼성,M6,LPG,37124,2016,무사고,검정색,대전,1690,2WD,3.0
172,르노삼성,M6,디젤,81811,2017,무사고,검정색,인천,1690,2WD,3.0
173,르노삼성,SM7,가솔린,143415,2008,무사고,검정색,인천,290,2WD,2.0
175,르노삼성,M6,가솔린,49685,2016,무사고,검정색,충남,1620,2WD,3.0
176,르노삼성,M6,가솔린,134333,2016,무사고,검정색,울산,1150,2WD,2.0
177,르노삼성,M3,디젤,149274,2016,무사고,검정색,충남,849,2WD,3.0
179,르노삼성,M6,LPG,97110,2016,무사고,검정색,경기,1110,2WD,1.0
181,르노삼성,SM7,가솔린,180488,2010,무사고,검정색,대구,295,2WD,2.0
182,르노삼성,SM7,가솔린,180488,2010,무사고,검정색,대구,295,2WD,2.0
183,르노삼성,M6,가솔린,16237,2020,무사고,검정색,서울,2290,2WD,3.0
184,르노삼성,M6,가솔린,45263,2019,무사고,검정색,경기,1730,2WD,1.0
185,르노삼성,M5,가솔린,46618,2017,무사고,검정색,경기,1130,2WD,1.0
186,르노삼성,M6,LPG,44326,2017,무사고,검정색,광주,1380,2WD,1.0
187,르노삼성,M5,LPG,84873,2011,무사고,검정색,경기,530,2WD,2.0
