,info
RE,241
LE,226
2.0 GDe RE,125
2.0 GDe LE 기본형   ,109
2.0 GDe LE,94
SE,85
가솔린 2.0 2WD RE 기본형  ,83
LPe 2.0 RE Signature   ,82
1.3 TCe RE 시그니처,64
1.6 TCe RE,60
SE 플러스,58
2.0 GDe SE,52
2.0 LPe RE 시그니처 2WD,49
가솔린 2WD RE 시그니처,47
2.0 GDe RE    ,42
2.0 LPe RE (장애인용),42
디젤 4WD RE 시그니처,42
가솔린 2WD RE,41
디젤 2WD RE 시그니처,39
가솔린 터보 1.3RE 시그니쳐,37
2.0 GDe SE    ,36
클래식,35
2.0 LPe LE (장애인용),33
PE,29
2.0 LPe SE (렌터카),28
RE 시그니처,27
디젤 2WD LE,27
LPLI 2.0 LPe세부등급없음,26
LPG 2.0 (일반인 판매용)RE 시그니처,25
1.5 dCi LE,25
SE 플레져,21
LPLI 2.0 LPe 장애인용,20
가솔린 2WD LE,20
가솔린 2.0 2WD RE Signature  ,20
가솔린 2WD2.0 GDe 프리미에르,19
디젤 2WD RE,19
인텐스,18
1.6 TCe LE,18
2.0 LPe PE (렌터카),18
SE 블랙,18
2.5 V6,17
2.0 LPe SE    ,17
LPLI 2.0 LPe,17
LPLI 택시렌터카 고급형,17
RE세부등급 없음,16
LPLi 택시렌터카 고급형,16
2.0 LPe RE    ,15
LE 익스클루시브,15
1.6 TCE,14
2.0 LPe SE (장애인용),14
LPLI LE,14
RE35,14
LPG 2WD(일반인판매용)2.0 LPe RE 시그니쳐,13
디젤 4WD RE,12
2.0 LPe LE 2WD,12
LPLi RE,12
LE 플러스,12
가솔린 2.0 2WD Premiere 기본형  ,11
인텐스 파노라믹,10
1.5 dCi SE,10
RE기본형,10
2.0 LPe LE    ,10
LPLi LE,9
2.0 LPe RE,8
2.0 LPe 일반인용 SE   ,8
2.0 GDe RE 시그니처 2WD,8
가솔린 2WD2.0 GDe RE 시그니쳐,8
가솔린 2WD 씨티 LE25,8
1.3 TCe RE,8
프레스티지,8
