,brand,name,type,km,year,accident,color,location,price,wd,trim
0,제네시스,EQ900,가솔린,83273,2016,무사고,검정색,충남,4399,AWD,4.0
1,제네시스,G80,가솔린,151031,2018,무사고,검정색,충남,2339,AWD,1.0
2,제네시스,G80,가솔린,159066,2017,무사고,검정색,서울,2490,AWD,1.0
3,제네시스,G80,가솔린,56604,2017,무사고,검정색,대구,3990,AWD,1.0
4,제네시스,EQ900,가솔린,119946,2016,무사고,검정색,인천,3580,AWD,1.0
5,제네시스,EQ900,가솔린,85636,2016,무사고,검정색,울산,3960,AWD,1.0
6,제네시스,EQ900,가솔린,84467,2018,무사고,검정색,대전,3750,AWD,1.0
7,제네시스,G80,가솔린,22188,2018,무사고,검정색,전북,3750,AWD,1.0
8,제네시스,EQ900,가솔린,112851,2016,무사고,검정색,인천,3610,AWD,1.0
9,제네시스,G80,가솔린,60864,2018,무사고,검정색,경기,3520,AWD,1.0
10,제네시스,G80,가솔린,69602,2017,무사고,검정색,대구,3190,2WD,1.0
11,제네시스,EQ900,가솔린,58989,2017,무사고,검정색,대구,4980,AWD,1.0
12,제네시스,G70,가솔린,7622,2021,무사고,검정색,경기,4690,4WD,1.0
13,제네시스,G80,가솔린,144311,2017,무사고,검정색,서울,2750,AWD,1.0
14,제네시스,EQ900,가솔린,51613,2018,무사고,검정색,경기,4499,AWD,1.0
15,제네시스,G80,가솔린,107816,2017,무사고,검정색,대구,3170,AWD,1.0
16,제네시스,EQ900,가솔린,65821,2017,무사고,검정색,전북,4570,AWD,1.0
17,제네시스,EQ900,가솔린,60718,2018,무사고,검정색,광주,4350,AWD,1.0
18,제네시스,EQ900,가솔린,123749,2016,무사고,검정색,광주,2999,AWD,1.0
19,제네시스,G80,가솔린,10934,2021,무사고,검정색,인천,5490,2WD,1.0
20,제네시스,G80,가솔린,61366,2017,무사고,검정색,대구,3190,2WD,1.0
21,제네시스,G90,가솔린,12841,2020,무사고,검정색,서울,7650,AWD,1.0
22,제네시스,G90,가솔린,22078,2019,무사고,검정색,서울,10500,AWD,1.0
23,제네시스,EQ900,가솔린,55522,2018,무사고,검정색,서울,4280,AWD,1.0
24,제네시스,EQ900,가솔린,159749,2016,무사고,검정색,경기,4000,AWD,4.0
25,제네시스,G80,가솔린,55054,2018,무사고,검정색,서울,2969,2WD,1.0
26,제네시스,G70,가솔린,59817,2018,무사고,검정색,서울,3550,2WD,1.0
27,제네시스,G70,가솔린,59098,2019,무사고,검정색,서울,3390,2WD,1.0
28,제네시스,G80,가솔린,15381,2019,무사고,검정색,경기,4420,AWD,1.0
29,제네시스,G80,가솔린,68077,2019,무사고,검정색,경기,3430,AWD,1.0
30,제네시스,G80,가솔린,101269,2017,무사고,검정색,대전,2680,AWD,1.0
31,제네시스,EQ900,가솔린,80622,2018,무사고,검정색,광주,9999,AWD,1.0
32,제네시스,EQ900,가솔린,219798,2016,무사고,검정색,경기,2350,AWD,1.0
33,제네시스,G80,가솔린,35074,2019,무사고,검정색,경기,3890,AWD,1.0
34,제네시스,EQ900,가솔린,45372,2018,무사고,검정색,서울,4800,AWD,1.0
35,제네시스,G80,가솔린,35174,2019,무사고,검정색,서울,3499,2WD,1.0
36,제네시스,G80,가솔린,86856,2018,무사고,검정색,광주,3320,AWD,1.0
37,제네시스,G80,가솔린,62676,2017,무사고,검정색,광주,3390,AWD,1.0
38,제네시스,EQ900,가솔린,62570,2017,무사고,검정색,서울,3890,AWD,1.0
39,제네시스,G80,가솔린,57372,2017,무사고,검정색,경기,3350,AWD,1.0
40,제네시스,G80,가솔린,52063,2019,무사고,검정색,인천,4020,2WD,1.0
41,제네시스,G80,가솔린,96692,2018,무사고,검정색,경기,2800,AWD,1.0
42,제네시스,EQ900,가솔린,55293,2017,무사고,검정색,서울,4680,AWD,2.0
43,제네시스,G80,가솔린,121847,2018,무사고,검정색,대구,2990,AWD,1.0
44,제네시스,G90,가솔린,85077,2019,무사고,검정색,대구,7290,AWD,1.0
45,제네시스,EQ900,가솔린,10993,2018,무사고,검정색,경기,6190,AWD,1.0
46,제네시스,G70,가솔린,28928,2019,무사고,검정색,서울,4130,AWD,3.0
47,제네시스,EQ900,가솔린,112651,2017,무사고,검정색,경기,3680,AWD,1.0
48,제네시스,G70,가솔린,37991,2019,무사고,검정색,서울,3430,2WD,1.0
49,제네시스,G70,가솔린,11653,2019,무사고,검정색,서울,4190,AWD,3.0
50,제네시스,GV80,가솔린,15182,2020,무사고,검정색,서울,6800,2WD,1.0
51,제네시스,EQ900,가솔린,90992,2016,무사고,검정색,경기,3855,AWD,1.0
52,제네시스,EQ900,가솔린,86885,2017,무사고,검정색,경기,3450,2WD,2.0
53,제네시스,G80,가솔린,148466,2017,무사고,검정색,광주,2200,2WD,1.0
54,제네시스,G80,가솔린,65313,2018,무사고,검정색,광주,3690,AWD,1.0
55,제네시스,EQ900,가솔린,104701,2018,무사고,검정색,경기,3549,AWD,2.0
56,제네시스,G90,가솔린,30502,2019,무사고,검정색,경기,6870,AWD,1.0
57,제네시스,EQ900,가솔린,39901,2018,무사고,검정색,경기,4090,2WD,1.0
58,제네시스,G80,가솔린,103653,2017,무사고,검정색,부산,2430,AWD,1.0
59,제네시스,EQ900,가솔린,140092,2018,무사고,검정색,서울,3250,AWD,1.0
60,제네시스,G80,가솔린,87359,2017,무사고,검정색,경기,2590,2WD,1.0
61,제네시스,G80,가솔린,11346,2021,무사고,검정색,경기,6999,2WD,1.0
62,제네시스,G90,가솔린,87623,2019,무사고,검정색,인천,5790,AWD,1.0
63,제네시스,EQ900,가솔린,222211,2018,무사고,검정색,경기,2360,2WD,1.0
64,제네시스,G80,가솔린,66878,2018,무사고,검정색,울산,3650,AWD,1.0
65,제네시스,G70,가솔린,34466,2018,무사고,검정색,경기,3250,2WD,1.0
66,제네시스,G90,가솔린,79322,2019,무사고,검정색,경기,6300,AWD,1.0
67,제네시스,EQ900,가솔린,73523,2017,무사고,검정색,경기,4030,AWD,1.0
68,제네시스,G80,가솔린,74394,2018,무사고,검정색,광주,2999,2WD,1.0
69,제네시스,EQ900,가솔린,83590,2018,무사고,검정색,광주,4700,AWD,2.0
70,제네시스,G90,가솔린,14561,2019,무사고,검정색,서울,6480,AWD,1.0
71,제네시스,G80,가솔린,59385,2018,무사고,검정색,경기,3170,AWD,1.0
72,제네시스,G80,가솔린,101672,2018,무사고,검정색,서울,2680,AWD,1.0
73,제네시스,EQ900,가솔린,47901,2016,무사고,검정색,경기,4150,AWD,2.0
74,제네시스,EQ900,가솔린,153642,2016,무사고,검정색,광주,3490,AWD,1.0
75,제네시스,G80,가솔린,105560,2018,무사고,검정색,대구,2699,2WD,1.0
76,제네시스,G80,가솔린,138569,2017,무사고,검정색,대구,2350,2WD,1.0
77,제네시스,G80,가솔린,120414,2018,무사고,검정색,대구,2350,2WD,1.0
78,제네시스,G80,가솔린,100383,2017,무사고,검정색,경기,2799,AWD,1.0
79,제네시스,G80,가솔린,159305,2017,무사고,검정색,광주,4300,AWD,1.0
80,제네시스,G80,가솔린,42847,2017,무사고,검정색,경기,3140,2WD,1.0
