,brand,name,type,km,year,accident,color,location,price,wd,trim
0,닛산,알티마,가솔린,43270,2018,무사고,검정색,광주,1620,2WD,2.5
1,닛산,로그,가솔린,164150,2009,무사고,검정색,경기,490,4WD,Deluxe
2,닛산,큐브,가솔린,177725,2006,무사고,검정색,경기,399,2WD,1.4
4,닛산,패스파인더,가솔린,115749,2014,무사고,검정색,부산,1380,4WD,3.5
5,닛산,알티마,가솔린,90547,2017,무사고,검정색,경기,970,2WD,2.5 스마트
6,닛산,알티마,가솔린,78365,2018,무사고,검정색,대구,1330,2WD,2.5
7,닛산,맥시마,가솔린,45994,2017,무사고,검정색,경기,2090,2WD,3.5 플래티넘
8,닛산,370Z,가솔린,81539,2010,무사고,검정색,경기,2050,2WD,3.7 쿠페
9,닛산,무라노,가솔린,155924,2010,무사고,검정색,경기,690,2WD,3.5
10,닛산,370Z,가솔린,127256,2012,무사고,검정색,경기,1990,2WD,3.7 쿠페
11,닛산,패스파인더,가솔린,27402,2018,무사고,검정색,서울,2670,4WD,3.5
12,닛산,큐브,가솔린,105741,2011,무사고,흰색,서울,690,2WD,1.8 S
13,닛산,맥시마,가솔린,33388,2017,무사고,흰색,서울,2090,2WD,3.5 플래티넘
14,닛산,알티마,가솔린,76250,2017,무사고,흰색,경기,1180,2WD,2.5 스마트
15,닛산,패스파인더,가솔린,56037,2016,무사고,흰색,경기,2050,4WD,3.5
16,닛산,알티마,가솔린,105007,2010,무사고,흰색,부산,490,2WD,3.5
17,닛산,쥬크,가솔린,22465,2014,무사고,흰색,경기,1250,2WD,1.6 SV
18,닛산,큐브,가솔린,59741,2011,무사고,흰색,경기,850,2WD,1.8 S
19,닛산,맥시마,가솔린,27284,2017,무사고,흰색,경기,2120,2WD,3.5 플래티넘
20,닛산,캐시카이,디젤,57600,2015,무사고,흰색,경기,9999,2WD,1.6 S
21,닛산,리프,전기,126538,2015,무사고,흰색,부산,1030,2WD,EV SL
22,닛산,큐브,가솔린,107592,2011,무사고,흰색,경기,630,2WD,1.8 SL
23,닛산,캐시카이,디젤,114272,2015,무사고,흰색,서울,1200,2WD,1.6 SL
24,닛산,큐브,가솔린,199765,2004,무사고,흰색,경기,370,2WD,1.4
25,닛산,패스파인더,가솔린,14562,2019,무사고,흰색,서울,2970,4WD,3.5
26,닛산,알티마,가솔린,116734,2013,무사고,흰색,광주,770,2WD,2.5
27,닛산,쥬크,가솔린,36686,2016,무사고,흰색,경기,1440,2WD,1.6 SV
28,닛산,쥬크,가솔린,81220,2015,무사고,흰색,울산,1080,2WD,1.6 SV
29,닛산,알티마,가솔린,23478,2018,무사고,흰색,경기,1790,2WD,2.5 테크
30,닛산,맥시마,가솔린,63432,2018,무사고,흰색,부산,2050,2WD,3.5 플래티넘
