,brand,name,type,km,year,accident,color,location,price,wd,trim
0,도요타,캠리,하이브리드,67128,2018,무사고,검정색,경기,2790,2WD,2.5 XLE
1,도요타,시에나,가솔린,79652,2015,무사고,검정색,경기,2299,2WD,3.5
2,도요타,시에나,가솔린,39796,2015,무사고,검정색,경기,2770,AWD,3.5
3,도요타,86,가솔린,70333,2013,무사고,검정색,경기,2090,2WD,2.0
4,도요타,프리우스,하이브리드,4089,2021,무사고,검정색,경기,2790,2WD,1.8
5,도요타,알파드,가솔린,90716,2017,무사고,검정색,경기,6600,2WD,3.5
6,도요타,캠리,하이브리드,83894,2017,무사고,검정색,경기,1930,2WD,XLE
7,도요타,아발론,가솔린,114458,2013,무사고,검정색,서울,1380,2WD,리미티드
8,도요타,시에나,가솔린,109817,2014,무사고,검정색,서울,1980,AWD,3.5
9,도요타,캠리,가솔린,71386,2014,무사고,검정색,서울,1120,2WD,2.5 XLE
10,도요타,캠리,가솔린,48156,2017,무사고,검정색,경기,1999,2WD,2.5 XLE
12,도요타,아발론,하이브리드,27040,2019,무사고,검정색,부산,3060,2WD,2.5
13,도요타,시에나,가솔린,76399,2017,무사고,검정색,경기,2750,AWD,3.5
16,도요타,프리우스,하이브리드,114726,2017,무사고,흰색,부산,1590,2WD,1.8 E
17,도요타,프리우스,하이브리드,135935,2012,무사고,흰색,경기,950,2WD,1.8 E
18,도요타,프리우스,하이브리드,67029,2018,무사고,흰색,경기,1550,2WD,1.5
19,도요타,시에나,가솔린,76074,2016,무사고,흰색,경기,2500,AWD,3.5
20,도요타,시에나,가솔린,44630,2015,무사고,흰색,경기,2550,AWD,3.5
21,도요타,프리우스,하이브리드,45324,2015,무사고,흰색,서울,1490,2WD,1.8 E
22,도요타,RAV4,가솔린,46699,2018,무사고,흰색,경기,5000,2WD,2.5
23,도요타,시에나,가솔린,28310,2017,무사고,흰색,경기,3420,AWD,3.5
24,도요타,86,가솔린,62785,2016,무사고,흰색,대구,2490,2WD,2.0
25,도요타,RAV4,하이브리드,85643,2017,무사고,흰색,경기,2570,4WD,2.5
26,도요타,시에나,가솔린,67935,2014,무사고,흰색,경기,2420,AWD,3.5
27,도요타,프리우스,하이브리드,7418,2020,무사고,흰색,경기,2590,2WD,1.8
28,도요타,시에나,가솔린,59892,2016,무사고,흰색,광주,2550,AWD,3.5
29,도요타,툰드라,가솔린,48639,2012,무사고,흰색,경기,3590,2WD,5.7
30,도요타,캠리,가솔린,95226,2013,무사고,흰색,서울,990,2WD,3.5
31,도요타,시에나,가솔린,74008,2014,무사고,흰색,경기,2090,2WD,3.5
32,도요타,캠리,가솔린,45367,2016,무사고,흰색,경기,1730,2WD,2.5 XLE
33,도요타,프리우스,하이브리드,106136,2016,무사고,흰색,경기,1590,2WD,1.8 E
34,도요타,벤자,가솔린,90083,2013,무사고,흰색,경기,1480,2WD,3.5
35,도요타,RAV4,하이브리드,49613,2018,무사고,흰색,경기,2730,4WD,2.5
36,도요타,프리우스,하이브리드,123072,2017,무사고,흰색,경기,2390,2WD,1.8
38,도요타,캠리,가솔린,101824,2014,무사고,흰색,전북,1050,2WD,2.5 XLE
39,도요타,수프라,가솔린,16473,2020,무사고,흰색,경기,6300,2WD,GR 3.0
40,도요타,프리우스,하이브리드,23940,2019,무사고,흰색,서울,2390,2WD,1.8
41,도요타,프리우스,하이브리드,89178,2014,무사고,흰색,충남,1120,2WD,1.8 E
42,도요타,캠리,하이브리드,65335,2017,무사고,흰색,경기,2100,2WD,XLE
43,도요타,RAV4,가솔린,138242,2014,무사고,흰색,경기,1270,2WD,2.5
44,도요타,프리우스,하이브리드,106916,2015,무사고,흰색,경기,1200,2WD,1.8 E
45,도요타,캠리,하이브리드,118446,2013,무사고,흰색,부산,1240,2WD,XLE
46,도요타,캠리,하이브리드,9186,2021,무사고,흰색,서울,3450,2WD,2.5 XLE
47,도요타,시에나,가솔린,86390,2015,무사고,흰색,서울,2199,2WD,3.5
48,도요타,캠리,하이브리드,33877,2019,무사고,흰색,경기,3150,2WD,2.5 XLE
49,도요타,시에나,가솔린,21945,2017,무사고,흰색,경기,3040,AWD,3.5
50,도요타,86,가솔린,72589,2016,무사고,흰색,경기,2570,2WD,2.0
51,도요타,캠리,가솔린,57467,2013,무사고,흰색,경기,1050,2WD,2.5 XLE
52,도요타,캠리,하이브리드,30855,2018,무사고,흰색,경기,2999,2WD,2.5 XLE
53,도요타,시에나,가솔린,45109,2017,무사고,흰색,서울,3250,AWD,3.5
54,도요타,프리우스,하이브리드,23752,2019,무사고,흰색,경기,2450,2WD,1.8
55,도요타,프리우스,하이브리드,23339,2018,무사고,흰색,경기,1770,2WD,1.5
56,도요타,프리우스,하이브리드,131788,2011,무사고,흰색,경기,790,2WD,1.8
57,도요타,캠리,하이브리드,35255,2019,무사고,흰색,부산,3150,2WD,2.5 XLE
58,도요타,캠리,하이브리드,68231,2019,무사고,흰색,경기,2720,2WD,2.5 XLE
59,도요타,프리우스,하이브리드,46244,2019,무사고,흰색,경기,1630,2WD,1.5
60,도요타,프리우스,하이브리드,110647,2015,무사고,흰색,경기,1180,2WD,1.8 E
61,도요타,캠리,하이브리드,95851,2018,무사고,흰색,경기,2350,2WD,2.5 XLE
62,도요타,캠리,하이브리드,152619,2014,무사고,흰색,부산,1130,2WD,XLE
63,도요타,프리우스,하이브리드,124777,2017,무사고,흰색,서울,1560,2WD,1.8 E
