,brand,name,type,km,year,accident,color,location,price,wd,trim
0,렉서스,LS,가솔린,66803,2014,무사고,검정색,서울,3860,2WD,5인승
1,렉서스,LS,가솔린,170729,2015,무사고,검정색,경기,2730,2WD,5인승
2,렉서스,500,하이브리드,58322,2018,무사고,검정색,경기,8350,AWD,플래티넘
3,렉서스,X3,하이브리드,45606,2018,무사고,검정색,서울,3890,2WD,슈프림
4,렉서스,X4,하이브리드,74133,2017,무사고,검정색,서울,4890,2WD,이그제큐티브
5,렉서스,X4,하이브리드,53160,2018,무사고,검정색,경기,5730,2WD,이그제큐티브
6,렉서스,500,하이브리드,114363,2018,무사고,검정색,부산,6360,AWD,럭셔리
7,렉서스,LS,하이브리드,191455,2012,무사고,검정색,경기,1990,2WD,5인승
8,렉서스,X4,하이브리드,30934,2016,무사고,검정색,경기,4980,2WD,F-Sport
9,렉서스,X3,하이브리드,52973,2019,무사고,검정색,광주,4350,2WD,이그제큐티브
10,렉서스,500,하이브리드,69664,2018,무사고,검정색,서울,7590,AWD,플래티넘
11,렉서스,S3,하이브리드,13359,2021,무사고,검정색,대구,5550,2WD,이그제큐티브
12,렉서스,500,가솔린,44333,2019,무사고,검정색,서울,7700,AWD,럭셔리
13,렉서스,S3,하이브리드,19,2021,무사고,검정색,경기,5950,2WD,럭셔리 플러스
14,렉서스,500,가솔린,133917,2018,무사고,검정색,경기,5850,AWD,럭셔리
15,렉서스,500,가솔린,42356,2018,무사고,검정색,인천,7100,AWD,럭셔리
18,렉서스,S3,하이브리드,41895,2018,무사고,검정색,광주,3750,2WD,슈프림
19,렉서스,500,하이브리드,27920,2018,무사고,검정색,대전,9999,2WD,럭셔리
20,렉서스,500,가솔린,56508,2018,무사고,검정색,부산,7350,AWD,럭셔리
21,렉서스,LS,가솔린,91750,2015,무사고,검정색,경기,3450,2WD,5인승
22,렉서스,500,가솔린,94740,2018,무사고,검정색,경기,6890,AWD,플래티넘
23,렉서스,500,가솔린,39358,2019,무사고,검정색,경기,7599,AWD,럭셔리
24,렉서스,X4,하이브리드,56167,2017,무사고,검정색,경기,5290,2WD,F-Sport
25,렉서스,LS,하이브리드,246047,2008,무사고,검정색,경기,950,2WD,4인승
26,렉서스,X3,하이브리드,23216,2019,무사고,검정색,서울,4450,2WD,이그제큐티브
27,렉서스,500,하이브리드,75067,2018,무사고,검정색,경기,7490,AWD,플래티넘
28,렉서스,X3,하이브리드,58674,2018,무사고,검정색,경기,4150,2WD,이그제큐티브
30,렉서스,LS,가솔린,211521,2009,무사고,검정색,경기,730,2WD,5인승
31,렉서스,LS,가솔린,197421,2013,무사고,검정색,경기,2190,2WD,5인승
32,렉서스,S3,하이브리드,139619,2014,무사고,검정색,경기,1720,2WD,프리미엄
33,렉서스,S4,하이브리드,110679,2013,무사고,검정색,경기,2170,2WD,슈프림
34,렉서스,LS,하이브리드,74701,2014,무사고,검정색,경기,4499,2WD,5인승
35,렉서스,S3,하이브리드,84515,2019,무사고,검정색,경기,4650,2WD,이그제큐티브
36,렉서스,LS,가솔린,154426,2012,무사고,검정색,경기,1490,2WD,5인승
37,렉서스,LS,가솔린,84234,2009,무사고,검정색,부산,1430,2WD,5인승
38,렉서스,IS250,가솔린,150044,2013,무사고,검정색,경기,1120,2WD,프리미엄
39,렉서스,S4,하이브리드,126290,2015,무사고,검정색,경기,2630,2WD,슈프림
40,렉서스,LS,가솔린,83016,2013,무사고,검정색,서울,3550,2WD,5인승
41,렉서스,LS,하이브리드,352825,2008,무사고,검정색,경기,699,2WD,4인승
42,렉서스,GS250,가솔린,191143,2013,무사고,검정색,경기,1180,2WD,슈프림
44,렉서스,LS,가솔린,114483,2016,무사고,검정색,경기,3950,2WD,5인승
45,렉서스,X4,가솔린+LPG,12868,2020,무사고,검정색,경기,7599,2WD,이그제큐티브
46,렉서스,LS,가솔린,231251,2012,무사고,검정색,경기,1500,2WD,5인승
47,렉서스,500,가솔린,60016,2018,무사고,검정색,경기,7750,AWD,플래티넘
48,렉서스,LS,가솔린,189136,2009,무사고,검정색,경기,700,2WD,5인승
49,렉서스,S3,가솔린,173976,2011,무사고,검정색,서울,650,2WD,프리미엄
50,렉서스,LS,가솔린,97731,2004,무사고,검정색,경기,1200,2WD,L-Grade
52,렉서스,LS,가솔린,186774,2010,무사고,검정색,경기,980,2WD,5인승
53,렉서스,S3,가솔린,161481,2011,무사고,검정색,경기,780,2WD,슈페리어
54,렉서스,500,가솔린,15922,2018,무사고,검정색,경기,8399,AWD,플래티넘
55,렉서스,200,하이브리드,51695,2011,무사고,흰색,경기,1500,2WD,컴팩트 트랜디
56,렉서스,X3,하이브리드,67935,2015,무사고,흰색,광주,3190,2WD,이그제큐티브
57,렉서스,200,하이브리드,113889,2012,무사고,흰색,대구,1299,2WD,컴팩트 럭셔리
58,렉서스,S3,하이브리드,90193,2017,무사고,흰색,대구,3090,2WD,슈프림
59,렉서스,S3,가솔린,186628,2011,무사고,흰색,경기,750,2WD,프리미엄
60,렉서스,IS250,가솔린,93607,2014,무사고,흰색,경기,1500,2WD,슈프림
61,렉서스,X3,하이브리드,36276,2016,무사고,흰색,서울,3930,2WD,이그제큐티브
62,렉서스,200,하이브리드,51056,2016,무사고,흰색,경기,2300,2WD,슈프림
63,렉서스,200,가솔린,69914,2017,무사고,흰색,경기,2900,2WD,F-Sport
64,렉서스,X3,하이브리드,27846,2017,무사고,흰색,경기,4099,2WD,이그제큐티브
65,렉서스,S3,가솔린,104240,2012,무사고,흰색,경기,990,2WD,슈페리어
66,렉서스,X3,하이브리드,11356,2018,무사고,흰색,경기,4450,2WD,슈프림
67,렉서스,X3,가솔린,47619,2017,무사고,흰색,광주,4750,2WD,이그제큐티브
68,렉서스,S3,하이브리드,39311,2017,무사고,흰색,충남,3520,2WD,슈프림
69,렉서스,S3,하이브리드,61998,2019,무사고,흰색,인천,4390,2WD,럭셔리
70,렉서스,200,가솔린,46116,2017,무사고,흰색,경기,3249,2WD,F-Sport
71,렉서스,200,하이브리드,43591,2014,무사고,흰색,경기,1950,2WD,슈프림
72,렉서스,IS250,가솔린,27979,2015,무사고,흰색,경기,2480,2WD,슈프림
74,렉서스,S3,하이브리드,86905,2015,무사고,흰색,경기,2490,2WD,슈프림
75,렉서스,200,하이브리드,121511,2011,무사고,흰색,경기,1190,2WD,컴팩트 트랜디
76,렉서스,S3,하이브리드,199612,2015,무사고,흰색,경기,1520,2WD,슈프림
77,렉서스,S3,하이브리드,36201,2018,무사고,흰색,경기,3850,2WD,슈프림+
78,렉서스,S3,하이브리드,25940,2019,무사고,흰색,대구,4888,2WD,럭셔리 플러스
79,렉서스,200,가솔린,53273,2016,무사고,흰색,경기,2290,2WD,프리미엄
80,렉서스,200,하이브리드,78659,2015,무사고,흰색,서울,2000,2WD,슈프림
81,렉서스,200,가솔린,49625,2016,무사고,흰색,경기,2390,2WD,프리미엄
82,렉서스,X4,하이브리드,12632,2021,무사고,흰색,경기,7580,2WD,F-Sport
83,렉서스,200,하이브리드,40548,2019,무사고,흰색,서울,2880,2WD,슈프림
84,렉서스,200,하이브리드,136838,2014,무사고,흰색,인천,1650,2WD,슈프림
85,렉서스,S3,가솔린,109859,2007,무사고,흰색,경기,650,2WD,STD
86,렉서스,X3,하이브리드,93791,2017,무사고,흰색,충남,2960,2WD,슈프림
87,렉서스,X2,하이브리드,9477,2020,무사고,흰색,경기,3890,2WD,2.0
88,렉서스,S3,가솔린,92795,2014,무사고,흰색,경기,1830,2WD,슈프림
89,렉서스,S3,하이브리드,14468,2021,무사고,흰색,경기,5950,2WD,이그제큐티브
90,렉서스,S3,가솔린,42749,2018,무사고,흰색,경기,4099,2WD,슈프림
91,렉서스,S3,하이브리드,10536,2020,무사고,흰색,경기,5099,2WD,럭셔리
92,렉서스,X4,하이브리드,118194,2017,무사고,흰색,경기,4700,2WD,이그제큐티브
93,렉서스,200,가솔린,43870,2017,무사고,흰색,경기,3450,2WD,이그제큐티브
94,렉서스,X3,하이브리드,27908,2017,무사고,흰색,경기,3770,2WD,슈프림
95,렉서스,X4,하이브리드,112952,2017,무사고,흰색,경기,4390,2WD,이그제큐티브
96,렉서스,S3,하이브리드,64067,2014,무사고,흰색,서울,2490,2WD,슈프림
97,렉서스,200,가솔린,53072,2016,무사고,흰색,경기,2399,2WD,슈프림
98,렉서스,S3,하이브리드,64509,2015,무사고,흰색,서울,2490,2WD,슈프림
99,렉서스,S3,하이브리드,62642,2017,무사고,흰색,경기,3390,2WD,슈프림
100,렉서스,X3,하이브리드,25832,2019,무사고,흰색,경기,4390,2WD,슈프림
101,렉서스,X4,하이브리드,64111,2019,무사고,흰색,부산,5780,2WD,이그제큐티브
102,렉서스,X3,하이브리드,65212,2017,무사고,흰색,경기,3540,2WD,이그제큐티브
103,렉서스,S3,하이브리드,38581,2016,무사고,흰색,부산,3350,2WD,슈프림
104,렉서스,X4,하이브리드,148853,2013,무사고,흰색,경기,2480,2WD,이그제큐티브
105,렉서스,S3,하이브리드,52087,2017,무사고,흰색,서울,3470,2WD,슈프림
106,렉서스,S3,가솔린,134021,2008,무사고,흰색,경기,9999,2WD,슈페리어
107,렉서스,S3,하이브리드,61271,2017,무사고,흰색,경기,3190,2WD,슈프림
108,렉서스,S3,하이브리드,64312,2017,무사고,흰색,경기,3150,2WD,슈프림
109,렉서스,X4,하이브리드,64111,2019,무사고,흰색,부산,113,2WD,이그제큐티브
110,렉서스,200,하이브리드,92570,2016,무사고,흰색,경기,1990,2WD,슈프림
111,렉서스,IS250,가솔린,207191,2008,무사고,흰색,경기,560,2WD,프리미엄
112,렉서스,200,가솔린,61163,2016,무사고,흰색,부산,2350,2WD,슈프림
113,렉서스,S3,하이브리드,32000,2021,무사고,흰색,경기,5480,2WD,이그제큐티브
114,렉서스,S3,하이브리드,34146,2019,무사고,흰색,경기,4490,2WD,럭셔리
115,렉서스,IS250,가솔린,171175,2008,무사고,흰색,경기,650,2WD,프리미엄
116,렉서스,IS250,가솔린,92622,2011,무사고,흰색,서울,1030,2WD,프리미엄
117,렉서스,S3,하이브리드,74432,2016,무사고,흰색,경기,3099,2WD,슈프림
118,렉서스,IS250,가솔린,92986,2014,무사고,흰색,경기,1950,2WD,F-Sport
119,렉서스,S3,가솔린,95283,2014,무사고,흰색,울산,1790,2WD,이그제큐티브
120,렉서스,S3,하이브리드,7884,2020,무사고,흰색,경기,5790,2WD,이그제큐티브
121,렉서스,200,하이브리드,62151,2017,무사고,흰색,서울,2330,2WD,슈프림
122,렉서스,S3,하이브리드,91942,2014,무사고,흰색,경기,2050,2WD,프리미엄
123,렉서스,S3,하이브리드,22683,2019,무사고,흰색,광주,5130,2WD,이그제큐티브
124,렉서스,S3,하이브리드,144838,2015,무사고,흰색,경기,1999,2WD,프리미엄
125,렉서스,200,하이브리드,198940,2011,무사고,기타,충남,890,2WD,컴팩트 럭셔리
126,렉서스,X4,하이브리드,78149,2018,무사고,기타,경기,5150,2WD,F-Sport
127,렉서스,GS250,가솔린,99313,2013,무사고,기타,대구,1800,2WD,슈프림
129,렉서스,200,하이브리드,26967,2016,무사고,기타,경기,2320,2WD,슈프림
130,렉서스,200,하이브리드,28247,2017,무사고,기타,부산,2380,2WD,슈프림
131,렉서스,200,하이브리드,68624,2017,무사고,기타,부산,2130,2WD,슈프림
132,렉서스,S3,하이브리드,48199,2017,무사고,흰색,경기,3430,2WD,슈프림
