,brand,name,type,km,year,accident,color,location,price,wd,trim
0,마세라티,기블리,가솔린,72813,2014,무사고,검정색,경기,4490,2WD,3.0
1,마세라티,르반떼,디젤,56544,2017,무사고,검정색,부산,6590,AWD,3.0 럭셔리
2,마세라티,기블리,가솔린,41400,2018,무사고,검정색,경기,6100,2WD,3.0 그란스포츠
3,마세라티,기블리,디젤,23243,2015,무사고,검정색,서울,4850,2WD,3.0
4,마세라티,르반떼,가솔린,52548,2019,무사고,검정색,서울,7750,AWD,3.0
5,마세라티,포르테,가솔린,14208,2020,무사고,검정색,서울,11700,4WD,S Q4 3.0 V6 그란루쏘
6,마세라티,기블리,가솔린,51529,2014,무사고,검정색,경기,4550,4WD,3.0S Q4
7,마세라티,포르테,가솔린,101576,2017,무사고,검정색,서울,6850,4WD,S Q4 3.0 V6 그란스포츠
9,마세라티,포르테,가솔린,44299,2018,무사고,검정색,경기,7950,2WD,3.0 V6 그란루쏘
10,마세라티,르반떼,디젤,63495,2018,무사고,검정색,서울,7650,AWD,3.0 그란스포츠
11,마세라티,기블리,디젤,99618,2016,무사고,검정색,광주,3930,2WD,3.0
12,마세라티,르반떼,디젤,53363,2018,무사고,검정색,경기,7440,AWD,3.0 그란루쏘
13,마세라티,포르테,가솔린,80704,2017,무사고,검정색,경기,7500,4WD,S Q4 3.0 V6 그란스포츠
14,마세라티,포르테,디젤,70381,2015,무사고,검정색,서울,4750,2WD,3.0
15,마세라티,기블리,가솔린,60848,2016,무사고,검정색,경기,4980,2WD,3.0
16,마세라티,기블리,가솔린,868,2020,무사고,검정색,충북,9390,4WD,3.0S Q4
17,마세라티,기블리,가솔린,36793,2017,무사고,검정색,경기,6310,4WD,3.0S Q4
18,마세라티,포르테,가솔린,29160,2019,무사고,검정색,서울,10699,4WD,S Q4 3.0 V6 그란스포츠
19,마세라티,기블리,가솔린,4715,2020,무사고,검정색,경기,8550,2WD,3.0 그란스포츠
20,마세라티,포르테,가솔린,87544,2015,무사고,검정색,서울,5590,4WD,S Q4 3.0 V6
21,마세라티,르반떼,가솔린,99084,2017,무사고,검정색,경기,6290,AWD,3.0스포츠
22,마세라티,기블리,가솔린,29928,2017,무사고,검정색,경기,5799,2WD,3.0 스포츠
23,마세라티,기블리,디젤,55473,2016,무사고,검정색,부산,4430,2WD,3.0
24,마세라티,기블리,디젤,68591,2018,무사고,검정색,부산,5830,2WD,3.0
25,마세라티,포르테,디젤,97004,2016,무사고,검정색,부산,4850,2WD,3.0
26,마세라티,포르테,가솔린,95698,2007,무사고,검정색,전북,1999,2WD,4.2 V8
27,마세라티,기블리,디젤,140480,2014,무사고,검정색,경기,2990,2WD,3.0
28,마세라티,기블리,디젤,55473,2016,무사고,검정색,부산,107,2WD,3.0
29,마세라티,기블리,디젤,68591,2018,무사고,검정색,부산,117,2WD,3.0
30,마세라티,기블리,가솔린,48947,2018,무사고,검정색,경기,6200,2WD,3.0 그란루쏘
31,마세라티,포르테,디젤,97188,2017,무사고,검정색,서울,6290,2WD,3.0그란루쏘
32,마세라티,포르테,가솔린,95667,2016,무사고,검정색,경기,5300,2WD,3.0 V6
33,마세라티,포르테,가솔린,27268,2018,무사고,검정색,경기,9240,4WD,S Q4 3.0 V6 그란스포츠
34,마세라티,포르테,가솔린,89419,2014,무사고,검정색,경기,3950,4WD,S Q4 3.0 V6
35,마세라티,포르테,가솔린,66483,2017,무사고,검정색,경기,7000,4WD,S Q4 3.0 V6 그란루쏘
36,마세라티,르반떼,가솔린,19383,2017,무사고,검정색,경기,7500,AWD,3.0럭셔리
37,마세라티,르반떼,가솔린,27141,2019,무사고,검정색,서울,8500,AWD,3.0그란스포츠
38,마세라티,포르테,가솔린,14819,2019,무사고,검정색,서울,10300,4WD,S Q4 3.0 V6 그란스포츠
39,마세라티,르반떼,가솔린,68358,2017,무사고,검정색,경기,6350,AWD,3.0럭셔리
40,마세라티,기블리,가솔린,10213,2020,무사고,검정색,대구,10000,4WD,3.0S Q4
41,마세라티,포르테,가솔린,51051,2017,무사고,검정색,경기,8390,2WD,GTS 3.8 V8 그란루쏘
42,마세라티,기블리,디젤,67061,2015,무사고,검정색,서울,4390,2WD,3.0
43,마세라티,포르테,디젤,111280,2016,무사고,검정색,서울,4590,2WD,3.0
44,마세라티,르반떼,가솔린,61582,2019,무사고,검정색,경기,12300,2WD,3.8 트로페오
45,마세라티,기블리,디젤,6682,2019,무사고,검정색,경기,6890,2WD,3.0그란스포츠
46,마세라티,르반떼,가솔린,15426,2020,무사고,흰색,경기,10300,AWD,3.0그란스포츠
47,마세라티,기블리,가솔린,36656,2014,무사고,흰색,경기,4620,2WD,3.0
48,마세라티,르반떼,디젤,58902,2017,무사고,흰색,서울,6250,AWD,3.0 럭셔리
49,마세라티,기블리,디젤,124858,2016,무사고,흰색,전북,3570,2WD,3.0
50,마세라티,기블리,가솔린,50469,2017,무사고,흰색,경기,5500,2WD,3.0
51,마세라티,스파이더,가솔린,52660,2003,무사고,흰색,서울,2800,2WD,4.2 V8
52,마세라티,기블리,디젤,87953,2016,무사고,흰색,경기,4150,2WD,3.0스포츠
53,마세라티,기블리,디젤,37319,2018,무사고,흰색,경기,6790,2WD,3.0그란루쏘
54,마세라티,기블리,디젤,83553,2017,무사고,흰색,경기,4790,2WD,3.0
