,brand,name,type,km,year,accident,color,location,price,wd,trim
0,혼다,어코드,가솔린,57977,2017,무사고,검정색,서울,1750,2WD,2.4
1,혼다,어코드,가솔린,14667,2020,무사고,검정색,경기,3220,2WD,2.0 터보 스포츠
2,혼다,파일럿,가솔린,54279,2019,무사고,검정색,경기,3960,2WD,3.5 엘리트
3,혼다,오딧세이,가솔린,51063,2019,무사고,검정색,경기,3850,2WD,3.5
4,혼다,리지라인,가솔린,45554,2018,무사고,검정색,서울,4250,2WD,3.5
5,혼다,어코드,하이브리드,17440,2019,무사고,검정색,광주,3390,2WD,2.0투어링
6,혼다,CR-V,가솔린,57628,2016,무사고,검정색,경기,1960,4WD,EX-L
7,혼다,어코드,가솔린,14286,2020,무사고,검정색,경기,2970,2WD,1.5 터보
8,혼다,오딧세이,가솔린,48117,2018,무사고,검정색,경기,3740,2WD,3.5
9,혼다,파일럿,가솔린,57780,2018,무사고,검정색,경기,3030,2WD,3.5
10,혼다,파일럿,가솔린,26390,2018,무사고,검정색,경기,3230,2WD,3.5
11,혼다,어코드,가솔린,118935,2009,무사고,검정색,서울,480,2WD,2.4
13,혼다,오딧세이,가솔린,68181,2018,무사고,검정색,경기,3650,2WD,3.5
14,혼다,파일럿,가솔린,40503,2018,무사고,검정색,부산,2990,2WD,3.5
15,혼다,오딧세이,가솔린,80137,2015,무사고,검정색,경기,2130,2WD,3.5
16,혼다,파일럿,가솔린,61499,2018,무사고,검정색,경기,2950,2WD,3.5
17,혼다,오딧세이,가솔린,35518,2019,무사고,검정색,서울,3890,2WD,3.5
18,혼다,파일럿,가솔린,75012,2017,무사고,흰색,경기,2690,2WD,3.5
19,혼다,파일럿,가솔린,87461,2018,무사고,흰색,경기,2860,2WD,3.5
20,혼다,어코드,가솔린,56970,2010,무사고,흰색,경기,799,2WD,2.4
21,혼다,오딧세이,가솔린,29601,2019,무사고,흰색,경기,4319,2WD,3.5
22,혼다,어코드,하이브리드,57290,2018,무사고,흰색,경기,2970,2WD,2.0투어링
23,혼다,어코드,가솔린,58418,2012,무사고,흰색,서울,680,2WD,2.4
24,혼다,파일럿,가솔린,92049,2017,무사고,흰색,경기,2650,2WD,3.5
25,혼다,CR-V,가솔린,93728,2013,무사고,흰색,서울,1299,4WD,EX-L
26,혼다,파일럿,가솔린,24699,2018,무사고,흰색,경기,3290,2WD,3.5
27,혼다,어코드,가솔린,20668,2018,무사고,흰색,서울,2860,2WD,2.0 터보 스포츠
28,혼다,오딧세이,가솔린,16133,2019,무사고,흰색,경기,4430,2WD,3.5
29,혼다,오딧세이,가솔린,34294,2018,무사고,흰색,서울,3950,2WD,3.5
30,혼다,CR-V,가솔린,107911,2010,무사고,흰색,경기,890,2WD,2.4
31,혼다,오딧세이,가솔린,81619,2014,무사고,흰색,경기,2350,2WD,3.5
