,brand,name,type,km,year,accident,color,location,price,wd,trim
1,현대,그랜저,가솔린,74482,2017,무사고,검정색,경기,2030,2WD,3.0
2,현대,제네시스,가솔린,148637,2016,무사고,검정색,경기,1800,AWD,1.0
3,현대,그랜저,디젤,101095,2015,무사고,검정색,대구,1480,2WD,2.0
4,현대,그랜저,가솔린,191227,2016,무사고,검정색,경기,930,2WD,2.0
5,현대,쏘나타,LPG,150702,2016,무사고,검정색,충남,999,2WD,1.0
7,현대,제네시스,가솔린,71708,2015,무사고,검정색,경기,2130,2WD,1.0
10,현대,아슬란,가솔린,150452,2015,무사고,검정색,대구,1555,2WD,2.0
11,현대,그랜저,가솔린,59260,2012,무사고,검정색,경기,1150,2WD,4.0
12,현대,그랜저,LPG,153940,2017,무사고,검정색,대구,1250,2WD,1.0
13,현대,그랜저,디젤,176622,2015,무사고,검정색,충남,1129,2WD,2.0
14,현대,그랜저,가솔린,53742,2019,무사고,검정색,경기,2350,2WD,2.0
15,현대,그랜저,LPG,201169,2013,무사고,검정색,경기,880,2WD,1.0
16,현대,그랜저,LPG,240832,2015,무사고,검정색,경기,800,2WD,1.0
18,현대,제네시스,가솔린,178109,2014,무사고,검정색,대구,1749,AWD,2.0
19,현대,쏘나타,가솔린,202881,2010,무사고,검정색,대전,470,2WD,4.0
20,현대,그랜저,가솔린,138258,2009,무사고,검정색,경기,350,2WD,2.0
24,현대,그랜저,가솔린,83936,2016,무사고,검정색,경기,1580,2WD,3.0
25,현대,싼타페,디젤,143978,2015,무사고,검정색,경기,1640,4WD,3.0
26,현대,그랜저,가솔린,54496,2019,무사고,검정색,인천,2799,2WD,3.0
27,현대,제네시스,가솔린,68318,2015,무사고,검정색,대구,2590,2WD,2.0
28,현대,그랜저,LPG,97146,2015,무사고,검정색,대구,1490,2WD,1.0
29,현대,그랜저,가솔린,72269,2017,무사고,검정색,경기,1980,2WD,3.0
31,현대,그랜저,가솔린,29029,2019,무사고,검정색,경기,2550,2WD,2.0
33,현대,쏘나타,가솔린,70346,2018,무사고,검정색,전북,1399,2WD,1.0
34,현대,쏘나타,가솔린,76475,2015,무사고,검정색,경기,1690,2WD,3.0
35,현대,그랜저,가솔린,171837,2012,무사고,검정색,경기,810,2WD,4.0
38,현대,쏘나타,가솔린,86621,2013,무사고,검정색,대전,950,2WD,1.0
39,현대,그랜저,가솔린,118106,2014,무사고,검정색,경기,1120,2WD,1.0
41,현대,그랜저,하이브리드,20387,2020,무사고,검정색,서울,3920,2WD,3.0
43,현대,그랜저,가솔린,97818,2011,무사고,검정색,충남,830,2WD,2.0
44,현대,그랜저,가솔린,64505,2009,무사고,검정색,서울,660,2WD,3.0
45,현대,그랜저,가솔린,204821,2014,무사고,검정색,경기,860,2WD,3.0
