,info
디젤 2.0 2WD,309
2.4 프리미엄,262
1.6 GDI 밸류 플러스,231
HG240 모던,230
VS380,224
3.0 익스클루시브,216
2.0,174
1.6 GDi Value Plus   ,170
G330 프리미엄 AWD,156
12인승 왜건,151
HG240 럭셔리,141
1.6,139
1.6 GDi 스마트    ,133
3.0 LPi 모던 (렌터카),129
디젤 2.2 4WD,126
디젤 1.7 2WD,121
5인승 밴,120
1.6 GDI 스마트,118
2.0 스마트,117
프리미엄,114
BH330 럭셔리,110
디젤 2.2 2WD,107
2.4 모던,100
디젤(e-VGT) 2.0 2WD 프리미엄,98
G330 프리미엄,95
1.6 터보 2WD,86
익스클루시브,85
LPG HG300 모던,84
3인승 밴,81
가솔린 2.0T 2WD,79
어린이보호차,79
HG300 프리미엄,79
 라이즈 2.0 LPi 렌터카 스타일 ,78
1.6 터보 스포츠,75
디젤 1.6 2WD,74
G330 모던 AWD,74
HG300 익스클루시브,70
하이브리드 1.6 HEV 프리미엄 스페셜  ,69
LPI 스타일,69
1.6 GDi 스타일    ,68
1.6 터보,66
2.0 모던,66
1.6 GDI 스마트세부등급 없음,64
2.5,63
2.0 N,61
G330 모던,59
Q270 럭셔리,59
2.0 스타일,58
 프라임 디젤 R2.0 2WD 5인승 프리미엄,57
LPI 스마트,57
TM 가솔린 2.0T 2WD 인스퍼레이션  ,56
M16 GDI 럭셔리,55
HG300 노블,54
디젤 2.0 4WD,52
1.6 GDI 스타일,52
디젤(e-VGT) 2.0 2WD 익스클루시브,49
BH330 그랜드,46
HG240 모던 컬렉션,46
2.4 프리미엄스페셜,43
1.6 e-VGT 스마트,43
디젤 2WD LX20,42
2.2 디젤 프리미엄,41
2.4 프리미엄세부등급 없음,41
디젤(e-VGT) 2WD,41
3.0 익스클루시브세부등급 없음,39
Y20 프리미어,39
1.6 GDI 프리미엄,38
하이브리드 익스클루시브 기본형    ,38
HG300 프라임,37
가솔린 1.6 터보 2WD,37
M16 GDI 프리미어,36
1.6 GDI 모던,36
1.6 T-GDi 스포츠 코어   ,36
가솔린 3.8 4WD,36
3.0 LPi 익스클루시브 (렌터카),35
디젤 1.6 모던    ,35
2.0 가솔린인스퍼레이션,34
11인승 왜건,34
LPI 프리미엄,34
밴 3인승,33
1.7 VGT,33
TM 디젤 2.2 2WD 프레스티지  ,32
1.4 VVT 모던,32
1.6 GDI 모던세부등급 없음,32
LPI 모던,32
HG220 디젤 프리미엄,32
TM 가솔린 2.0T 2WD 익스클루시브 스페셜 ,32
디젤(e-VGT) 2.2 4WD 익스클루시브,31
VS500,31
1.6 LPi 렌터카 스타일   ,31
TM 가솔린 2.0T 2WD 프레스티지  ,31
디젤 2WD 300VX,30
2.0 프리미엄 스페셜,30
1.6 LPI 스타일(렌터카),30
3.3,30
2WD(2.0 e-VGT) MLX,30
N 2.0 T-GDi    ,30
HG220 디젤 모던,30
하이브리드 익스클루시브 스페셜    ,28
200 터보 P,28
밴 5인승,28
Q270 디럭스,28
2.2 디젤 8인승 프레스티지   ,27
2.0 가솔린프리미엄 패밀리,27
가솔린 3.8 2WD,27
3.3 셀러브리티,27
2.0 스마트세부등급 없음,27
인스퍼레이션,27
1.6 LPi 렌터카 스마트   ,27
1.6 GDi 스마트,26
3.8 가솔린 7인승 AWD 프레스티지  ,26
G300 모던,26
2.0 터보 익스클루시브,26
2.0 HEV,26
TM 디젤 2.0 2WD 프레스티지  ,26
1.6스마트,25
웨건 12인승,25
1.6 GDi 모던,25
캠핑카,25
TM 디젤 2.0 2WD 익스클루시브  ,25
2.2 디젤 7인승 AWD 프레스티지  ,24
HG300 로얄,24
디젤 4WD 300VX,24
2.0 가솔린프리미엄,24
리무진,24
BH330 프리미엄,24
2.4 익스클루시브,24
가솔린 2.0T 4WD,23
익스트림,23
1.6 모던,23
 프라임 디젤 R2.0 4WD 5인승 프리미엄,22
1.6 GDI 모던스페셜,22
Y20 프라임,22
3.0 익스클루시브스페셜,22
1.6 LPI 스마트(렌터카),22
디젤 2.2 2WD프레스티지,21
M16 GDi LUXURY    ,21
3.8 가솔린 7인승 프레스티지   ,21
1.7 디젤 스마트,21
